hour_bin,demand,series_count,profile_units,source_rows,first_time,last_time,aggregation_scope
0,1326.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
1,509.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
2,403.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
3,398.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
4,1180.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
5,4032.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
6,9768.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
7,22372.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
8,30826.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
9,19321.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
10,10819.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
11,9230.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
12,9076.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
13,10442.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
14,13671.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
15,15297.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
16,17334.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
17,21601.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
18,17863.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
19,11488.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
20,8502.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
21,7003.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
22,6020.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
23,3855.0,39,39,39,2024-10-01T00:00:00,2024-10-01T23:00:00,39 complete cached station-complex days
