stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_400716,400716,W 34 ST/BROADWAY,40.749982,-73.98805,NW,UNKNOWN
MTA_401818,401818,W 34 ST/9 AV,40.753106,-73.995857,SE,UNKNOWN
MTA_401819,401819,W 34 ST/8 AV,40.751988,-73.993312,SE,UNKNOWN
MTA_401821,401821,W 34 ST/BROADWAY,40.749624,-73.987617,E,UNKNOWN
MTA_401822,401822,E 34 ST/5 AV,40.748192,-73.984134,SE,UNKNOWN
MTA_401824,401824,E 34 ST/PARK AV,40.746797,-73.98089,SE,UNKNOWN
MTA_401826,401826,E 34 ST/3 AV,40.745446,-73.977711,SE,UNKNOWN
MTA_401827,401827,E 34 ST/2 AV,40.744771,-73.976091,SE,UNKNOWN
MTA_401832,401832,E 23 ST/2 AV,40.737663,-73.980554,SE,UNKNOWN
MTA_401833,401833,E 23 ST/1 AV,40.736691,-73.978245,SE,UNKNOWN
MTA_401840,401840,E 34 ST/3 AV,40.745998,-73.978634,NW,UNKNOWN
MTA_401842,401842,E 34 ST/PARK AV,40.747234,-73.981547,NW,UNKNOWN
MTA_401847,401847,W 34 ST/7 AV,40.75125,-73.991027,NW,UNKNOWN
MTA_401848,401848,W 34 ST/8 AV,40.752301,-73.993588,NW,UNKNOWN
MTA_401857,401857,WATERSIDE PLAZA/WATERSIDE 1,40.738058,-73.973463,NE,UNKNOWN
MTA_401858,401858,WATERSIDE PLAZA/WATERSIDE 2,40.739144,-73.972885,N,UNKNOWN
MTA_402052,402052,E 23 ST/AV C,40.7355,-73.975374,SE,UNKNOWN
MTA_403192,403192,W 34 ST/10 AV,40.75433,-73.998776,SE,UNKNOWN
MTA_403216,403216,E 34 ST/2 AV,40.74504,-73.976264,NW,UNKNOWN
MTA_403359,403359,E 34 ST/1 AV,40.744007,-73.97394,NW,UNKNOWN
MTA_403528,403528,W 34 ST/9 AV,40.753361,-73.996044,NW,UNKNOWN
MTA_403530,403530,W 34 ST/DYER AV,40.754416,-73.998474,W,UNKNOWN
MTA_404280,404280,W 34 ST/7 AV,40.751046,-73.990911,SE,UNKNOWN
MTA_404950,404950,E 34 ST /1 AV,40.743774,-73.973731,SE,UNKNOWN
MTA_405285,405285,11 AV/W 34 ST,40.755629,-74.002186,SW,UNKNOWN
MTA_405286,405286,W 34 ST/12 AV,40.756419,-74.003657,E,UNKNOWN
MTA_405336,405336,2 AV/E 28 ST,40.741114,-73.978641,SW,UNKNOWN
MTA_405375,405375,E 34 ST/5 AV,40.748399,-73.98435,NW,UNKNOWN
MTA_405485,405485,W 34 ST/HUDSON BLVD E,40.755349,-74.000813,NW,UNKNOWN
MTA_405587,405587,W 34 ST/11 AV,40.755718,-74.001884,SE,UNKNOWN
MTA_803131,803131,W 34 ST/12 AV,40.756579,-74.00403,SE,UNKNOWN
MTA_903007,903007,MARGINAL ST/E 34 ST,40.743343,-73.971727,NE,UNKNOWN
MTA_903027,903027,WATERSIDE/WATERSIDE,40.737552,-73.973846,NE,UNKNOWN
MTA_903355,903355,FDR DR/E 35 ST,40.743473,-73.971636,NE,UNKNOWN
MTA_302293,302293,BROADWAY/MARCY AV,40.708202,-73.957591,E,UNKNOWN
MTA_302310,302310,BROADWAY/MARCY AV,40.708638,-73.958417,W,UNKNOWN
MTA_403679,403679,DELANCEY ST/ESSEX ST,40.718689,-73.988295,W,UNKNOWN
MTA_804174,804174,DELANCEY ST/ESSEX ST,40.71849,-73.988459,E,UNKNOWN
MTA_901772,901772,Broadway/HOOPER ST,40.707057,-73.95387,W,UNKNOWN
MTA_901773,901773,BROADWAY/HOOPER ST,40.707047,-73.954089,E,UNKNOWN
MTA_300012,300012,BRIGHTON BEACH AV/CONEY ISLAND AV,40.577968,-73.960253,W,UNKNOWN
MTA_300016,300016,BRIGHTON BEACH AV/OCEAN PKWY,40.576421,-73.967439,W,UNKNOWN
MTA_300124,300124,BRIGHTON BEACH AV/BRIGHTON 6 ST,40.577504,-73.961553,E,UNKNOWN
