snapshot_source,recorded_at_time,line_ref,direction_ref,journey_pattern_ref,published_line_name,operator_ref,origin_ref,destination_ref,destination_name,data_frame_ref,dated_vehicle_journey_ref,vehicle_ref,latitude,longitude,bearing,progress_rate,progress_status,block_ref,vehicle_status,monitored_call_stop_point_ref,monitored_call_visit_number,monitored_call_stop_name,monitored_call_extensions
MTA NYCT_M15+,2026-06-26T10:48:22.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-054800_SBS15_414,MTA NYCT_6206,40.701918,-74.013804,288.43494,noProgress,layover,MTA NYCT_OF_B6-Weekday-SDon_E_OF_17160_SBS15-404,,MTA_405382,1,SOUTH FERRY TERM/SOUTH FERRY TERM,{}
MTA NYCT_M15+,2026-06-26T10:48:10.000-04:00,MTA NYCT_M15+,0,MTA_SBS150191,M15-SBS,MTA NYCT,MTA_405382,MTA_803054,SELECT BUS SERVICE 125 ST via 1 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-061800_SBS15_411,MTA NYCT_6203,40.738031,-73.977703,54.15798,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_21480_SBS15-418,,MTA_405323,1,1 AV/25 ST,"{""Capacities"": {""EstimatedPassengerCount"": 50, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""fewSeatsAvailable""}}"
MTA NYCT_M15+,2026-06-26T10:48:29.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-065000_SBS15_424,MTA NYCT_6212,40.803182,-73.932486,157.23804,noProgress,layover,MTA NYCT_OF_B6-Weekday-SDon_E_OF_27120_SBS15-442,,MTA_401732,1,E 126 ST/2 AV,{}
MTA NYCT_M15+,2026-06-26T10:48:09.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-063500_SBS15_428,MTA NYCT_6091,40.778368,-73.951401,236.37512,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_20520_SBS15-414,,MTA_405517,1,2 AV/E 87 ST,{}
MTA NYCT_M15+,2026-06-26T10:48:10.003-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-062000_SBS15_435,MTA NYCT_6197,40.766007,-73.960392,234.03671,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_25980_SBS15-438,,MTA_401761,1,2 AV/E 68 ST,"{""Capacities"": {""EstimatedPassengerCount"": 33, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""fewSeatsAvailable""}}"
MTA NYCT_M15+,2026-06-26T10:48:06.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-056200_SBS15_401,MTA NYCT_6162,40.701981,-74.013825,288.43494,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_23280_SBS15-426,,MTA_803120,1,SOUTH FERRY/TERMINAL,"{""Capacities"": {""EstimatedPassengerCount"": 10, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""manySeatsAvailable""}}"
MTA NYCT_M15+,2026-06-26T10:48:23.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-057600_SBS15_403,MTA NYCT_6196,40.712027,-73.997224,186.91792,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_23880_SBS15-428,,MTA_402112,1,MADISON ST/CATHERINE ST,"{""Capacities"": {""EstimatedPassengerCount"": 22, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""manySeatsAvailable""}}"
MTA NYCT_M15+,2026-06-26T10:48:14.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-055500_SBS15_425,MTA NYCT_6097,40.701918,-74.013804,288.43494,noProgress,layover,MTA NYCT_OF_B6-Weekday-SDon_E_OF_23160_SBS15-425,,MTA_405382,1,SOUTH FERRY TERM/SOUTH FERRY TERM,{}
MTA NYCT_M15+,2026-06-26T10:48:09.000-04:00,MTA NYCT_M15+,1,MTA_SBS150186,M15-SBS,MTA NYCT,MTA_401732,MTA_803120,SELECT BUS SERVICE SOUTH FERRY via 2 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-056900_SBS15_402,MTA NYCT_6215,40.701918,-74.013804,288.43494,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_25380_SBS15-435,,MTA_405382,1,SOUTH FERRY TERM/SOUTH FERRY TERM,"{""Capacities"": {""EstimatedPassengerCount"": 4, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""manySeatsAvailable""}}"
MTA NYCT_M15+,2026-06-26T10:48:19.000-04:00,MTA NYCT_M15+,0,MTA_SBS150190,M15-SBS,MTA NYCT,MTA_903093,MTA_803054,SELECT BUS SERVICE 125 ST via 1 AV,2026-06-26,MTA NYCT_OF_B6-Weekday-SDon-060100_SBS15_445,MTA NYCT_6219,40.801443,-73.931435,53.130104,normalProgress,,MTA NYCT_OF_B6-Weekday-SDon_E_OF_15840_SBS15-401,,MTA_401731,1,1 AV/E 125 ST,"{""Capacities"": {""EstimatedPassengerCount"": 14, ""EstimatedPassengerCapacity"": 80, ""EstimatedPassengerLoadFactor"": ""manySeatsAvailable""}}"
