train_seed,eval_seed,learned_config,baseline_config,baseline_method,delta_service_cost_restricted,delta_service_cost_observed,delta_restricted_wait_horizon_min,delta_avg_wait_observed_min,delta_restricted_in_vehicle_horizon_min,delta_avg_in_vehicle_observed_min,delta_restricted_total_journey_horizon_min,delta_avg_total_journey_observed_min,delta_holding_vehicle_seconds,delta_holding_passenger_seconds,delta_fleet_denied_dispatch_events,delta_fleet_denied_trips,delta_fleet_readiness_delay_mean_s,delta_fleet_readiness_delay_max_s,delta_passenger_unserved_rate,delta_headway_cv,delta_fleet_overshoot,delta_trip_launch_rate,delta_trip_completion_rate,delta_holding_vehicle_seconds_per_launched_trip,delta_holding_passenger_min_per_generated,delta_fleet_denied_trip_rate,delta_fleet_denied_retry_trip_seconds,delta_commanded_holding_vehicle_seconds,delta_commanded_holding_passenger_seconds,delta_commanded_holding_passenger_min_per_generated,delta_terminal_actual_dispatch_gap_mean_s,delta_terminal_dispatch_execution_error_mean_s,delta_terminal_dispatch_execution_error_abs_mean_s
12011,45007,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.09898374395452825,-0.09552458313028511,1.357485193130576,1.3920768013730065,1.439110091852145,1.4374928208979743,2.796765284982726,2.829739622270978,74145.0,1809330.0,129264.0,169.0,493.3740455267176,970.0,-0.0001477250344691,-0.2339996380952399,0.0,0.0,0.0,282.996183,1.484907,0.6450381603053437,129264.0,74145.0,1809330.0,1.484907,9.611537999999996,9.611538,2.3203215384615348
12011,45013,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.20717002976417487,-0.2048799675846379,0.38208961897795035,0.4049902407733166,1.4148849792022098,1.4138213399470292,1.7971745981801597,1.8190115807203426,74860.0,1822885.0,148104.0,163.0,565.2824428854962,1207.0,-9.748964172556666e-05,-0.2449365434533417,0.0,0.0,0.0,285.725191,1.480937,0.6221373969465649,148104.0,74860.0,1822885.0,1.480937,10.880768846153842,10.880768846153845,3.8039493076923065
12011,45053,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,0.006329367279040543,0.009574167846456927,2.3825201163404355,2.4149681220145993,1.4299236940524054,1.4283948872789605,3.8128358103929045,3.8437550092935595,72900.0,1891875.0,121982.0,167.0,465.58015221374046,1110.0,-0.0001402000186933,-0.2312746442615364,0.0,0.0,0.0,278.244275,1.473561,0.6374049541984732,121982.0,72900.0,1891875.0,1.473561,10.615385000000003,10.615385,-1.4467822307692302
12011,45061,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.22871636488655434,-0.22871636488655434,0.40483043120893125,0.40483043120893125,1.3614288390538878,1.3614288390538878,1.76670127026288,1.7667012702628178,73740.0,1698750.0,117092.0,178.0,446.9160303740458,995.0,0.0,-0.2692224080074474,0.0,0.0,0.0,281.450382,1.42281,0.6793895114503816,117092.0,73740.0,1698750.0,1.42281,10.007692692307671,10.007692692307693,-1.2412263076923082
12011,45077,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.19938391719860848,-0.19938391719860848,0.3605747215006496,0.3605747215006496,1.5052603268929978,1.5052603268929978,1.865513048393602,1.86551304839365,77695.0,1686025.0,130013.0,179.0,496.2328248091603,962.0,0.0,-0.2353673893486735,0.0,0.0,0.0,296.545802,1.551224,0.6832056870229009,130013.0,77695.0,1686025.0,1.551224,8.211538923076887,8.211538923076924,5.557778384615382
12011,45119,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.1553700770203561,-0.002080567167036085,0.5503231670535342,2.083338265586729,1.5239500558894772,1.4799244470025066,2.0741122229431497,3.5629817125892345,72965.0,1946540.0,156671.0,166.0,597.9809157022901,1310.0,-0.005426987350856701,-0.1832804569714252,0.0,0.0,0.0,278.492366,1.455205,0.6335877786259543,156671.0,72965.0,1946540.0,1.455205,12.134614999999997,12.134615,9.226878153846165
12011,45131,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.20651289899759273,-0.20408356373397774,-0.07744843726880468,-0.05315508463265406,1.5681971245248114,1.5670863390875436,1.4906046872559617,1.5137872544548898,82615.0,1874570.0,161791.0,171.0,617.5229012366412,1173.0,-0.0001027432446316,-0.19823933904755411,0.0,0.0,0.0,315.324427,1.604995,0.6526713358778626,161791.0,82615.0,1874570.0,1.604995,12.819231076923131,12.819231076923078,6.235557153846166
12011,45137,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,0.014638529202393613,0.014638529202393613,2.2297730090603354,2.2297730090603354,1.438530861589589,1.438530861589589,3.6679118706499203,3.6679118706499203,73800.0,1762370.0,153310.0,166.0,585.1526715572519,1053.0,0.0,-0.20831277170364,0.0,0.0,0.0,281.679389,1.449723,0.6335881603053436,153310.0,73800.0,1762370.0,1.449723,10.119230461538507,10.119230461538463,-0.3490362307692294
12037,45007,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.08575274395452825,-0.08229358313028512,1.2434851931305753,1.2780768013730057,1.4000680918521446,1.398450820897974,2.643108284982727,2.676082622270979,70745.0,1747810.0,101542.0,169.0,387.5648855267176,860.0,-0.0001477250344691,-0.2092996380952399,0.0,0.0,0.0,270.019084,1.434418,0.6450381603053437,101542.0,70745.0,1747810.0,1.434418,8.838461999999993,8.838462,2.9397675384615383
12037,45013,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,fixed_headway,-0.15001402976417488,-0.1477239675846379,0.5960896189779508,0.618990240773317,1.3877829792022087,1.3867193399470281,1.983863598180161,2.005700580720344,72645.0,1755085.0,133584.0,163.0,509.86259588549615,1166.0,-9.748964172556666e-05,-0.2091365434533417,0.0,0.0,0.0,277.270992,1.425855,0.6221373969465649,133584.0,72645.0,1755085.0,1.425855,10.499999846153798,10.499999846153846,7.043320307692305
