ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,284.6,6.9,5.817,16,0.4693,-3054.383,1211.266,4970,0,-4.89,44.01,-60.0,59.99,-0.6146,0.3361,-10.983282089233398,2.464895486831665,55.40973281860352,44.36348724365234,2.8192214965820312,-0.1043094247579574,1.4541363716125488,15.825384140014648,87.98209381103516,550.0046997070312,0.1,1.0030028820037842,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.889616653405625,44.00516505667405,262,-7.685091682954839,-6.258779801123324,0.6732132899386902,0.5061102019988617,0.3082883615501484,0.1856014364509899,0.172,9.61,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,275.4,6.6,3.529,13,0.3235,-2438.656,857.774,4971,0,-31.36,16.58,-59.44,59.79,-0.4906,0.3112,-9.575249671936035,1.1293659210205078,38.0780029296875,27.532272338867188,1.1815261840820312,-0.0697642117738723,0.1585213243961334,11.833938598632812,9.266969680786133,204.6044464111328,0.1,1.0061869621276855,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-31.35741896862758,16.575615619207127,262,-24.08157473708454,-24.71753426696125,0.5463930347253334,0.5127843477255463,0.3052034631220507,0.1820121891524029,0.2459,9.85,0.0527,2.992,0.506,0.308,0.186,11,2
2,Warmup,280.3,7.3,3.83,14,0.4236,-2518.519,896.123,4971,0,-45.39,13.44,-60.0,59.89,-0.5066,0.3101,-9.470781326293944,0.9926002025604248,53.92057037353516,43.72450256347656,1.0510683059692385,-0.0183922201395034,0.1042496711015701,11.510355949401855,5.07039737701416,181.73764038085935,0.1,1.0094033479690552,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.38761130484465,13.440719115449408,262,-41.25841356829593,-41.42645246825721,0.7648033641052393,0.5158509362631716,0.3056532374707478,0.1784958262660806,0.3347,10.27,0.0529,2.982,0.513,0.305,0.182,12,2
3,Warmup,277.2,7.3,5.424,14,0.4205,-2554.344,896.415,4970,0,-44.09,15.72,-59.99,59.36,-0.514,0.3065,-10.336555480957031,0.8102225661277771,63.553367614746094,53.67341995239258,0.8256665468215942,-0.0178109537810087,0.0371733084321022,12.020254135131836,2.944431066513061,108.40154266357422,0.1,1.0126216411590576,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.09345506894659,15.720357261794671,262,-44.135544366899296,-44.41875282776984,0.7476015054891411,0.5215309636565272,0.3040131790530836,0.1744558572903891,0.3523,10.68,0.0532,2.965,0.516,0.306,0.178,15,0
4,Warmup,280.6,6.7,4.494,13,0.4103,-2627.902,976.157,4970,0,-45.65,15.38,-59.99,59.99,-0.5288,0.3229,-10.257719039916992,0.7824516296386719,45.88201522827149,36.322998046875,0.803476095199585,0.0030250577256083,0.0418219827115535,11.864141464233398,8.529817581176758,132.63287353515625,0.1,1.0158019065856934,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.64764285847335,15.378994936847263,262,-46.95264400181017,-46.35894935883974,0.7735539747796133,0.5266372697107925,0.3011438762542965,0.172218854034911,0.3628,11.06,0.0535,2.943,0.522,0.304,0.174,10,3
5,Warmup,278.5,6.4,5.238,14,0.4062,-2437.959,849.263,4970,0,-41.08,18.55,-59.95,59.95,-0.4905,0.3138,-10.347987174987791,0.7270942330360413,46.34274291992188,37.05096435546875,0.7964646816253662,0.0013767001219093,0.0243151001632213,11.85105323791504,1.96306836605072,162.89590454101562,0.1,1.0190105438232422,29822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.08339457294306,18.54947704271763,262,-42.79107627366719,-41.37673987746239,0.709293586371551,0.5305344901708623,0.3001726441268162,0.1692928657023215,0.3501,11.36,0.0538,2.921,0.527,0.301,0.172,16,0
6,Warmup,280.2,7.3,4.041,14,0.4528,-2640.227,999.731,4970,0,-41.38,16.84,-59.93,57.31,-0.5312,0.3373,-10.74361801147461,0.7423991560935974,13.579511642456056,4.484777450561523,0.7130640745162964,0.0049030259251594,0.0235126242041587,12.308022499084473,4.115943431854248,91.7454833984375,0.1,1.0222243070602417,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.38064153033985,16.8434162207425,262,-42.096486764205125,-42.1288308658098,0.704788574190531,0.5322733696121805,0.3003211268378633,0.1674055035499561,0.3507,11.62,0.0541,2.899,0.531,0.3,0.169,16,0
7,Warmup,270.8,6.4,5.434,14,0.5098,-2472.412,878.694,4970,0,-45.47,16.15,-59.9,55.69,-0.4975,0.3165,-10.498380661010742,0.673435389995575,13.517004013061523,4.5970611572265625,0.7152435183525085,-0.026483753696084,0.0177181623876094,11.88384246826172,1.575643539428711,121.61337280273438,0.1,1.025461196899414,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.46607019846858,16.151883845434256,262,-45.01251156926156,-46.13587171968661,0.7739383100635677,0.5354963996920422,0.2992900439625391,0.1652135563454184,0.3323,11.81,0.0545,2.88,0.532,0.3,0.167,13,1
8,Warmup,281.1,7.4,4.892,14,0.3704,-2432.676,840.505,4970,0,-42.73,17.22,-59.98,56.22,-0.4895,0.301,-10.691295623779297,0.6459140777587891,29.311786651611328,20.59004783630371,0.7362781763076782,0.011785177513957,0.0159456729888916,12.036293029785156,3.776780605316162,144.89288330078125,0.1,1.0286617279052734,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.72722469448623,17.223763998659017,262,-44.20667622183499,-44.071359781215065,0.7313675061887945,0.5379785678042135,0.2988605464917365,0.1631608857040498,0.3114,11.9,0.0548,2.865,0.535,0.299,0.165,11,3
9,Warmup,276.1,5.7,4.295,14,0.529,-2514.636,906.273,4971,0,-42.42,16.75,-59.94,59.62,-0.5059,0.3237,-10.572809219360352,0.6404023170471191,22.02078628540039,13.486790657043455,0.6697094440460205,-0.0168390553444623,0.0132074858993291,11.91441535949707,6.149979591369629,108.9247817993164,0.1,1.031907558441162,49703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.418682904756274,16.749026286041847,262,-42.64919360938825,-42.49738143494255,0.7219848196681676,0.5394203963528841,0.2987692156661122,0.1618103879810037,0.2994,11.94,0.0551,2.855,0.538,0.299,0.163,12,2
10,Warmup,276.8,7.4,4.82,14,0.366,-2497.85,897.477,4969,0,-43.54,16.89,-59.9,58.91,-0.5027,0.3204,-10.78587532043457,0.6600522994995117,43.52885818481445,35.16384506225586,0.6315538883209229,-0.0213287472724914,0.0129653122276067,12.116161346435549,4.231281280517578,101.04486846923828,0.1,1.03515362739563,54672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.54085931089994,16.890569759512697,262,-44.38932113082785,-39.88030210168738,0.7413810652058432,0.541466952048612,0.2984506536410923,0.1600823943102957,0.2852,11.92,0.0554,2.85,0.539,0.299,0.162,13,1
11,Warmup,277.3,7.4,3.476,14,0.3395,-2328.86,774.492,4970,0,-35.45,23.79,-59.94,59.81,-0.4686,0.2934,-10.527116775512695,0.6138614416122437,17.75164031982422,9.533110618591309,0.5996211767196655,0.023256592452526,0.011723855510354,11.824862480163574,2.624253511428833,108.84671020507812,0.1,1.0384091138839722,59642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.44693609912443,23.79338211680882,262,-41.68109768942783,-37.563668126181554,0.6550492035927554,0.5421377453785448,0.2989932466091788,0.1588690080122763,0.2552,11.77,0.0557,2.852,0.541,0.298,0.16,11,3
