ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,6.4,1.2,5.15,15,0.5165,-2768.193,1006.709,4970,0,-8.43,38.4,-60.0,60.0,-0.557,0.3134,-7.5650634765625,2.6935930252075195,30.92344856262207,19.882854461669922,2.8950297832489014,4.530237674713135,2.7272984981536865,17.45627212524414,76.84980773925781,289.9930419921875,0.1,1.0030062198638916,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8.431574691009054,38.40429766677361,262,-10.678266237440862,-7.162001771536485,0.5847661556434919,0.5075155423459264,0.3036820786716922,0.18880237898238128,0.1564,9.59,0.0525,2.995,0.5,0.3,0.2,13,2
1,Warmup,6.5,1.3,4.709,14,0.5321,-3161.527,1432.829,4971,0,-15.48,29.87,-59.64,59.86,-0.636,0.3821,-8.500958442687988,1.1083753108978271,25.457752227783203,14.888153076171875,1.2331393957138062,4.793079376220703,1.663142204284668,15.571752548217773,4.566776752471924,124.99797058105469,0.1,1.0058250427246094,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15.4839344472049,29.868653549211455,262,-17.53926199517752,-18.010660200056275,0.48907833532365547,0.5139414324807746,0.30244544731362527,0.18361312020560022,0.2784,9.9,0.0527,2.991,0.508,0.304,0.189,11,3
2,Warmup,6.8,1.5,4.579,14,0.5402,-2492.572,927.138,4970,0,2.25,14.9,-59.68,55.38,-0.5015,0.3347,-8.333587646484375,0.97603839635849,17.392122268676758,7.149933815002441,1.037048578262329,5.028156280517578,1.429083228111267,15.378240585327148,7.545685291290283,175.22528076171875,0.1,1.0088001489639282,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2475453957087046,14.898839846894496,262,-3.4053532156505084,-1.1179838267792213,0.19850563028913285,0.5184480953509498,0.30169495477654173,0.1798569498725084,0.3714,10.42,0.053,2.976,0.514,0.302,0.184,15,0
3,Warmup,10.9,1.1,4.321,15,0.4759,-1827.712,515.833,4970,0,8.68,22.96,-60.0,60.0,-0.3677,0.2539,-7.958608627319336,0.8042399287223816,17.321855545043945,7.379271030426025,0.8270548582077026,5.336974620819092,1.3719336986541748,15.01791763305664,2.110260248184204,110.8512191772461,0.1,1.0119839906692505,19881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.681551110189055,22.96458175373577,262,10.054044249340109,7.589902975057301,0.3393007375992244,0.5195929339948792,0.30435349296878905,0.17605357303633173,0.3289,10.74,0.0532,2.961,0.518,0.302,0.18,16,0
4,Warmup,9.2,1.2,32.185,11,0.4637,-5688.758,4392.19,4971,0,10.66,54.57,-60.0,60.0,-1.1444,0.2668,-9.219918251037598,5.335539817810059,777.54736328125,767.1722412109375,6.037219524383545,6.067179203033447,101.71172332763672,26.16680145263672,16.597854614257812,59382.0625,0.1,1.0143071413040161,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.660534131361478,54.56691413062248,262,4.658902779064681,4.847376115031931,0.9032116609822892,0.5694984064068161,0.27177349834507,0.1587280952481138,0.5398,11.61,0.0539,2.9,0.52,0.304,0.176,8,3
5,Warmup,7.4,1.2,5.852,16,0.6033,-1768.656,441.889,4971,0,24.78,29.94,-59.62,60.0,-0.3558,0.2315,-9.891998291015625,2.4985859394073486,228.3814239501953,218.35818481445312,2.5685622692108154,6.882161617279053,66.3233642578125,21.95839500427246,12.679536819458008,13388.8154296875,0.1,1.0166288614273071,29823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.77925080228863,29.938206000859644,262,14.512521444378715,14.63477693874585,0.5767165066587523,0.5692022263271997,0.27513550705235845,0.15566226662044166,2.0681,14.94,0.0601,2.328,0.569,0.272,0.159,14,2
6,Warmup,7.2,1.5,5.323,16,0.4898,-1685.218,425.523,4970,0,18.92,26.4,-59.76,59.98,-0.3391,0.2323,-8.067911148071289,1.9730818271636963,174.84249877929688,164.88076782226562,1.9750956296920776,5.564733982086182,42.27233123779297,17.73208236694336,13.220414161682129,17043.736328125,0.1,1.0193849802017212,34793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.917967302882126,26.400346477296566,262,18.442738436907526,20.759054516275462,0.4701464989941787,0.5685152614260948,0.278539180629009,0.15294555794489617,1.6072,15.66,0.0646,2.09,0.569,0.275,0.156,16,0
7,Warmup,6.9,1.5,4.455,16,0.5192,-1734.726,471.07,4970,0,14.83,24.31,-60.0,59.59,-0.349,0.2426,-8.789608001708984,2.6832876205444336,177.00172424316406,166.9736785888672,2.6697323322296143,7.2246623039245605,53.30073165893555,21.586078643798828,7.734714031219482,28655.265625,0.1,1.0224734544754028,39763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.832887553853139,24.306363267852795,262,15.943449429461833,14.218437587744313,0.40145687495796906,0.5669648786425652,0.28213433766473195,0.15090078369270293,1.1881,15.99,0.0682,1.946,0.572,0.273,0.155,16,0
8,Warmup,12.1,1.6,8.261,13,0.6714,-1939.864,592.573,4970,0,7.06,26.91,-57.92,60.0,-0.3903,0.2937,-10.63746166229248,1.584540843963623,144.00247192382812,134.09788513183594,1.4759321212768555,6.729427814483643,56.2545280456543,20.737762451171875,7.001245021820068,19706.12109375,0.1,1.025763988494873,44733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.057040588791956,26.91056072254155,262,9.325722700514293,6.992575107161936,0.38837033096544304,0.5727750788146101,0.27815221441263893,0.14907270677275086,0.9397,16.16,0.0716,1.838,0.572,0.274,0.154,10,3
9,Warmup,7.9,1.3,5.023,15,0.3465,-1735.493,479.294,4970,0,12.29,24.62,-56.53,59.08,-0.3492,0.2567,-9.405008316040039,1.52164626121521,101.11624908447266,91.20145416259766,1.6384207010269165,6.726253032684326,16.20734214782715,19.406396865844727,11.597795486450195,4466.70849609375,0.1,1.0291732549667358,49703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.290027602635309,24.618808732820092,262,10.649845212384273,9.739950882604248,0.38676250520551675,0.5732475231882487,0.2795363724550448,0.1472161043567065,0.7806,16.22,0.0751,1.756,0.579,0.268,0.153,12,3
