ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.4,1.0,4.317,15,0.4959,-2571.144,932.775,4970,0,-16.3,30.13,-60.0,60.0,-0.5173,0.3178,-5.961348533630371,1.652546763420105,18.958105087280273,7.987742900848389,1.6945210695266724,-0.17074614763259888,0.4071134924888611,9.078092575073242,10.37657356262207,305.110595703125,0.1,0.9969903230667114,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16.298610465418196,30.13046975802465,262,-10.725898560500683,-17.71599423473603,0.4980867782028487,0.5038089756048977,0.3060852587463622,0.1901057656487401,0.1455,9.57,0.0525,2.995,0.5,0.3,0.2,12,3
1,Warmup,12.0,0.5,4.314,14,0.4872,-2328.793,797.117,4970,0,-26.54,29.71,-59.98,60.0,-0.4686,0.3027,-6.2594146728515625,0.7981453537940979,13.738462448120117,3.2154057025909424,0.8812925815582275,-0.03351947292685509,0.07004803419113159,7.885807037353516,4.178948402404785,115.73239135742188,0.1,0.9939467310905457,9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-26.54496404975203,29.71042368494001,262,-17.081207441342503,-22.620085745422465,0.5991040921124361,0.5093812282934704,0.30557183347044314,0.18504693823608648,0.2244,9.77,0.0526,2.994,0.504,0.306,0.19,12,2
2,Warmup,13.2,0.5,3.962,14,0.4899,-2440.984,841.06,4972,0,-40.62,22.24,-59.94,59.4,-0.4909,0.3047,-6.086698532104492,0.721276581287384,14.14541244506836,4.001267433166504,0.8489433526992798,0.0164643544703722,0.039387647062540054,7.607938766479492,3.7375760078430176,181.72801208496094,0.1,0.9909029006958008,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.620022151683635,22.24236095083161,262,-32.46571042945511,-40.20446584099217,0.7261819704404957,0.5127324016260922,0.3057137655054518,0.18155383286845608,0.3122,10.15,0.0529,2.986,0.509,0.306,0.185,12,2
3,Warmup,12.1,0.5,4.224,15,0.4602,-2674.906,968.566,4970,0,-44.02,20.11,-59.83,59.1,-0.5382,0.3173,-6.357903480529785,0.6688382029533386,12.70233154296875,2.8435466289520264,0.6863936185836792,-0.026675576344132423,0.02805093675851822,7.740963935852051,4.235800743103027,103.32696533203125,0.1,0.9879419803619385,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.02021527271605,20.106805971084274,262,-46.41995436059017,-43.97100574656537,0.7717162148207083,0.5139143088306263,0.30842120905904385,0.17766448211032987,0.3485,10.56,0.0531,2.971,0.513,0.306,0.182,12,3
4,Warmup,13.9,0.7,4.891,14,0.3869,-2503.799,874.816,4970,0,-46.19,18.49,-59.94,56.56,-0.5038,0.3074,-6.456203460693359,0.5838754773139954,11.830368041992188,2.2671468257904053,0.565119743347168,-0.02999754250049591,0.02351301535964012,7.646559715270996,8.459928512573242,69.70355224609375,0.1,0.9850068688392639,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.19310976324876,18.488143599093494,262,-45.343772522713,-42.138286438898035,0.7992688952753078,0.5180828508611853,0.30753510091267183,0.1743820482261428,0.3548,10.94,0.0534,2.951,0.514,0.308,0.178,12,2
5,Warmup,13.7,0.5,4.979,15,0.4209,-2479.944,854.835,4970,0,-41.99,21.91,-59.96,58.96,-0.499,0.312,-6.576555252075195,0.5139802694320679,11.284855842590332,2.007559061050415,0.5381864309310913,0.02494935877621174,0.018724491819739342,7.680652141571045,9.640591621398926,61.21637725830078,0.1,0.982056736946106,29822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.99188278097382,21.909625700015333,262,-43.242268647018236,-42.200813196834766,0.749816351946107,0.5201005231293981,0.3088762146960994,0.1710232621745025,0.3513,11.26,0.0537,2.93,0.518,0.308,0.174,12,3
6,Warmup,12.0,0.5,4.271,14,0.4534,-2317.714,771.041,4970,0,-43.55,17.95,-59.87,54.96,-0.4663,0.2974,-6.479818344116211,0.5267828702926636,12.036789894104004,3.0005059242248535,0.5549287796020508,-0.015356209129095078,0.031884580850601196,7.579341411590576,1.7282875776290894,113.77312469482422,0.1,0.9790908694267273,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.545858040856764,17.950553763512485,262,-45.196610613873126,-42.43110993457468,0.7495765198144428,0.522359426812023,0.30865159443583867,0.1689889787521383,0.331,11.48,0.054,2.911,0.52,0.309,0.171,12,2
7,Warmup,13.2,0.6,4.204,14,0.455,-2405.044,824.458,4970,0,-42.7,19.95,-59.91,59.77,-0.4839,0.3023,-6.895815849304199,0.47259649634361267,10.649395942687988,1.8501091003417969,0.4943239688873291,0.020867306739091873,0.013565793633460999,7.8962082862854,10.779363632202148,82.68555450439453,0.1,0.9761538505554199,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.70300562739432,19.950954752319603,262,-47.49008069038391,-41.26317011902207,0.7476369676152904,0.5243060200822209,0.30850337160350516,0.16719060831427388,0.319,11.65,0.0543,2.894,0.522,0.309,0.169,12,2
8,Warmup,12.1,0.8,4.539,15,0.4362,-2512.271,879.243,4970,0,-40.87,20.56,-59.94,58.81,-0.5055,0.3165,-6.471629619598389,0.4305992126464844,10.583120346069336,2.00028657913208,0.46326595544815063,-0.0073287454433739185,0.016010351479053497,7.363931655883789,2.6135785579681396,68.28541564941406,0.1,0.973234236240387,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.87023057819867,20.563642806368986,262,-48.127754196367775,-38.196912099970014,0.7190174358758715,0.525192676168776,0.3098415008415097,0.16496582298971435,0.3144,11.78,0.0546,2.879,0.524,0.309,0.167,12,3
9,Warmup,13.8,0.5,5.207,14,0.4745,-2455.678,855.886,4971,0,-39.16,21.33,-59.88,55.58,-0.494,0.3101,-6.407440662384033,0.47908633947372437,10.403976440429688,2.0118908882141113,0.49898287653923035,-0.006902087479829788,0.013559648767113686,7.384805679321289,2.429004669189453,89.25312042236328,0.1,0.9703157544136047,49703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.15866812954283,21.331296606248806,262,-43.25499318524411,-38.181979836915666,0.6941037399718146,0.5279029458380141,0.3089630223381406,0.16313403182384534,0.3014,11.85,0.0549,2.868,0.525,0.31,0.165,12,2
10,Warmup,12.6,0.6,4.471,13,0.5227,-2493.021,882.182,4970,0,-39.67,20.36,-59.9,57.33,-0.5016,0.3132,-6.37452507019043,0.44950151443481445,10.994535446166992,2.7744710445404053,0.44442421197891235,-0.021882887929677963,0.014368741773068905,7.306174278259277,4.139179706573486,143.3882293701172,0.1,0.9674492478370667,54673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.6677228043403,20.360152241696703,262,-42.229591473152766,-38.921219579051986,0.6973242854093088,0.5307451488843858,0.3071104775011131,0.16214437361450112,0.2912,11.85,0.0553,2.861,0.528,0.309,0.163,12,1
11,Warmup,13.2,0.6,3.936,14,0.5612,-2559.838,924.596,4970,0,-43.87,17.94,-59.91,57.68,-0.5151,0.3204,-6.737886428833008,0.45788684487342834,10.113443374633789,2.058000326156616,0.39089977741241455,-0.016526522114872932,0.012993337586522102,7.684248924255371,5.723723411560059,59.02365493774414,0.1,0.9645881652832031,59643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.865230521983214,17.941632421134067,262,-44.88609037807113,-43.17308687148125,0.7513605953618765,0.5317470538675274,0.30711978215656993,0.1611331639759026,0.286,11.81,0.0556,2.858,0.531,0.307,0.162,12,2
12,Warmup,13.9,-0.7,6.414,14,0.4207,-2578.15,907.933,4970,0,-39.91,21.34,-59.9,59.49,-0.5187,0.3175,-7.132045745849609,0.4220750331878662,9.954063415527344,2.0528786182403564,0.42831969261169434,0.024152226746082306,0.023083841428160667,8.00262451171875,10.584609985351562,107.7896728515625,0.1,0.9617259502410889,64613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.90546564487384,21.338871465786095,262,-45.632553389825325,-41.819348254956694,0.7086116049071881,0.5350754209671361,0.30573651618409803,0.15918806284876585,0.2797,11.71,0.0559,2.86,0.532,0.307,0.161,12,2
13,Warmup,13.6,0.5,3.661,15,0.5543,-2453.749,839.977,4972,0,-29.81,24.23,-59.7,58.77,-0.4935,0.3078,-7.068129539489746,0.35001617670059204,9.903315544128418,2.1521551609039307,0.38087835907936096,0.023539133369922638,0.012589272111654282,7.8270111083984375,4.2262959480285645,58.380638122558594,0.1,0.958894670009613,69585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-29.807716119781958,24.227452411978486,262,-35.93389105075284,-27.06362911651009,0.5781359507473259,0.5347068107594046,0.3072010914951765,0.1580920977454189,0.2579,11.51,0.0562,2.87,0.535,0.306,0.159,12,3
14,Warmup,13.7,0.5,5.386,14,0.4436,-2568.783,909.443,4970,0,-38.12,18.44,-59.5,49.55,-0.5169,0.3114,-6.940914154052734,0.3952150344848633,10.058942794799805,2.4493629932403564,0.4277873933315277,0.025022344663739204,0.011103088036179543,7.780892372131348,1.7089112997055054,72.72077178955078,0.1,0.9560686349868774,74555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.118606460593654,18.436813175244172,262,-32.69712383913759,-36.234314578457884,0.6602906917326382,0.5368148476713813,0.3064887257018879,0.15669642662673083,0.2521,11.24,0.0564,2.886,0.535,0.307,0.158,12,2
15,Warmup,12.3,0.5,4.685,14,0.4782,-2557.347,907.549,4970,0,-37.58,18.78,-59.67,50.45,-0.5146,0.3205,-7.075467109680176,0.34359657764434814,9.242294311523438,1.7664164304733276,0.36222827434539795,0.02064445987343788,0.013635575771331787,7.79867696762085,4.993600845336914,71.74411010742188,0.1,0.9532521963119507,79525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.576387239434574,18.782143006541325,262,-40.431109800385805,-31.57100042340003,0.6526747646629094,0.5382266106311991,0.3061600207355754,0.15561336863322536,0.2428,10.91,0.0565,2.908,0.537,0.306,0.157,12,2
16,Warmup,14.0,0.6,5.719,15,0.553,-2476.592,865.151,4970,0,-37.32,21.27,-59.98,58.99,-0.4983,0.3102,-6.96021842956543,0.37195873260498047,9.902091979980469,2.5433175563812256,0.38719484210014343,0.02661840245127678,0.01381249725818634,7.736773490905762,2.8536837100982666,68.01528930664062,0.1,0.950465977191925,84495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.31583427640401,21.274099726538754,262,-39.40363343797232,-33.94480737196771,0.6629185269431558,0.5393973064733325,0.30641887815907437,0.15418381536759318,0.223,10.51,0.0565,2.934,0.538,0.306,0.156,12,3
17,Warmup,12.2,0.6,7.165,14,0.3463,-2492.799,877.614,4971,0,-34.45,20.66,-59.71,57.2,-0.5015,0.3126,-7.241734027862549,0.3866521120071411,10.26508903503418,3.0256736278533936,0.3653727173805237,0.008690280839800835,0.015348276123404503,8.052228927612305,6.141197204589844,72.7223129272461,0.1,0.947686493396759,89466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.45408749539391,20.660782805703768,262,-35.41467450543454,-35.5829456558353,0.6154683016137367,0.5425270303493576,0.3050122905233125,0.15246067912732983,0.2084,10.09,0.0562,2.961,0.539,0.306,0.154,12,2
18,Warmup,13.4,0.6,4.315,14,0.539,-2441.338,864.365,4970,0,-34.03,21.5,-59.65,56.17,-0.4912,0.3138,-7.025578498840332,0.3969495892524719,8.968205451965332,1.8387821912765503,0.32987159490585327,0.048955537378787994,0.018548395484685898,7.89126443862915,3.476797580718994,108.12030029296875,0.1,0.9449315667152405,94436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.03453313568626,21.503395692748366,262,-36.25911758604803,-35.839398510518826,0.6159330958009507,0.5434114240102135,0.3048778464808611,0.15171072950892542,0.1885,9.72,0.0555,2.982,0.543,0.305,0.152,12,2
19,Warmup,12.2,0.6,5.838,13,0.4982,-2397.061,801.711,4971,0,-33.5,20.06,-59.89,53.22,-0.4822,0.3038,-7.105746269226074,0.3182216286659241,9.469039916992188,2.4333198070526123,0.3475967347621918,0.09191581606864929,0.021305765956640244,7.851052284240723,6.414270877838135,65.91170501708984,0.1,0.9421834349632263,99407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.49821085797848,20.06240118885196,262,-38.90256826250177,-29.028188183599788,0.5946488573389208,0.5460575594695103,0.30311039191475353,0.15083204861573626,0.166,9.48,0.0544,2.991,0.543,0.305,0.152,12,1
20,Warmup,13.6,0.6,3.57,13,0.5128,-2552.902,900.819,4969,0,-34.12,20.76,-59.78,51.83,-0.5138,0.3169,-7.2658843994140625,0.3194870352745056,8.868366241455078,1.9348453283309937,0.4033394455909729,0.0981610044836998,0.023045334964990616,8.020291328430176,3.140584707260132,73.91262817382812,0.1,0.9394463896751404,104376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.122853176451244,20.757826057315146,262,-34.39999179996942,-29.51511483161073,0.607154610803383,0.5471635435728174,0.3023577435674252,0.15047871285975745,0.1757,9.41,0.0536,2.995,0.546,0.303,0.151,12,1
