ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.5,1.1,7.077,17,0.4458,-3323.349,1496.691,4971,0,5.89,39.57,-59.99,60.0,-0.6685,0.364,0.8545767068862915,3.187067985534668,35.4134521484375,24.259563446044922,2.8608999252319336,1.1143312454223633,5.399328708648682,6.780306816101074,32.47905349731445,261.5455322265625,0.1,0.9970158338546753,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.894143133407548,39.57412024036925,262,-0.32739167934969826,4.302336176672177,0.5954584253641118,0.507247001350175,0.31104880914334965,0.18170418950647535,0.1866,9.64,0.0526,2.995,0.5,0.3,0.2,16,1
1,Warmup,14.0,0.6,6.5,17,0.5048,-3276.731,1319.42,4970,0,50.28,13.71,-60.0,60.0,-0.6593,0.3376,1.6904064416885376,1.2964682579040527,118.89614868164062,108.1238784790039,1.3982164859771729,1.478309988975525,32.17586898803711,2.4624061584472656,3.2965283393859863,152.1259002685547,0.1,0.9939478635787964,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.28054953506235,13.712983749926163,262,45.86322370955818,54.01082024323313,0.8481458955047537,0.509645006820102,0.3184468054117392,0.17190818776815867,0.302,10.0,0.0528,2.989,0.507,0.311,0.182,14,3
2,Warmup,15.3,0.5,13.128,14,0.3984,-5832.142,4059.308,4971,0,19.52,49.44,-60.0,60.0,-1.1732,0.2311,6.066008567810059,1.8338985443115234,101.29155731201172,90.55517578125,2.0234522819519043,2.8755569458007812,21.960071563720703,0.5638513565063477,5.194161415100098,1376.759033203125,0.1,0.9925664663314819,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.522925584373,49.43914711893527,262,35.54618669811048,35.25670168839003,0.8483020370559454,0.5328092341288145,0.3053686059323365,0.161822159938849,0.514,10.92,0.0533,2.948,0.51,0.318,0.172,11,3
3,Warmup,13.6,0.6,6.353,16,0.6787,-4607.261,2802.365,4970,0,24.7,37.64,-59.72,59.99,-0.927,0.3825,7.324158668518066,2.2593321800231934,88.26097869873047,77.58646392822266,1.9264552593231201,3.39922833442688,16.99730110168457,0.6764466762542725,16.38832664489746,3974.49609375,0.1,0.9921510219573975,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.697205461788794,37.64498138253097,262,26.57049385364118,36.69201634887018,0.6919399474013739,0.534563245522988,0.3076979904656536,0.15773876401135836,0.5668,11.78,0.054,2.878,0.533,0.305,0.162,13,3
4,Warmup,15.0,0.5,14.686,12,0.439,-6032.257,4369.887,4969,0,-4.49,51.66,-60.0,60.0,-1.214,0.204,11.299528121948242,2.516678810119629,202.7099151611328,192.00816345214844,2.536362648010254,3.7708945274353027,42.960350036621094,-2.397352695465088,78.42872619628906,5532.2373046875,0.1,0.9930779933929443,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.486782403687916,51.65651822663116,262,18.19733614686288,17.535215557248968,0.8182789618374756,0.5553146981559652,0.2930669425341491,0.15161835930988557,0.6709,12.68,0.0549,2.771,0.535,0.308,0.158,9,3
5,Warmup,13.0,0.5,5.086,15,0.2901,-5174.127,3392.091,4970,0,3.58,44.97,-60.0,59.84,-1.0411,0.3404,16.102745056152344,1.9886213541030884,180.75747680664062,170.1416778564453,1.9466081857681274,6.3982462882995605,36.50986099243164,-5.609199523925781,78.02399444580078,2145.72119140625,0.1,0.9947667121887207,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5778197551187376,44.97301640458489,262,6.514782785114488,20.13585318075983,0.6959353129048698,0.5565330486648781,0.29459483812847576,0.14887211320664626,0.6703,13.36,0.0559,2.667,0.555,0.293,0.152,12,3
6,Warmup,14.1,0.6,6.46,13,0.2563,-5475.648,3700.61,4971,0,-4.24,46.15,-60.0,59.97,-1.1015,0.3025,10.970207214355469,1.929335594177246,124.49898529052734,113.91349029541016,1.9939254522323608,4.2303667068481445,29.143024444580078,-2.7782139778137207,46.1473274230957,2466.19091796875,0.1,0.99712073802948,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.236383019290599,46.15163092930711,262,-0.1257468791384447,3.5788221848638435,0.7191962324876968,0.5620415220947043,0.2913563176400583,0.14660216026523734,0.6743,13.92,0.0569,2.565,0.557,0.295,0.149,10,3
7,Warmup,13.0,0.6,4.725,17,0.2595,-5362.85,3645.408,4971,0,2.79,47.88,-60.0,59.94,-1.0788,0.3261,11.192986488342285,1.44359290599823,136.15829467773438,125.65567779541016,1.5580174922943115,4.047472953796387,29.639156341552734,-4.147154808044434,36.93017578125,1082.15673828125,0.1,1.0000720024108887,39763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.7917177857476276,47.87890636866667,262,11.688489837395519,2.345893772024857,0.7533137012857003,0.5599803512526225,0.2962163156719162,0.1438033330754613,0.6555,14.35,0.0581,2.47,0.562,0.291,0.147,14,3
8,Warmup,14.4,0.5,8.152,12,0.5557,-5993.033,4220.377,4970,0,-11.22,49.79,-60.0,60.0,-1.2058,0.2074,14.3488130569458,1.7170851230621338,121.9522933959961,111.47517395019531,1.7134544849395752,4.7724289894104,30.968740463256836,-6.003643989562988,14.518091201782227,1105.1634521484375,0.1,1.0034486055374146,44733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11.224220650161895,49.78620502101314,262,-2.030271411177359,9.326509375948655,0.8137206761767444,0.5670240901831499,0.29067010801030985,0.14230580180654023,0.6714,14.75,0.0594,2.37,0.56,0.296,0.144,9,3
9,Warmup,14.4,0.6,5.848,16,0.3955,-5423.227,3675.759,4970,0,-0.41,48.44,-59.98,59.98,-1.0912,0.3133,12.047148704528809,1.6404982805252075,107.79920196533203,97.36761474609375,1.6841464042663574,5.658613204956055,27.024959564208984,-2.9506335258483887,21.633747100830078,2354.987548828125,0.1,1.0070494413375854,49703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.41406063059161247,48.443513267232646,262,5.089604827996931,1.2485837404665212,0.7629470154601419,0.5671040281366749,0.2927376769610284,0.14015829490229667,0.6285,15.02,0.0609,2.284,0.567,0.291,0.142,14,2
