ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,13.7,1.5,3.997,16,0.4916,-3318.317,1425.952,4970,0,-4.55,44.08,-60.0,60.0,-0.6677,0.3509,-9.97198486328125,2.338348150253296,103.67341613769531,92.6161880493164,2.740107536315918,-0.39884665608406067,2.180469274520874,14.262197494506836,74.04524230957031,578.2577514648438,0.1,0.9970207810401917,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.55053891769987,44.08439706275975,262,-2.1391844113070264,-8.742256981413268,0.67397149266094,0.49772249857887757,0.31339549654932886,0.18888200487179355,0.1863,9.64,0.0526,2.995,0.5,0.3,0.2,14,2
1,Warmup,13.9,0.6,4.291,13,0.4171,-2545.21,932.568,4970,0,-32.73,17.94,-59.98,60.0,-0.5121,0.3264,-9.554366111755371,1.2950522899627686,76.55517578125,65.91558074951172,1.4165780544281006,-0.02525089681148529,0.17027826607227325,12.154279708862305,1.6756720542907715,225.60133361816406,0.1,0.9938070774078369,9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.73332017159438,17.935634877682,262,-21.192119616034784,-29.031407465432817,0.5746694454562995,0.5068351407482519,0.3084373137650469,0.18472754548670128,0.2602,9.9,0.0527,2.991,0.498,0.313,0.189,10,3
2,Warmup,14.0,0.7,5.636,11,0.4891,-4177.879,2215.761,4970,0,-41.64,23.31,-60.0,59.98,-0.8406,0.3878,-11.535622596740723,1.6353881359100342,50.7056999206543,40.18724822998047,1.6301121711730957,0.008084625005722046,0.09437350183725357,14.820676803588867,12.427253723144531,1115.09716796875,0.1,0.9911108613014221,14910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.63861729026298,23.314552814067557,262,-40.11918773149189,-42.212506597920466,0.7514979367907572,0.5194294539962236,0.29903886796856977,0.18153167803520667,0.4002,10.5,0.0531,2.972,0.507,0.308,0.185,8,3
3,Warmup,12.4,0.6,3.902,14,0.4268,-2697.859,1044.309,4971,0,-32.58,21.89,-60.0,60.0,-0.5427,0.3459,-10.57742691040039,1.3652467727661133,87.77963256835938,77.39188385009766,1.37972092628479,0.1946670413017273,0.10859819501638412,13.548273086547852,7.411919593811035,467.8666076660156,0.1,0.9883449077606201,19881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.5812191246203,21.893046896321348,262,-33.72607885034461,-37.05859675058409,0.603378180736373,0.5220076073961978,0.29948904502669726,0.17850334757710506,0.3923,10.97,0.0534,2.947,0.519,0.299,0.182,16,0
4,Warmup,13.9,0.6,4.192,14,0.3936,-2637.209,998.328,4970,0,-39.89,20.23,-59.67,59.96,-0.5306,0.3297,-11.750478744506836,1.0019400119781494,37.904090881347656,27.698896408081055,1.0550593137741089,0.08898672461509705,0.032201677560806274,13.85574722290039,7.439411640167236,213.86764526367188,0.1,0.9853189587593079,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.88627182736663,20.230197950496574,262,-43.32678695226971,-41.62805295053282,0.7067623588450558,0.5247694487005943,0.29958983896926006,0.1756407123301456,0.3764,11.34,0.0537,2.921,0.522,0.299,0.179,11,3
5,Warmup,12.3,0.6,3.766,13,0.507,-2797.15,1129.616,4970,0,-31.71,21.57,-58.95,59.98,-0.5628,0.3599,-12.031244277954102,0.9808662533760071,39.49720001220703,29.473358154296875,0.9960639476776123,-0.03982133790850639,0.042029969394207,13.953290939331055,4.741702079772949,326.571533203125,0.1,0.982247531414032,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-31.714443020535338,21.57431584874824,262,-38.185216578684354,-31.661550821442358,0.5908507110053649,0.528049854879368,0.29768589404008783,0.1742642510805443,0.3705,11.65,0.0541,2.895,0.525,0.3,0.176,10,3
6,Warmup,14.1,0.6,3.699,15,0.4037,-2840.097,1213.931,4970,0,-30.04,27.38,-59.56,59.99,-0.5714,0.3728,-11.068153381347656,0.9931390285491943,24.45244598388672,14.571951866149902,0.9771583080291748,-0.07413550466299057,0.02944730408489704,13.024357795715332,1.9526965618133545,146.1414794921875,0.1,0.9791632890701294,34791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-30.040259853986953,27.375146718879105,262,-33.63123785335767,-30.437136492613508,0.6240746555572655,0.5278958751188769,0.3003217946689731,0.17178233021215014,0.3634,11.91,0.0544,2.869,0.528,0.298,0.174,12,3
7,Warmup,12.8,0.6,4.111,14,0.4865,-3079.909,1426.688,4971,0,-32.78,31.59,-59.91,60.0,-0.6196,0.3938,-11.305023193359375,1.0035719871520996,16.908124923706055,7.1655802726745605,1.0621001720428467,-0.018550030887126923,0.06434042751789093,13.374156951904297,8.508535385131836,357.0395812988281,0.1,0.9761160016059875,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.78287657927943,31.592096046187407,262,-31.692967093775145,-39.18025157702596,0.7185627495218564,0.5296129408064167,0.300372800775896,0.17001425841768716,0.3705,12.15,0.0549,2.842,0.528,0.3,0.172,11,3
8,Warmup,15.7,0.7,12.349,11,0.5958,-5521.212,3935.32,4969,0,-22.65,50.88,-60.0,60.0,-1.1111,0.348,-9.90300178527832,2.1173930168151855,138.3780975341797,128.59300231933594,1.911344051361084,-0.17345020174980164,0.24793699383735657,14.00471305847168,3.4277331829071045,4382.2236328125,0.1,0.9736309051513672,44731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-22.64993314856795,50.87533344793031,262,-26.691721391677856,-12.721896938273781,0.9113074399681522,0.5433130257619015,0.2906755590812497,0.16601141515684878,0.5499,12.88,0.0557,2.762,0.53,0.3,0.17,8,3
9,Warmup,14.7,0.6,14.339,11,0.4547,-5701.689,4080.912,4971,0,-7.37,49.7,-60.0,60.0,-1.147,0.297,-15.132486343383789,1.886499285697937,212.76596069335938,202.9568634033203,2.2098562717437744,0.0050952620804309845,3.334115982055664,18.947704315185547,12.954442977905273,16556.828125,0.1,0.9717832207679749,49702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7.37094253333695,49.70475598616768,262,-12.564689774262275,5.352094823435734,0.7855662559664554,0.5577175238922188,0.2808456278320451,0.16143684827573612,0.7179,13.79,0.0571,2.616,0.543,0.291,0.166,8,3
