ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,23.3,0.8,5.694,16,0.4474,-3092.884,1278.266,4970,0,-4.38,44.07,-60.0,60.0,-0.6223,0.3488,-10.43981647491455,2.437976837158203,27.862197875976562,16.7830810546875,2.9356770515441895,-0.3700326383113861,1.8883965015411377,14.969045639038086,79.69063568115234,512.8873901367188,0.1,0.9970183968544006,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.377013972987771,44.06863745393926,262,-15.233228435641841,0.858927752539429,0.6739655424799785,0.5056584349024854,0.3086943604541387,0.18564720464337592,0.1741,9.62,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,20.7,0.8,5.329,12,0.4823,-2742.765,1067.324,4971,0,-35.46,15.73,-60.0,59.99,-0.5518,0.3486,-10.232898712158203,1.2061097621917725,41.65852737426758,31.03126335144043,1.2738924026489258,0.17934924364089966,0.15140488743782043,12.901216506958008,7.803853511810303,229.97879028320312,0.1,0.9939137101173401,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.46204465398053,15.727806901709846,262,-29.582724575384663,-31.862439087190126,0.6087092211977698,0.5204522597852723,0.29759211312392725,0.18195562709080032,0.2646,9.9,0.0527,2.992,0.506,0.309,0.186,9,3
2,Warmup,21.4,0.7,6.287,14,0.4724,-2546.768,933.823,4970,0,-44.73,14.13,-59.98,59.95,-0.5124,0.3242,-10.511209487915039,1.065327763557434,23.25445556640625,12.95096492767334,0.9827266931533813,0.015560424886643887,0.06753304600715637,12.73140811920166,6.041526794433594,230.64112854003906,0.1,0.9907552599906921,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.73018398630907,14.131983712157254,262,-40.97564942868132,-44.24056859769319,0.7574015375996398,0.5288152186981907,0.29465609910783,0.17652868219397938,0.3368,10.31,0.053,2.98,0.52,0.298,0.182,14,0
3,Warmup,21.1,0.7,4.875,12,0.5021,-2859.137,1154.283,4971,0,-46.43,14.95,-60.0,56.41,-0.5752,0.3525,-10.385986328125,0.9297919273376465,59.69189453125,49.6261100769043,0.8925876617431641,0.00967959314584732,0.043648429214954376,12.364059448242188,4.24252986907959,143.28517150878906,0.1,0.9876577854156494,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.42549918510291,14.948822362547196,262,-44.72190070779699,-46.414342220206,0.7903457267929201,0.5371416512740904,0.2881623901880465,0.17469595853786316,0.3705,10.76,0.0533,2.96,0.529,0.295,0.177,9,3
4,Warmup,20.3,0.6,5.116,14,0.4524,-2618.12,1003.048,4970,0,-48.74,12.82,-59.99,60.0,-0.5268,0.34,-10.616528511047363,0.8431316614151001,40.36846923828125,30.531469345092773,0.8660962581634521,-0.02470732480287552,0.03276771679520607,12.379858016967773,3.275009870529175,96.81892395019531,0.1,0.9845910668373108,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.73916689506479,12.82488365684232,262,-49.16401520779259,-48.699540404896986,0.8217205700279651,0.5408891798637194,0.28751723431096454,0.17159358582531606,0.3703,11.15,0.0536,2.937,0.537,0.288,0.175,12,2
5,Warmup,19.6,0.7,4.428,14,0.426,-2601.009,956.922,4969,0,-49.08,13.5,-59.95,56.72,-0.5234,0.3256,-10.06282901763916,0.8081894516944885,58.99458694458008,49.38784408569336,0.925123929977417,-0.01061846874654293,0.043422896414995193,11.730046272277832,7.20242977142334,174.0862274169922,0.1,0.9815518260002136,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49.0806805256452,13.496756617358454,262,-50.51526708853872,-45.818201065063484,0.8264738810149314,0.543184054468975,0.28761118237449135,0.16920476315653368,0.3626,11.47,0.0539,2.912,0.541,0.288,0.172,16,0
6,Warmup,19.7,0.7,5.75,14,0.5158,-2488.061,875.444,4971,0,-43.87,19.4,-59.89,58.27,-0.5005,0.3251,-10.46634578704834,0.7131433486938477,25.046676635742188,15.647368431091309,0.7760969400405884,-0.03393585607409477,0.024563219398260117,11.951370239257812,1.1380019187927246,124.00393676757812,0.1,0.9784581661224365,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.86549283255261,19.396556751666036,262,-46.611135873041654,-44.04460489687167,0.7640368970661141,0.5468109041473177,0.2865254299854071,0.16666366586727527,0.3431,11.7,0.0542,2.891,0.543,0.288,0.169,15,0
7,Warmup,20.3,0.7,5.703,11,0.5321,-3676.33,1735.811,4970,0,-46.56,18.38,-59.85,59.98,-0.7397,0.3953,-10.359472274780273,0.8371608257293701,56.56851577758789,47.307064056396484,0.8500038385391235,-0.001646560151129961,0.020240575075149536,12.098143577575684,5.23952054977417,209.29937744140625,0.1,0.9755389094352722,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.56086655860276,18.37947559925684,262,-46.54461719236876,-44.103877536874066,0.809258036111683,0.5528852462892508,0.28179399596035115,0.16532075775039798,0.4141,12.09,0.0547,2.855,0.547,0.287,0.167,8,3
8,Warmup,19.7,0.7,9.201,14,0.475,-2508.033,905.418,4970,0,-46.67,16.43,-59.81,55.78,-0.5046,0.3129,-11.006246566772461,0.7682563066482544,23.372032165527344,14.257702827453613,0.7814054489135742,0.0730365663766861,0.020103752613067627,12.693719863891602,5.1085686683654785,128.21893310546875,0.1,0.9726462960243225,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.66928034434376,16.430734329311928,262,-49.14012562726673,-46.729562500903484,0.7966183167215286,0.5595455527694143,0.2786641627293135,0.16179028450127222,0.3607,12.27,0.0551,2.83,0.553,0.282,0.165,13,1
9,Warmup,19.9,0.7,3.935,15,0.4885,-2603.394,918.57,4969,0,-45.12,19.79,-59.9,59.93,-0.5239,0.3111,-10.777759552001953,0.8081256151199341,37.869625091552734,28.881494522094727,0.807509183883667,-0.012372622266411781,0.0177896860986948,12.421260833740234,4.108611583709717,147.9300079345703,0.1,0.969704806804657,49701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.11642373986744,19.787974487234525,262,-50.57633726596832,-40.44809222911534,0.790310241164404,0.5590504861471881,0.2807716940396422,0.16017781981316964,0.3276,12.34,0.0555,2.814,0.56,0.279,0.162,12,3
