ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,22.0,0.6,4.382,13,0.5234,-2513.771,908.166,4970,0,-16.26,30.17,-59.95,59.81,-0.5058,0.3226,-5.974081993103027,1.5061185359954834,17.665855407714844,6.7099528312683105,1.58064866065979,-0.13439933955669403,0.27076056599617004,8.831430435180664,33.55967330932617,251.4269561767578,0.1,0.9970112442970276,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16.264462710651653,30.17011874360877,262,-13.474033905095176,-16.25740440523154,0.49792203080050135,0.5134955790251584,0.2927141395549956,0.19379028141984608,0.1423,9.57,0.0525,2.995,0.5,0.25,0.25,10,3
1,Warmup,21.4,0.6,6.67,15,0.4754,-2377.346,805.535,4970,0,-27.88,27.34,-59.9,60.0,-0.4783,0.3052,-5.873088359832764,0.8999574184417725,14.047560691833496,3.5238168239593506,0.8808275461196899,0.0009963149204850197,0.06283511221408844,7.755036354064941,18.493602752685547,108.59673309326172,0.1,0.993983805179596,9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-27.87788839953496,27.33510389603367,262,-22.647046332296572,-23.765150377997443,0.5866534250850156,0.5226287794811515,0.2929030779255256,0.18446814259332298,0.2254,9.77,0.0526,2.994,0.5,0.25,0.25,12,3
2,Warmup,20.9,0.6,9.137,14,0.4726,-2599.619,939.113,4970,0,-44.03,18.02,-60.0,60.0,-0.5231,0.3155,-6.4839630126953125,0.7472180128097534,13.121438980102539,2.9485199451446533,0.7614019513130188,0.0051890769973397255,0.0399370975792408,8.04859733581543,4.614279270172119,108.99959564208984,0.1,0.9910153746604919,14910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.027960134966214,18.015181510287658,262,-38.88779178795061,-34.92399781095354,0.7549100725832429,0.5374228280092243,0.28615317149832764,0.176424000492448,0.2896,10.09,0.0528,2.987,0.5,0.25,0.25,14,0
3,Warmup,21.7,0.6,4.081,14,0.4752,-2549.374,937.414,4970,0,-41.78,19.2,-59.84,52.75,-0.513,0.3265,-6.527183532714844,0.6411335468292236,12.652531623840332,2.7932119369506836,0.6687988042831421,-0.0444071963429451,0.03037971630692482,7.86588191986084,14.8445405960083,103.88099670410156,0.1,0.988081157207489,19880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.78010446996366,19.197222344007635,262,-42.203041824855305,-39.20236635333613,0.7252217776113818,0.5396890344857344,0.28665613529163936,0.17365483022262618,0.3236,10.45,0.0531,2.976,0.5,0.25,0.25,14,0
4,Warmup,20.6,0.7,4.366,14,0.4366,-2463.105,854.551,4969,0,-46.52,16.58,-59.98,54.15,-0.4957,0.3135,-6.610363006591797,0.5874719023704529,11.570456504821777,1.9985970258712769,0.6001805663108826,-0.009621258825063705,0.022354619577527046,7.839858055114746,9.831446647644043,80.34431457519531,0.1,0.9851226210594177,24849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.51871520743557,16.577752128023743,262,-47.30334661214759,-41.93369596945612,0.7945697666875079,0.5421527976843079,0.2868334318252722,0.17101377049041983,0.3346,10.79,0.0533,2.96,0.5,0.25,0.25,15,0
5,Warmup,19.9,0.6,4.846,12,0.3484,-2822.05,1099.603,4971,0,-42.38,19.81,-59.87,58.32,-0.5677,0.3521,-6.713744640350342,0.5309801697731018,11.898310661315918,2.5789077281951904,0.5861130356788635,-0.0038499352522194386,0.025712862610816956,7.799684524536133,13.367751121520996,101.32617950439453,0.1,0.9822565317153931,29820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.38082903945975,19.806674789760354,262,-46.96675149516055,-35.535655902561395,0.7400566231854957,0.5486156556171643,0.28208968947057816,0.1692946549122576,0.3611,11.16,0.0536,2.938,0.5,0.25,0.25,9,3
6,Warmup,19.8,0.6,4.519,14,0.3599,-2485.873,906.999,4970,0,-42.48,19.75,-59.85,57.17,-0.5002,0.3272,-6.738961219787598,0.5757200717926025,11.243426322937012,2.1925418376922607,0.5443969964981079,-0.0022085520904511213,0.018677018582820892,7.896702766418457,9.269102096557617,101.98539733886719,0.1,0.9793856739997864,34790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.48034910529822,19.748099914677073,262,-45.75793836116791,-35.46530793462145,0.7395114857727573,0.550768207403592,0.2822618950134543,0.1669698975829537,0.3477,11.44,0.0539,2.916,0.5,0.25,0.25,13,1
7,Warmup,20.0,0.6,4.918,12,0.4639,-2500.016,884.618,4970,0,-36.73,23.02,-59.93,55.45,-0.503,0.3174,-6.649187088012695,0.5189230442047119,11.62814712524414,2.8175971508026123,0.4899389147758484,0.009347529150545597,0.01950041763484478,7.725146293640137,2.84212327003479,62.745296478271484,0.1,0.9765104055404663,39760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-36.73467113774127,23.020525317171018,262,-44.28933759996374,-37.87238337805397,0.6693228277694604,0.5559722099222366,0.2782155927686808,0.16581219730908245,0.3341,11.65,0.0543,2.897,0.5,0.25,0.25,9,3
8,Warmup,19.8,0.6,4.678,15,0.3164,-2534.011,915.018,4970,0,-39.14,20.1,-59.94,52.15,-0.5099,0.3243,-6.598270893096924,0.494324266910553,11.087919235229492,2.4884603023529053,0.4443345367908478,-0.010816022753715515,0.016119668260216713,7.624107360839844,1.0428322553634644,57.851280212402344,0.1,0.9736545085906982,44730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.13682178734114,20.10074553292973,262,-44.2872462586941,-39.58310568301302,0.6862501989372284,0.5565466558004238,0.2801257582921317,0.16332758590744462,0.3224,11.8,0.0546,2.88,0.5,0.25,0.25,12,3
9,Warmup,20.5,0.6,4.33,14,0.4667,-2699.761,1020.528,4970,0,-38.62,23.6,-59.98,56.64,-0.5432,0.3369,-6.785693645477295,0.5871558785438538,10.601029396057129,2.1717159748077393,0.5730020999908447,-0.021036634221673012,0.018520422279834747,7.9549560546875,3.468465805053711,109.78829956054688,0.1,0.9707818627357483,49700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.616523238169535,23.597656524144757,262,-39.883577862695645,-39.462371693473116,0.7020868206593123,0.5578046325502032,0.28034692775826536,0.16184843969153143,0.3233,11.92,0.0549,2.865,0.5,0.25,0.25,16,0
