ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,33.7,3.0,7.223,17,0.5813,-3422.849,1537.176,4971,0,5.81,39.49,-60.0,60.0,-0.6886,0.3485,0.7426165342330933,3.037720203399658,35.16364669799805,24.033187866210938,2.714198589324951,1.3826091289520264,5.116455078125,6.856369972229004,22.334030151367188,288.4140625,0.1,0.9970270395278931,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.8131691930660825,39.48920998934658,262,4.84683602072342,1.9420409934562552,0.5938224048288566,0.5072747124234595,0.31027321562557153,0.1824520719509689,0.1919,9.65,0.0526,2.995,0.5,0.3,0.2,16,1
1,Warmup,45.1,1.2,9.783,15,0.6866,-5437.53,3338.815,4970,0,54.58,16.56,-60.0,60.0,-1.0941,0.291,1.4860039949417114,3.3516392707824707,160.59815979003906,149.4801483154297,3.4796600341796875,1.7159149646759033,29.873214721679688,7.100844383239746,17.011672973632812,1776.8819580078125,0.1,0.9959772825241089,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.579255068038314,16.558023226459156,262,53.72466835191375,52.12292350467883,0.9379395808176514,0.5243293940795116,0.30345587871138524,0.17221472720910316,0.4214,10.35,0.0529,2.977,0.507,0.31,0.182,12,3
2,Warmup,34.5,1.1,18.137,12,0.215,-6045.603,4454.472,4970,0,-7.77,54.02,-60.0,60.0,-1.2164,0.2054,10.971580505371094,3.1375648975372314,173.3721923828125,162.35671997070312,2.9669055938720703,3.6986427307128906,32.469905853271484,-0.8138561844825745,26.041563034057617,5800.3291015625,0.1,0.9979237914085388,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7.771552791937406,54.024033946501405,262,30.031742266604773,17.380457775216353,0.8782383163061263,0.5613117571782898,0.27926699946518285,0.15942124335652733,0.5883,11.4,0.0536,2.911,0.524,0.303,0.172,9,3
3,Warmup,37.1,1.3,9.558,12,0.4063,-6054.091,4436.007,4969,0,-4.31,50.06,-60.0,60.0,-1.2184,0.186,17.439098358154297,3.525538682937622,297.9084167480469,286.9591979980469,2.7400271892547607,5.528293609619141,39.69160079956055,-4.671475410461426,29.062578201293945,16159.0458984375,0.1,1.0015199184417725,19880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.311346567144611,50.058566783848036,262,-3.4706864005640936,1.3374313134896127,0.7897069743529437,0.5756876651039424,0.2691775933188806,0.15513474157717697,0.6794,12.4,0.0546,2.805,0.561,0.279,0.159,9,3
4,Warmup,36.8,0.8,11.096,12,0.4808,-6039.478,4356.623,4969,0,-4.91,50.94,-60.0,60.0,-1.2154,0.1968,16.77596092224121,2.8587236404418945,139.95021057128906,129.01675415039062,2.9889602661132812,5.071224689483643,31.243499755859375,-5.842634201049805,23.666826248168945,5448.6494140625,0.1,1.0055975914001465,24849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.909638939184319,50.944662216297715,262,13.447330365839758,-5.731330647594049,0.809817956011059,0.5895385283892375,0.25943754610026093,0.15102392551050167,0.72,13.22,0.0556,2.688,0.576,0.269,0.155,9,3
5,Warmup,44.7,2.2,5.062,16,0.5224,-5411.586,3773.74,4971,0,1.29,43.25,-59.75,59.67,-1.0886,0.3174,20.812240600585938,2.863046884536743,240.29336547851562,229.43875122070312,2.6875040531158447,6.519559383392334,46.33515930175781,-8.305551528930664,21.6232967376709,12392.7001953125,0.1,1.0095491409301758,29820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2852311218961148,43.24851623818656,262,11.309308314323426,7.5601890087127686,0.6654503796086383,0.5879039881912531,0.26364104171807856,0.14845497009066827,0.6933,13.81,0.0567,2.584,0.59,0.259,0.151,14,2
6,Warmup,42.9,1.2,8.31,12,0.5004,-6047.119,4340.746,4971,0,-11.96,49.93,-60.0,60.0,-1.2165,0.1879,15.791228294372559,2.7186598777770996,233.81832885742188,223.0557098388672,2.298454999923706,5.701997756958008,39.075889587402344,-4.470178127288818,98.58544158935547,8428.0341796875,0.1,1.013554334640503,34791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11.959887664508074,49.928446364849734,262,7.9030769749691645,-3.734544893314964,0.8235499300074945,0.5957744466863724,0.257800974583718,0.14642457872990958,0.6995,14.31,0.0579,2.48,0.588,0.264,0.148,9,3
7,Warmup,38.7,1.1,5.302,14,0.3196,-5582.089,3971.633,4970,0,-5.95,48.09,-59.8,59.9,-1.1232,0.293,18.966114044189453,2.2441821098327637,274.3360290527344,263.5799560546875,2.775921583175659,6.771855354309082,47.939453125,-7.399298191070557,20.906330108642578,5062.4931640625,0.1,1.0174164772033691,39761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.953314008736155,48.08590162412836,262,5.188802998316916,2.1657711223552107,0.7698474516426896,0.5975342012558147,0.25788205084791577,0.14458374789626952,0.6599,14.67,0.0591,2.389,0.596,0.258,0.146,11,3
8,Warmup,51.2,2.0,4.367,15,0.5374,-5671.604,4080.649,4970,0,-8.77,49.32,-59.89,59.65,-1.1412,0.2768,17.662677764892578,2.2402074337005615,153.37738037109375,142.7576446533203,2.169057607650757,5.4068498611450195,34.084754943847656,-7.488744735717773,88.80709075927734,2799.066162109375,0.1,1.0213152170181274,44731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8.76991115462792,49.32423210069399,262,2.2748927342264267,-6.640530083053991,0.805222433796881,0.5967563300273775,0.25998210613510525,0.1432615638375174,0.6269,14.95,0.0605,2.304,0.598,0.258,0.145,12,3
9,Warmup,38.3,1.1,6.553,13,0.6163,-5731.644,4098.921,4971,0,-11.77,49.17,-60.0,59.92,-1.153,0.263,18.459407806396484,2.1702423095703125,132.75872802734375,122.21727752685547,2.077280044555664,6.247827529907227,29.798974990844727,-7.5493316650390625,53.51008224487305,3883.090576171875,0.1,1.0251823663711548,49702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11.765589523584616,49.16506898027533,262,-2.946620426052495,-8.65656199000384,0.8054774612421126,0.6002326445090013,0.257653724320699,0.14211363117029974,0.5972,15.16,0.0621,2.225,0.597,0.26,0.143,10,3
