ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,6.2,0.4,5.657,16,0.4039,-3177.359,1300.923,4971,0,-5.22,44.3,-60.0,59.99,-0.6392,0.3393,-10.486516952514648,2.4590158462524414,61.04106521606445,49.975833892822266,2.9422733783721924,-0.36460936069488525,2.0986878871917725,15.054058074951172,72.06903839111328,577.1102905273438,0.1,1.0029877424240112,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.21637136144202,44.295602999613344,262,-2.737134607214677,-7.315174862655283,0.6812735255163763,0.505690387863822,0.30892116521961593,0.18538844691656206,0.1787,9.62,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,9.6,0.5,10.104,14,0.4147,-2679.871,1005.706,4971,0,-34.46,16.9,-59.62,59.38,-0.5391,0.3242,-10.533491134643555,1.1477118730545044,26.80386734008789,16.25716209411621,1.1661198139190674,-0.0477302223443985,0.1251833736896515,12.86491870880127,1.6687870025634766,159.4193878173828,0.1,1.0061067342758179,9942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.46046387168216,16.90300246644882,262,-26.789949679374693,-26.79244992050685,0.5983448593353926,0.5281289881922288,0.29781721789504473,0.17405379391272652,0.2636,9.9,0.0527,2.991,0.506,0.309,0.185,11,3
2,Warmup,6.1,0.4,4.962,14,0.5799,-2510.077,891.703,4970,0,-45.26,15.81,-59.98,59.73,-0.505,0.3147,-9.850883483886719,0.8622387647628784,26.61566734313965,16.431814193725586,0.8786329030990601,0.006762336008250713,0.0720939114689827,11.639418601989746,2.9756178855895996,230.6551971435547,0.1,1.0093594789505005,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.256806933911335,15.811801100662992,262,-43.05080176529131,-43.2472769059633,0.7689693467036056,0.5327144319830678,0.2966641713303239,0.1706213966866082,0.3445,10.34,0.053,2.979,0.528,0.298,0.174,14,0
3,Warmup,6.1,0.4,4.768,12,0.436,-2928.095,1218.445,4970,0,-42.19,18.15,-60.0,56.55,-0.5892,0.3623,-10.388070106506348,0.876725435256958,26.15899085998535,16.263839721679688,0.8643309473991394,0.024699095636606216,0.04231199994683266,12.186727523803711,8.544559478759766,226.1188507080078,0.1,1.012554407119751,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.18639062852627,18.150833817043612,262,-43.237367838307435,-42.264800012111664,0.7275784418175099,0.5406426430601511,0.29053118294394314,0.16882617399590585,0.3804,10.81,0.0533,2.958,0.533,0.297,0.171,9,3
4,Warmup,6.3,0.5,4.744,12,0.5255,-2932.199,1210.203,4970,0,-39.84,19.99,-60.0,59.76,-0.59,0.3654,-11.166163444519043,0.8693983554840088,37.37495422363281,27.706615447998047,0.8848639726638794,-0.0018796962685883045,0.03427071496844292,12.961479187011719,2.8650624752044678,176.5369873046875,0.1,1.0156757831573486,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.83913115450974,19.994735866917566,262,-43.44934831418489,-42.518551142905885,0.6982067508583912,0.5472525855053266,0.28519138411603845,0.1675560303786349,0.3975,11.26,0.0537,2.929,0.541,0.291,0.169,9,3
5,Warmup,6.2,3.9,4.639,13,0.5092,-2583.798,950.2,4971,0,-44.19,17.7,-59.9,59.82,-0.5198,0.3288,-10.23046588897705,0.7308148145675659,47.38957214355469,37.93647384643555,0.8111142516136169,-0.013624567538499832,0.029184212908148766,11.712453842163086,2.894183874130249,181.60507202148438,0.1,1.0188018083572388,29823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.19310432851159,17.69985418021582,262,-44.970602533064394,-45.459350451356485,0.7597376745432239,0.551231956314958,0.28283882650436054,0.16592921718068143,0.3775,11.6,0.054,2.901,0.547,0.285,0.168,12,1
6,Warmup,6.3,0.6,4.798,12,0.5369,-2700.16,1041.533,4971,0,-40.85,19.09,-59.96,59.5,-0.5432,0.3474,-11.448490142822266,0.7937104105949402,23.627979278564453,14.369806289672852,0.7961560487747192,-0.0029343629721552134,0.02480250969529152,13.04985237121582,1.283598780632019,145.82110595703125,0.1,1.0219889879226685,34794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.84592014000051,19.08884856663354,262,-43.52496818711883,-41.36033711433411,0.7123892139305359,0.556519350823398,0.2785429943335606,0.1649376548430414,0.3665,11.87,0.0544,2.875,0.551,0.283,0.166,9,3
7,Warmup,6.2,0.6,4.264,12,0.5205,-2701.896,1049.008,4971,0,-36.98,20.84,-59.95,58.31,-0.5435,0.3502,-10.528814315795898,0.7499806880950928,32.07126998901367,23.009923934936523,0.7045862674713135,0.0057924906723201275,0.020457202568650246,12.087890625,3.0708703994750977,156.17440795898438,0.1,1.0251857042312622,39765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-36.97517415060409,20.844710960209785,262,-39.88422716165844,-39.207271056426194,0.6590718878888588,0.5607306348365977,0.27503819765009696,0.16423116751330552,0.3531,12.07,0.0548,2.851,0.557,0.279,0.165,9,3
8,Warmup,6.4,0.6,4.237,14,0.4528,-2543.93,918.448,4971,0,-45.83,14.15,-59.86,59.81,-0.5118,0.3161,-10.352213859558105,0.657013475894928,29.998390197753906,21.118343353271484,0.7711869478225708,-0.019075915217399597,0.01645943522453308,11.687129974365234,1.766990303993225,151.10861206054688,0.1,1.028400182723999,44736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.82919495536066,14.148437981268058,262,-43.12973704181219,-44.36558042184303,0.773614671405594,0.5619158923091807,0.2754282479773482,0.16265585971347113,0.3258,12.17,0.0551,2.834,0.561,0.275,0.164,11,3
9,Warmup,6.1,0.6,6.554,12,0.3767,-3082.458,1350.593,4970,0,-40.98,19.27,-59.93,59.87,-0.6202,0.3784,-11.236763954162598,0.7284401655197144,18.443050384521484,9.698527336120605,0.7541548609733582,0.022821586579084396,0.015695124864578247,12.745304107666016,4.5282087326049805,162.51254272460938,0.1,1.031567931175232,49706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.980872360224154,19.27090502801702,262,-43.1813378246207,-43.78424632784568,0.7134957041364299,0.5679718971129417,0.2710814387022224,0.16094666418483594,0.3475,12.3,0.0556,2.815,0.562,0.275,0.163,9,3
