ep,tid,dir,hour,period,delta_t,base_hw,eff_hw,s_hold_mean,s_hold_std,hold_mean,hold_std,hold_max,hold_n,penalty,reward
30,0,1,6,trans,4.2,360.0,364.0,0.0,0.0,28.0,26.2,59.1,14,0.466,-1.863
30,1,0,6,trans,50.6,360.0,411.0,0.0,0.0,25.1,29.3,58.2,15,0.419,-1.84
30,2,1,6,trans,-55.0,360.0,305.0,0.0,0.0,11.1,44.4,59.7,19,0.184,-1.722
30,3,0,6,trans,-78.4,360.0,282.0,0.0,0.0,9.9,35.6,60.0,19,0.165,-1.713
30,4,1,6,trans,88.1,360.0,448.0,0.0,0.0,14.5,33.6,57.7,19,0.242,-1.751
30,5,0,6,trans,63.7,360.0,424.0,0.0,0.0,8.2,30.6,49.8,19,0.137,-1.699
30,6,1,6,trans,-46.0,360.0,314.0,0.0,0.0,31.1,32.3,59.4,19,0.518,-1.889
30,7,0,6,trans,-46.3,360.0,314.0,0.0,0.0,9.3,45.4,59.4,19,0.155,-1.708
30,8,1,6,trans,19.8,360.0,380.0,0.0,0.0,-4.0,41.3,59.1,19,0.066,-1.663
30,9,0,6,trans,49.7,360.0,410.0,0.0,0.0,-3.0,44.3,59.7,19,0.051,-1.656
30,10,1,6,trans,-67.2,360.0,293.0,0.0,0.0,19.7,33.5,59.7,19,0.328,-1.794
30,11,0,6,trans,35.3,360.0,395.0,0.0,0.0,16.3,42.3,60.0,19,0.272,-1.766
30,12,1,6,trans,-4.9,360.0,355.0,0.0,0.0,15.9,37.4,59.3,19,0.265,-1.763
30,13,0,6,trans,61.3,360.0,421.0,27.8,0.0,37.5,34.0,60.0,19,0.625,-1.943
30,14,1,6,trans,-65.4,360.0,295.0,23.3,0.0,23.1,27.7,59.6,19,0.385,-1.823
30,15,0,6,trans,25.5,360.0,385.0,13.4,0.0,23.9,29.3,58.4,19,0.399,-1.83
30,16,1,6,trans,-19.4,360.0,341.0,6.4,0.0,9.1,32.2,57.1,19,0.151,-1.706
30,17,0,6,trans,60.5,360.0,420.0,13.4,0.0,-55.9,11.3,-9.9,19,0.932,-2.096
30,18,1,6,trans,20.5,360.0,380.0,0.0,0.0,7.6,37.7,59.0,19,0.126,-1.693
30,19,0,6,trans,21.1,360.0,381.0,13.8,15.2,5.2,41.1,59.4,18,0.087,-1.674
30,20,1,7,peak,-40.1,360.0,320.0,8.2,0.0,19.6,41.9,59.7,19,0.327,-1.794
30,21,0,7,peak,-14.9,360.0,345.0,12.7,18.6,20.3,30.2,55.9,19,0.338,-1.799
30,22,1,7,peak,80.8,360.0,441.0,0.0,0.0,18.0,34.2,56.0,19,0.299,-1.78
30,23,0,7,peak,-25.4,360.0,335.0,23.5,7.8,15.2,38.5,57.0,19,0.253,-1.757
30,24,1,7,peak,-35.2,360.0,325.0,0.0,0.0,2.6,38.9,58.1,19,0.044,-1.652
30,25,0,7,peak,2.3,360.0,362.0,15.6,0.2,18.0,40.6,59.5,19,0.3,-1.78
30,26,1,7,peak,66.0,360.0,426.0,12.5,0.0,24.8,39.4,60.0,19,0.414,-1.837
30,27,0,7,peak,20.5,360.0,381.0,18.2,2.8,25.3,34.5,58.3,19,0.422,-1.841
30,28,1,7,peak,-30.1,360.0,330.0,0.0,0.0,20.6,33.5,59.5,19,0.343,-1.802
30,29,0,7,peak,83.6,360.0,444.0,16.1,4.9,-52.8,26.7,60.0,19,0.881,-2.071
30,30,1,7,peak,30.1,360.0,390.0,0.0,0.0,24.1,34.0,60.0,19,0.401,-1.831
30,31,0,7,peak,-23.6,360.0,336.0,10.7,0.5,-6.1,50.0,60.0,18,0.102,-1.681
30,32,1,7,peak,97.9,360.0,458.0,14.1,5.9,-20.7,48.4,60.0,19,0.346,-1.803
30,33,0,7,peak,-40.1,360.0,320.0,15.2,5.0,22.2,41.3,60.0,19,0.371,-1.816
30,34,1,7,peak,13.6,360.0,374.0,12.3,4.1,0.7,46.7,54.6,17,0.011,-1.636
30,35,0,7,peak,-1.9,360.0,358.0,20.2,0.0,23.4,34.9,60.0,19,0.39,-1.825
30,36,1,7,peak,-37.7,360.0,322.0,14.9,1.5,18.3,38.4,60.0,19,0.305,-1.783
30,37,0,7,peak,92.4,360.0,452.0,7.1,7.6,-49.2,24.7,22.9,19,0.819,-2.04
30,38,1,7,peak,-63.7,360.0,296.0,13.5,0.0,20.9,39.0,59.5,19,0.348,-1.804
30,39,0,7,peak,-101.5,360.0,259.0,-0.5,0.0,12.7,54.7,60.0,17,0.212,-1.736
30,40,1,8,peak,3.4,360.0,363.0,14.2,0.0,10.3,50.0,60.0,19,0.172,-1.716
30,41,0,8,peak,-22.9,360.0,337.0,26.6,0.0,33.1,36.1,60.0,19,0.551,-1.906
30,42,1,8,peak,74.8,360.0,435.0,-56.1,0.0,-8.1,47.4,56.5,19,0.135,-1.698
30,43,0,8,peak,54.5,360.0,414.0,0.0,0.0,-50.9,25.7,54.7,19,0.849,-2.055
30,44,1,8,peak,-36.9,360.0,323.0,-14.8,41.3,29.8,40.1,60.0,19,0.496,-1.878
30,45,0,8,peak,-20.0,360.0,340.0,16.5,0.0,-17.7,46.2,60.0,13,0.296,-1.778
30,46,1,8,peak,27.6,360.0,388.0,11.2,15.2,16.5,42.1,60.0,19,0.275,-1.768
30,47,0,8,peak,-21.7,360.0,338.0,0.0,0.0,-19.4,46.4,59.9,19,0.323,-1.792
30,48,1,8,peak,26.1,360.0,386.0,-4.0,0.0,-47.2,19.5,1.3,19,0.787,-2.024
30,49,0,8,peak,-18.7,360.0,341.0,25.8,0.0,-46.7,25.8,26.8,19,0.778,-2.019
30,50,1,8,peak,-14.8,360.0,345.0,24.1,0.0,-4.0,53.5,60.0,14,0.067,-1.664
30,51,0,8,peak,-48.2,360.0,312.0,14.6,0.0,-4.3,49.3,60.0,17,0.072,-1.666
30,52,1,8,peak,62.1,360.0,422.0,-17.0,36.2,-53.3,24.0,47.8,19,0.888,-2.074
30,53,0,8,peak,-29.9,360.0,330.0,0.0,0.0,32.8,30.5,60.0,19,0.547,-1.904
30,54,1,8,peak,-34.4,360.0,326.0,-17.0,36.2,21.4,48.1,60.0,16,0.357,-1.809
30,55,0,8,peak,-16.1,360.0,344.0,0.0,0.0,-40.2,30.9,43.3,19,0.67,-1.965
30,56,1,8,peak,-11.2,360.0,349.0,19.3,0.0,6.1,40.0,60.0,19,0.102,-1.681
30,57,0,8,peak,-63.5,360.0,296.0,-22.7,0.0,-14.7,52.5,60.0,15,0.246,-1.753
30,58,1,8,peak,-59.0,360.0,301.0,6.7,0.0,11.4,37.6,58.3,19,0.19,-1.725
30,59,0,8,peak,14.1,360.0,374.0,0.0,0.0,-13.0,41.0,55.5,19,0.216,-1.738
30,60,1,9,peak,78.3,360.0,438.0,-38.1,11.6,-30.7,47.2,60.0,19,0.512,-1.886
30,61,0,9,peak,40.5,360.0,400.0,0.0,0.0,-38.8,42.2,59.8,19,0.646,-1.953
30,62,1,9,peak,16.8,360.0,377.0,0.9,27.5,-51.9,23.5,40.1,19,0.865,-2.063
30,63,0,9,peak,60.4,360.0,420.0,-10.7,0.0,-47.1,26.4,33.9,19,0.785,-2.023
30,64,1,9,peak,2.3,360.0,362.0,-16.3,33.1,-29.7,48.0,59.9,19,0.495,-1.878
30,65,0,9,peak,12.3,360.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.63
30,66,1,9,peak,-13.6,360.0,346.0,-11.5,32.3,-23.5,43.2,59.0,19,0.392,-1.826
30,67,0,9,peak,81.0,360.0,441.0,0.0,0.0,29.7,38.9,59.8,19,0.496,-1.878
30,68,1,9,peak,-83.6,360.0,276.0,-31.4,19.2,8.1,39.4,57.7,17,0.135,-1.698
30,69,0,9,peak,37.4,360.0,397.0,-6.4,28.6,-22.4,41.4,58.2,19,0.373,-1.817
