ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,23.8,2.8,5.699,16,0.524,-3251.787,1393.165,4970,0,-5.25,44.19,-60.0,60.0,-0.6543,0.3467,-11.86674976348877,2.5037121772766113,49.97624206542969,38.890113830566406,3.0625686645507812,-0.28171658515930176,1.8244538307189941,16.612512588500977,102.57659912109375,605.9566650390625,0.1,1.0029866695404053,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.250659155162047,44.193657798744844,262,-3.9870605947155697,-5.037207066664221,0.679493448974879,0.5053310303220796,0.3084650707166358,0.18620389896128461,0.1827,9.63,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,28.4,1.3,5.297,12,0.4202,-2966.315,1210.429,4969,0,-30.97,19.02,-60.0,60.0,-0.597,0.361,-9.501677513122559,1.2179584503173828,70.58865356445312,59.98676681518555,1.2343244552612305,-0.07332663238048553,0.15712782740592957,11.957130432128906,3.4189040660858154,119.61103820800781,0.1,1.006116271018982,9939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-30.96502189969385,19.02130777259776,262,-21.983138903818634,-27.097084536991623,0.5572036529673383,0.5202304046256592,0.2975525793707768,0.1822170160035639,0.2823,9.95,0.0527,2.99,0.505,0.308,0.186,9,3
2,Warmup,19.2,1.2,9.686,11,0.3846,-4229.098,2234.607,4969,0,-47.79,20.37,-60.0,59.94,-0.8511,0.3897,-11.1984281539917,1.3777575492858887,55.363311767578125,44.93213653564453,1.4457179307937622,0.052941661328077316,0.09855125844478607,14.122528076171875,14.722710609436035,602.0369262695312,0.1,1.0088026523590088,14908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.791812461706975,20.373706018560263,262,-42.382466472450055,-48.24107566381757,0.8406515972791304,0.5416114138222311,0.28314534365745836,0.17524324252031054,0.4159,10.58,0.0531,2.968,0.52,0.298,0.182,8,3
3,Warmup,21.0,1.1,5.126,13,0.4732,-2622.071,950.937,4970,0,-48.86,12.05,-59.9,59.75,-0.5276,0.3247,-10.461614608764648,1.1024169921875,36.86228942871094,26.627059936523438,1.205093502998352,0.03160833567380905,0.051307957619428635,12.870898246765137,6.778514862060547,283.6275939941406,0.1,1.0116182565689087,19878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.85514738636478,12.046165690409628,262,-46.579914439979355,-51.83554874344876,0.8227922538632324,0.5479007196012678,0.2796253453422291,0.17247393505650313,0.3959,11.05,0.0535,2.942,0.542,0.283,0.175,10,3
4,Warmup,24.9,1.0,6.33,14,0.3451,-2680.107,999.936,4970,0,-53.24,8.73,-59.91,59.62,-0.5393,0.3217,-10.670929908752441,1.0093778371810913,54.483558654785156,44.47753143310547,1.0327824354171753,0.03611297532916069,0.04277314990758896,12.878433227539062,7.449713230133057,308.3515625,0.1,1.0147640705108643,24848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-53.23706507206683,8.728234208244688,262,-51.772819900512694,-53.36758429753153,0.8915052655386336,0.5534417726818023,0.2781293141581181,0.16842891316007969,0.3798,11.42,0.0538,2.915,0.548,0.28,0.172,14,0
5,Warmup,43.5,2.2,5.036,11,0.4684,-3711.262,1757.642,4970,0,-50.91,15.62,-59.99,59.9,-0.7467,0.388,-12.168668746948242,1.0365066528320312,49.62226104736328,39.80732727050781,0.9715345501899719,-0.0009353132918477058,0.05237874761223793,14.345266342163086,5.607705593109131,541.3969116210938,0.1,1.0178700685501099,29818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-50.91112164889483,15.61506563690037,262,-51.32273172202863,-53.028376155777984,0.8732359744039869,0.5597134204715141,0.2733035559685196,0.16698302355996628,0.4322,11.88,0.0543,2.875,0.553,0.278,0.168,8,3
6,Warmup,19.7,0.9,9.642,12,0.431,-2971.81,1224.021,4970,0,-48.53,15.5,-59.91,60.0,-0.5979,0.3698,-10.50317096710205,1.074866533279419,51.05452346801758,41.376564025878906,1.1281005144119263,0.07843779027462006,0.027372993528842926,12.845653533935547,5.7824578285217285,296.974365234375,0.1,1.0209624767303467,34788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.527332027808164,15.498903182794125,262,-49.70762551019066,-48.677742820664456,0.8270363624103138,0.5710650010479054,0.2654985698915598,0.16343642906053477,0.4064,12.21,0.0547,2.839,0.56,0.273,0.167,9,3
7,Warmup,14.8,1.2,3.735,13,0.5528,-2696.455,1030.289,4971,0,-49.69,14.9,-59.92,59.98,-0.5424,0.3294,-11.692953109741211,1.0271637439727783,61.12937927246094,51.613197326660156,0.9494807720184326,0.013984551653265953,0.02514452487230301,13.834587097167969,9.685115814208984,431.0367736816406,0.1,1.024164080619812,39759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49.69466255446197,14.899859471538612,262,-53.63801754336608,-48.70464700585917,0.8436654478921448,0.5729354774419816,0.26444239986701,0.1626221226910084,0.362,12.38,0.0551,2.813,0.571,0.265,0.163,10,3
8,Warmup,22.7,3.1,3.905,13,0.2856,-2507.675,902.497,4970,0,-48.17,14.78,-59.95,59.76,-0.5046,0.3107,-11.148914337158203,0.8503736853599548,62.52511978149414,53.173866271972656,0.7749955058097839,-0.017333436757326126,0.023935291916131973,12.900455474853516,5.211225986480713,134.80690002441406,0.1,1.0275081396102905,44729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.16515391916936,14.776326597657928,262,-50.95835573045831,-48.51184679332532,0.8162160150093832,0.5752023921739658,0.2635352420885291,0.16126236573750505,0.3119,12.4,0.0555,2.799,0.573,0.264,0.163,10,3
9,Warmup,17.9,2.0,4.018,15,0.4133,-2555.54,938.136,4970,0,-44.84,18.54,-59.88,59.96,-0.5142,0.3323,-10.293082237243652,0.800360918045044,30.253541946411133,21.093656539916992,0.8116127848625183,0.04916801303625107,0.023250488564372063,12.020648956298828,4.666294574737549,268.76336669921875,0.1,1.0309336185455322,49699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.839102366846994,18.543524593621278,262,-49.036336245975995,-46.369338935378345,0.776109956989929,0.5746195711557055,0.2659006932864363,0.15947973555785824,0.2777,12.31,0.0558,2.793,0.575,0.264,0.161,12,3
