ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.1,1.8,4.414,13,0.4573,-2650.142,982.028,4970,0,-15.99,30.62,-60.0,60.0,-0.5332,0.3308,-5.743326663970947,1.5176804065704346,16.87506103515625,5.905085563659668,1.572584867477417,-0.16907170414924622,0.2792821526527405,8.580768585205078,6.380599498748779,271.04559326171875,0.1,1.00300931930542,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15.99094547150128,30.617791797228058,262,-12.945160926508724,-17.10068361892512,0.503736690406556,0.5139625052869823,0.2928087833179137,0.19322871139510395,0.1499,9.58,0.0525,2.995,0.5,0.3,0.2,10,3
1,Warmup,14.5,0.7,5.43,13,0.4807,-2303.031,754.063,4970,0,-26.03,29.67,-60.0,60.0,-0.4634,0.2959,-5.9536027908325195,0.8438727259635925,13.867687225341797,3.318862199783325,0.845120370388031,-0.012799913063645363,0.08047902584075928,7.704780101776123,4.164463043212891,76.84578704833984,0.1,1.0061042308807373,9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-26.028186953751373,29.667164917020536,262,-22.104948004844942,-26.64001136877035,0.5925858920869524,0.5259537553284439,0.28627391596392693,0.18777232870762925,0.2254,9.78,0.0526,2.994,0.514,0.293,0.193,10,3
2,Warmup,14.2,0.7,5.041,15,0.4215,-2503.256,891.614,4970,0,-42.45,19.65,-59.92,59.33,-0.5037,0.3193,-6.231969833374023,0.6876499652862549,13.543937683105469,3.3564395904541016,0.7831597924232483,0.013790162280201912,0.03645891696214676,7.694253921508789,2.7171835899353027,127.78446960449219,0.1,1.0091928243637085,14910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.45464656629733,19.646725387140453,262,-42.55218082854622,-35.887183475023825,0.7397329588820433,0.5288994074754031,0.2891568111632818,0.18194378136131514,0.291,10.1,0.0528,2.987,0.526,0.286,0.188,14,1
3,Warmup,14.5,0.7,5.299,15,0.3641,-2498.992,878.208,4970,0,-44.44,18.37,-59.85,54.81,-0.5028,0.306,-6.31571626663208,0.6089944243431091,12.608452796936035,2.7469050884246826,0.6446979641914368,-0.010537127032876015,0.03231604024767876,7.601233005523682,2.564403533935547,67.68080139160156,0.1,1.0122706890106201,19880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.43662528517006,18.37144055815973,262,-44.66842008389925,-40.98142895918143,0.7680782275049767,0.5318872300658506,0.2912202896765635,0.17689248025758586,0.3217,10.45,0.0531,2.975,0.529,0.289,0.182,14,1
4,Warmup,14.0,0.8,5.042,14,0.4742,-2485.753,893.375,4970,0,-44.71,18.03,-59.92,51.35,-0.5002,0.3131,-6.696930885314941,0.6292616128921509,12.543050765991211,2.985360860824585,0.6077702045440674,-0.00022680731490254402,0.02857593446969986,8.000138282775879,4.564282417297363,99.4568099975586,0.1,1.0153627395629883,24850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.705865936370294,18.02912426274765,262,-45.22830579249482,-42.53368992178064,0.7697656519052487,0.535674288705386,0.2905350852993563,0.17379062599525763,0.3355,10.8,0.0533,2.959,0.532,0.291,0.177,14,0
5,Warmup,14.8,0.9,4.951,15,0.4578,-2498.648,859.011,4970,0,-39.86,20.83,-59.86,53.29,-0.5027,0.3015,-6.577584266662598,0.6029589176177979,12.303964614868164,2.9814612865448,0.5999435186386108,-0.0018977177096530795,0.02019580267369747,7.822685241699219,5.407197952270508,110.18768310546875,0.1,1.018466830253601,29820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.85915456312433,20.830249063526633,262,-42.663164648099944,-37.23087118573879,0.7034064917242072,0.5371128206278618,0.2923286003095251,0.170558579062613,0.3398,11.11,0.0536,2.941,0.536,0.291,0.174,16,0
6,Warmup,14.8,0.9,4.596,14,0.3801,-2555.932,895.021,4970,0,-42.36,18.85,-59.83,51.31,-0.5143,0.3093,-6.59034538269043,0.5700653195381165,11.76232624053955,2.685321092605591,0.5481533408164978,0.012499922886490822,0.022407621145248413,7.761638641357422,20.763568878173828,112.54535675048828,0.1,1.021558403968811,34790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.35875745932581,18.849153905537474,262,-41.22021489755104,-43.528852567978596,0.7316596317810315,0.5395920670936306,0.29221419090694667,0.1681937419994227,0.341,11.38,0.0539,2.921,0.537,0.292,0.171,15,0
7,Warmup,14.3,0.7,7.39,14,0.4579,-2560.572,878.238,4970,0,-38.47,19.69,-59.87,52.57,-0.5152,0.3025,-6.260673999786377,0.46608322858810425,10.877142906188965,2.035026788711548,0.5297548770904541,-0.004713821224868298,0.01331106573343277,7.21978235244751,9.27047061920166,94.99591064453125,0.1,1.024682879447937,39760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.469884605136826,19.688689214262396,262,-41.22013082127823,-36.45870308985836,0.6711887469812816,0.5451161811134192,0.28987875116278755,0.16500506772379328,0.3365,11.61,0.0542,2.901,0.54,0.292,0.168,15,0
8,Warmup,14.2,0.8,6.501,14,0.4006,-2554.852,889.307,4970,0,-38.51,20.91,-59.73,55.53,-0.5141,0.305,-7.472426414489746,0.4698742628097534,11.200286865234375,2.6067891120910645,0.47523757815361023,0.008478783071041107,0.016418423503637314,8.442224502563477,10.740102767944336,66.54572296142578,0.1,1.027809739112854,44730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.51418820789132,20.9055576618486,262,-39.915444230876474,-35.09498670290371,0.6828868589146347,0.5491610359397671,0.28845481904854714,0.16238414501168585,0.3273,11.77,0.0546,2.884,0.545,0.29,0.165,11,3
9,Warmup,13.8,0.8,5.529,12,0.5418,-2676.894,987.439,4970,0,-35.51,22.24,-59.81,59.99,-0.5386,0.3338,-6.7403459548950195,0.4473646283149719,10.715527534484863,2.2990498542785645,0.517493724822998,0.00030836439691483974,0.01381308026611805,7.666056156158447,3.6847732067108154,102.80804443359375,0.1,1.0309455394744873,49700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.50601672895695,22.240536078007807,262,-37.27386163237848,-37.100851889033066,0.6436266642819192,0.5541994731505208,0.2844355037931509,0.1613650230563283,0.3262,11.91,0.0549,2.868,0.549,0.288,0.162,9,3
