ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,24.3,2.8,5.818,16,0.4954,-3354.072,1424.714,4971,0,-5.2,44.25,-60.0,60.0,-0.6747,0.3495,-10.922778129577637,2.5932857990264893,77.04686737060547,65.96733856201172,3.077578067779541,-0.2657414674758911,1.98874831199646,15.861573219299316,98.39596557617188,646.8810424804688,0.1,1.0029988288879395,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.202944668237322,44.254281498531384,262,-5.539373394690061,-1.692613492827666,0.6810226422081382,0.5059951127540733,0.3082126522484666,0.18579223499746003,0.1882,9.64,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,19.9,1.9,4.857,14,0.4199,-2583.715,934.293,4970,0,-32.08,16.78,-58.49,59.0,-0.5199,0.3123,-10.566553115844727,1.135110855102539,40.864898681640625,30.31048011779785,1.1746631860733032,0.025499355047941208,0.1371498703956604,12.977535247802734,3.077810287475586,96.402587890625,0.1,1.0062823295593262,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.07630407875123,16.777278482494257,262,-24.140504575403114,-24.027520914611067,0.5583602683407274,0.5131916203417515,0.306724964351819,0.1800834153064295,0.2635,9.91,0.0527,2.991,0.506,0.308,0.186,15,0
2,Warmup,40.5,1.2,3.838,13,0.434,-2690.704,1041.827,4970,0,-47.98,14.57,-60.0,59.43,-0.5414,0.3431,-10.294872283935547,0.928073525428772,45.75362014770508,35.55156707763672,1.0003435611724854,0.01103581115603447,0.07540012151002884,12.256518363952637,4.357796669006348,146.4000701904297,0.1,1.0095831155776978,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.97649677411111,14.573522435068586,262,-40.00882342740109,-44.67827811994051,0.8156881710814016,0.5187092144669635,0.3037184243639291,0.17757236116910727,0.3531,10.37,0.053,2.978,0.513,0.307,0.18,10,3
3,Warmup,24.6,1.2,4.777,12,0.4003,-2745.248,1041.325,4971,0,-47.66,13.44,-60.0,60.0,-0.5523,0.3463,-10.441670417785645,0.8803265690803528,49.535400390625,39.63074493408203,0.8362541198730469,-0.04144757241010666,0.037557389587163925,12.253122329711914,5.102349281311035,177.7320098876953,0.1,1.012864351272583,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.65687496556609,13.438482584066843,262,-47.52587904302698,-48.54703525743986,0.8072096278841664,0.5273443197256062,0.29722626294587223,0.17542941732852152,0.3732,10.82,0.0533,2.957,0.519,0.304,0.178,9,3
4,Warmup,21.5,1.0,5.368,14,0.3573,-2596.779,980.369,4970,0,-49.73,11.98,-60.0,55.03,-0.5225,0.3318,-9.784795761108398,0.8072905540466309,52.032188415527344,42.368934631347656,0.8145466446876526,0.010776901617646217,0.07583818584680557,11.488640785217285,1.4705449342727661,143.89382934570312,0.1,1.016140103340149,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49.72598986590892,11.982357030140522,262,-49.3261268992173,-48.40115407266115,0.8354881115880511,0.5319918695592833,0.29616228985020043,0.17184584059051616,0.3701,11.2,0.0536,2.933,0.527,0.297,0.175,13,1
5,Warmup,30.8,2.0,3.638,14,0.4858,-2615.595,978.517,4970,0,-47.83,15.07,-59.98,59.72,-0.5263,0.3329,-10.293188095092773,0.8038228750228882,37.375919342041016,27.949047088623047,0.8728158473968506,0.006984495557844639,0.03314080461859703,12.006511688232422,4.459743976593018,177.2512969970703,0.1,1.0193814039230347,29822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.83086165085105,15.07061179110064,262,-48.30508742552054,-48.30719424799869,0.8117780858344513,0.5332140219802148,0.29676080966327784,0.1700251683565073,0.363,11.51,0.054,2.909,0.532,0.296,0.172,14,0
6,Warmup,28.1,1.9,5.583,14,0.4097,-2502.6,886.783,4970,0,-49.89,11.81,-59.98,59.58,-0.5035,0.3216,-11.367741584777832,0.6874097585678101,19.325916290283203,10.102739334106445,0.7058333158493042,-0.037886783480644226,0.018391892313957214,12.808290481567383,1.7985917329788208,66.23234558105469,0.1,1.022639274597168,34792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49.8872630879193,11.808664988236478,262,-51.070205452567656,-49.92087123017562,0.8377612917727013,0.5370530539306586,0.29568008204377993,0.1672668640255614,0.344,11.74,0.0543,2.887,0.533,0.297,0.17,14,0
7,Warmup,20.7,1.0,4.228,12,0.4993,-2918.93,1182.166,4970,0,-48.37,14.68,-59.99,59.43,-0.5873,0.3515,-10.658988952636719,0.678278923034668,38.21476745605469,29.182445526123047,0.7407932281494141,-0.04002112150192261,0.024267423897981644,12.083429336547852,1.5613603591918945,210.96621704101562,0.1,1.0259382724761963,39762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.36972560368673,14.675921931129881,262,-51.12635579862093,-49.95867774674767,0.8215966269000574,0.5415869010397586,0.29192857696997027,0.16648452199027117,0.3574,11.97,0.0547,2.863,0.537,0.296,0.167,9,3
8,Warmup,24.0,1.0,4.113,14,0.3892,-2543.391,929.778,4970,0,-51.2,11.39,-59.95,59.42,-0.5117,0.3287,-11.063310623168945,0.6542503237724304,33.91047286987305,25.06045150756836,0.6365101337432861,-0.04246232658624649,0.013638404197990894,12.393804550170898,1.676517367362976,74.7723159790039,0.1,1.0292308330535889,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-51.199689212387476,11.388885749627544,262,-51.43939925620431,-51.066017444510216,0.8589407051184779,0.5430597268452309,0.2921817132826969,0.16475855987207222,0.3301,12.09,0.055,2.845,0.542,0.292,0.166,15,0
9,Warmup,25.3,1.2,13.936,14,0.3866,-2474.602,858.829,4970,0,-46.49,16.95,-59.97,59.64,-0.4979,0.3144,-11.343694686889648,0.7050391435623169,13.16477108001709,4.4935479164123535,0.7451122403144836,-0.00875089317560196,0.019926344975829124,12.79638385772705,1.612630844116211,144.02743530273438,0.1,1.0325666666030884,49702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.49023468293085,16.954282139076966,262,-48.45502108021786,-47.21419532800975,0.7921633633390588,0.5545926009821398,0.28588493972178686,0.15952245929607334,0.3008,12.11,0.0554,2.835,0.543,0.292,0.165,14,0
10,Warmup,21.1,0.9,6.228,13,0.42,-2473.291,885.712,4971,0,-40.21,21.1,-59.96,59.69,-0.4975,0.3164,-10.994633674621582,0.6033998727798462,18.987886428833008,10.456022262573242,0.6671801805496216,-0.006789336912333965,0.010845093056559563,12.286293029785156,1.9017908573150635,116.90128326416016,0.1,1.0359021425247192,54673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.20797160352812,21.098396425522463,262,-44.806179585582335,-40.59900128276725,0.7077977905198991,0.5588290891614854,0.2833546518476084,0.15781625899090623,0.2764,12.03,0.0557,2.832,0.555,0.286,0.16,10,3
11,Warmup,19.8,1.1,4.936,12,0.4484,-2989.2,1274.36,4970,0,-48.33,17.02,-59.98,59.7,-0.6014,0.375,-10.86749267578125,0.690072774887085,46.518672943115234,38.11505889892578,0.677600622177124,0.023490866646170616,0.011865315027534962,12.329866409301758,5.0930891036987305,100.99398803710938,0.1,1.0391933917999268,59643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-48.33469652657058,17.01866903838934,262,-49.318145679172716,-45.48940441733912,0.833138831167425,0.5627213716538179,0.28027302990088754,0.15700559844529466,0.3039,11.99,0.0561,2.829,0.559,0.283,0.158,9,3
12,Warmup,15.0,0.9,12.49,14,0.4662,-2616.614,981.049,4971,0,-44.9,16.78,-59.98,59.84,-0.5264,0.3286,-11.010862350463867,0.8126789927482605,28.130447387695312,19.8416690826416,0.7991601228713989,0.0100542102009058,0.009810884483158588,12.691129684448242,3.916517734527588,129.5430450439453,0.1,1.0424987077713013,64614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.904490060814275,16.778452217331978,262,-48.87693421589701,-46.893437702718536,0.762757391861554,0.5704036712997185,0.2761397655356743,0.15345656316460712,0.2804,11.84,0.0565,2.834,0.563,0.28,0.157,16,0
13,Warmup,18.4,1.1,4.702,12,0.5467,-2834.635,1127.927,4971,0,-38.11,21.89,-59.99,58.47,-0.5702,0.3542,-10.6334810256958,0.6090313196182251,29.473953247070312,21.29741668701172,0.6819894909858704,-0.012192532420158386,0.015055617317557335,11.874805450439453,4.983180999755859,166.7111358642578,0.1,1.0457905530929565,69585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.11483867424183,21.889374568756526,262,-44.81692720337917,-38.24507350356956,0.6765273001713813,0.5734779680524981,0.27353111807128927,0.15299091387621258,0.2828,11.64,0.0568,2.846,0.57,0.276,0.153,9,3
14,Warmup,20.5,1.2,7.887,14,0.4243,-2584.866,966.571,4971,0,-40.04,20.02,-59.95,57.73,-0.52,0.3283,-10.1528902053833,0.6094573736190796,46.19460678100586,38.12309265136719,0.6944352984428406,-0.040541715919971466,0.017997227609157562,11.420021057128906,3.090524911880493,208.19871520996094,0.1,1.0490919351577759,74556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.03618917114369,20.021230722980725,262,-43.86008050567226,-37.6181413807367,0.6960835508871471,0.5768496700871218,0.27212952671880103,0.1510208031940771,0.2731,11.36,0.0571,2.866,0.573,0.274,0.153,15,0
15,Warmup,14.4,0.9,7.703,14,0.3815,-2494.751,889.646,4971,0,-46.96,15.92,-59.96,59.29,-0.5019,0.3197,-10.42798137664795,0.6800512075424194,22.96770668029785,14.988149642944336,0.682538628578186,0.008531339466571808,0.012488613836467266,11.844018936157227,2.298961877822876,173.6927032470703,0.1,1.0524400472640991,79527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.96038641815537,15.916717928951329,262,-48.11631111220309,-48.89793844411248,0.7964274867165057,0.579917752747513,0.27091855116954705,0.14916369608293983,0.2328,10.91,0.0572,2.896,0.577,0.272,0.151,16,0
16,Warmup,21.4,0.9,4.523,14,0.4333,-2477.464,871.991,4970,0,-38.62,19.99,-59.93,59.93,-0.4985,0.3145,-10.772757530212402,0.6660277247428894,56.999053955078125,49.1165885925293,0.6645211577415466,-0.0009888582862913609,0.008144577033817768,12.137611389160156,3.419548511505127,215.88294982910156,0.1,1.0557655096054077,84497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.62412319103709,19.993551201432798,262,-42.28655501917789,-39.692153397829905,0.6733786371086358,0.5806883878001898,0.2711006173535235,0.14821099484628664,0.2004,10.38,0.0569,2.931,0.58,0.271,0.149,14,0
17,Warmup,14.3,0.8,8.321,15,0.5412,-2530.622,904.382,4970,0,-36.91,20.47,-59.74,58.48,-0.5092,0.3238,-10.550764083862305,0.6911984086036682,45.234134674072266,37.441307067871094,0.6975181102752686,-0.01910683698952198,0.01799544133245945,11.965523719787598,1.6066906452178955,131.83323669433594,0.1,1.0591148138046265,89467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-36.91102617237215,20.4664861320543,262,-38.0404668111158,-37.15327598385905,0.6467806696303526,0.5828696872522803,0.27077190711402666,0.1463584056336931,0.1825,9.85,0.0564,2.963,0.581,0.271,0.148,13,2
18,Warmup,14.1,0.9,5.329,14,0.4977,-2446.93,863.217,4971,0,-40.84,18.65,-59.92,58.4,-0.4922,0.3115,-10.72462272644043,0.6432655453681946,37.54383850097656,29.83699607849121,0.6254960298538208,0.009128596633672714,0.012583654373884201,12.094489097595215,1.4565757513046265,132.0595245361328,0.1,1.0624960660934448,94438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.83509425030547,18.65068922064014,262,-41.533915996120164,-40.0358300086699,0.700936371421197,0.5840163032213733,0.27059349642541913,0.1453902003532076,0.1565,9.41,0.0554,2.984,0.583,0.271,0.146,15,0
19,Warmup,14.3,0.8,4.257,14,0.4351,-2525.893,900.024,4970,0,-44.91,16.15,-59.93,53.93,-0.5082,0.3187,-10.798861503601074,0.6495320200920105,31.48421287536621,23.844690322875977,0.6942703127861023,0.016593098640441895,0.013288485817611217,12.171422958374023,2.2899742126464844,147.53419494628906,0.1,1.0659079551696777,99408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.91168282934178,16.145668642125685,262,-47.894312293905955,-45.595060270710995,0.7597636218814938,0.5845255279454067,0.2708700867623535,0.14460438529223985,0.148,9.21,0.054,2.991,0.584,0.271,0.145,12,2
20,Warmup,14.3,0.8,5.59,15,0.4309,-2560.558,925.946,4970,0,-42.35,17.55,-59.93,55.93,-0.5152,0.3117,-10.507635116577148,0.5396373271942139,26.472244262695312,18.93226432800293,0.5134565234184265,0.02823326736688614,0.015889303758740425,11.692632675170898,1.7406359910964966,77.69308471679688,0.1,1.069362759590149,104378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.34752880491062,17.547573793539552,262,-44.827592715777854,-41.51807139010022,0.7214134992976137,0.5849764221423728,0.2716616768356704,0.1433619010219568,0.1452,9.17,0.0531,2.993,0.585,0.271,0.145,12,3
21,Warmup,16.3,1.0,4.586,14,0.4417,-2525.086,906.275,4971,0,-45.13,15.46,-59.92,58.73,-0.508,0.311,-10.96229362487793,0.519625723361969,25.129165649414062,17.659685134887695,0.6384738683700562,0.14413325488567352,0.014940675348043442,12.219386100769043,2.812687635421753,114.26653289794922,0.1,1.0728102922439575,109349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.127073832598164,15.460163080280784,262,-41.240737395851234,-45.028660606671316,0.7621758087789837,0.5856389972738525,0.2717883156291751,0.14257268709697232,0.1524,9.29,0.0524,2.993,0.585,0.272,0.143,12,2
22,Warmup,17.5,1.0,4.344,13,0.5188,-2612.381,980.125,4970,0,-42.01,17.35,-59.97,45.48,-0.5256,0.3295,-10.779864311218262,0.514494001865387,17.83159637451172,10.44737434387207,0.5199493765830994,0.03805786743760109,0.019456034526228905,11.882476806640625,2.300330400466919,82.47132110595703,0.1,1.0762208700180054,114319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.014279403316394,17.34954258715272,262,-45.78576788588574,-41.392886864511595,0.7153818402991193,0.5868843910086833,0.2709766407941084,0.14213896819720828,0.1532,9.44,0.0522,2.994,0.586,0.272,0.143,10,3
23,Warmup,14.1,0.8,5.197,14,0.3066,-2592.115,974.357,4970,0,-39.66,20.65,-59.96,57.86,-0.5216,0.3308,-10.594959259033203,0.5230518579483032,11.782146453857422,4.472542762756348,0.5341070294380188,0.09884363412857056,0.030973512679338455,11.811727523803711,1.5499848127365112,91.34932708740234,0.1,1.079641342163086,119289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-39.65871878051999,20.648249863226212,262,-45.44214953184128,-39.74019079663252,0.6963483481686137,0.587945177335519,0.27093219327867635,0.14112262938580464,0.1478,9.58,0.0522,2.994,0.587,0.271,0.142,16,0
24,Warmup,14.1,0.9,5.161,12,0.5215,-2933.259,1186.518,4970,0,-42.1,19.3,-59.97,59.7,-0.5902,0.3561,-10.712299346923828,0.5560441017150879,42.24761962890625,34.999839782714844,0.5202302932739258,0.060252413153648376,0.033405937254428864,11.93695068359375,2.0906169414520264,76.95433807373047,0.1,1.0830756425857544,124259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.096024728650356,19.301873685882793,262,-45.95790959831915,-46.11652021659047,0.7315144267892267,0.5903389954573627,0.2689072461147918,0.1407537584278454,0.2036,9.79,0.0524,2.992,0.588,0.271,0.141,9,3
25,Warmup,13.9,0.8,7.376,14,0.4607,-2542.402,937.374,4971,0,-37.01,21.83,-59.97,58.81,-0.5114,0.3302,-10.69638442993164,0.5753491520881653,23.184803009033203,15.994935989379883,0.588645875453949,0.17530135810375214,0.03466570004820824,12.084692001342773,1.3029152154922485,196.7889862060547,0.1,1.0865322351455688,129230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.00881000098011,21.826990152624067,262,-42.41055552582991,-39.54583829876624,0.6588732943137965,0.5923554879277799,0.26807815360038706,0.13956635847183302,0.1627,9.89,0.0525,2.991,0.59,0.269,0.141,15,0
26,Warmup,14.1,0.8,5.713,14,0.5117,-2559.555,924.883,4970,0,-38.24,21.55,-59.98,51.45,-0.515,0.3253,-10.061508178710938,0.574325442314148,30.941333770751953,23.807781219482422,0.5759220123291016,0.07636610418558121,0.03275018185377121,11.353790283203125,3.065648078918457,117.06945037841797,0.1,1.090028166770935,134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.244776843972055,21.554183113943996,262,-42.463443043671155,-40.59001244275193,0.6756890997380671,0.5934208474785027,0.26781858670430847,0.1387605658171888,0.1366,9.96,0.0525,2.99,0.592,0.268,0.14,16,0
