ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.3,2.1,4.488,13,0.5955,-2601.57,928.823,4971,0,-15.92,30.51,-59.71,59.51,-0.5233,0.3187,-6.0780134201049805,1.376243233680725,15.714143753051758,4.767311096191406,1.4286656379699707,-0.20522280037403107,0.28280389308929443,8.610265731811523,7.440557479858398,158.17393493652344,0.1,1.0030052661895752,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15.915994998317919,30.50662712747539,262,-10.923385863913628,-13.855998530199653,0.5011025090181707,0.5136351865065965,0.2922215387226649,0.19414327477073864,0.1471,9.58,0.0525,2.995,0.5,0.25,0.25,10,3
1,Warmup,14.3,0.8,3.488,14,0.5777,-2254.325,737.562,4970,0,-24.51,25.99,-59.32,59.99,-0.4536,0.292,-6.30245304107666,0.8196492791175842,14.023591995239258,3.5014488697052,0.8316485285758972,0.038231391459703445,0.08103762567043304,8.016225814819336,11.9727144241333,87.2608871459961,0.1,1.0060871839523315,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-24.506035433150828,25.991455778786158,262,-19.349439378788595,-20.96601810365131,0.5322238042617445,0.5160218250691722,0.2936785532597608,0.19029962167106704,0.221,9.77,0.0526,2.994,0.5,0.25,0.25,11,3
2,Warmup,14.1,0.8,4.502,14,0.4743,-2462.914,871.4,4970,0,-40.42,22.64,-59.95,59.59,-0.4956,0.3175,-6.140346527099609,0.6879008412361145,13.3563232421875,3.233027935028076,0.7011595964431763,-0.024065138772130013,0.04270819574594498,7.557128429412842,5.2705841064453125,65.83261108398438,0.1,1.009178638458252,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.416238722282365,22.63967976095766,262,-40.771502711270976,-36.42895079913892,0.7271762409503176,0.5205735791167854,0.29343280299351143,0.18599361788970317,0.2786,10.06,0.0528,2.988,0.5,0.25,0.25,14,0
3,Warmup,14.2,0.7,4.008,14,0.3554,-2585.65,905.337,4970,0,-41.68,20.37,-59.83,59.99,-0.5203,0.3153,-6.659303665161133,0.5964261889457703,12.570578575134277,2.767146348953247,0.6727217435836792,-0.008771354332566261,0.03256191313266754,7.897184371948242,1.682287335395813,104.16841125488281,0.1,1.0122487545013428,19881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.68498398996365,20.371027203445482,262,-43.848666637822205,-34.948520996696075,0.7337117467007701,0.5235295901716716,0.2939979748807547,0.18247243494757376,0.3194,10.41,0.053,2.977,0.5,0.25,0.25,14,0
4,Warmup,14.9,0.8,5.683,15,0.4303,-2449.434,819.649,4970,0,-41.04,20.66,-59.97,59.98,-0.4928,0.3029,-6.290787696838379,0.6349640488624573,12.038217544555664,2.489762783050537,0.6119831204414368,0.014493216760456562,0.020326584577560425,7.62957763671875,8.628989219665527,112.22206115722656,0.1,1.0153310298919678,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.036292375965225,20.655026066946192,262,-43.523491991193666,-37.40184216554228,0.7246793637498283,0.5268809708723401,0.2951774098778891,0.17794161924977075,0.3317,10.75,0.0533,2.962,0.5,0.25,0.25,16,0
5,Warmup,15.1,0.8,5.927,14,0.5096,-2443.205,843.814,4970,0,-40.16,20.77,-59.86,58.81,-0.4916,0.3081,-5.971948146820068,0.605121910572052,11.783935546875,2.4777987003326416,0.6116523742675781,-0.017749760299921036,0.019663522019982338,7.201719284057617,10.32757568359375,99.93448638916016,0.1,1.018437147140503,29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.16010986356668,20.76606080835524,262,-42.42439718967991,-38.32767374405735,0.7097737241436028,0.5317170633943525,0.2935773376689982,0.17470559893664928,0.3337,11.05,0.0536,2.944,0.5,0.25,0.25,12,2
6,Warmup,15.4,0.8,8.347,13,0.414,-2604.106,938.433,4972,0,-41.9,18.8,-59.7,59.53,-0.5238,0.3212,-6.349788665771484,0.484927773475647,11.417850494384766,2.3389101028442383,0.5010910034179688,0.01228421088308096,0.01835465431213379,7.365042686462402,9.288554191589355,57.78229522705078,0.1,1.0215122699737549,34793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.89728627753671,18.797670376919452,262,-41.62647921568468,-37.329710754909016,0.7283647454673882,0.540982015824782,0.2881021699424758,0.17091581423274227,0.3411,11.33,0.0539,2.925,0.5,0.25,0.25,10,3
7,Warmup,15.3,0.7,4.109,14,0.4216,-2443.233,840.187,4970,0,-38.84,21.45,-59.9,51.63,-0.4916,0.3054,-6.377256870269775,0.5118659138679504,11.208436965942383,2.366187572479248,0.46790722012519836,0.025972936302423477,0.017732542008161545,7.467934608459473,3.1962554454803467,61.02131271362305,0.1,1.0245896577835083,39763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.83947632496528,21.445448194477382,262,-42.34968281733362,-36.08828484165041,0.6909754727820542,0.5425353416496385,0.28842192815677936,0.1690427301935823,0.3279,11.54,0.0542,2.907,0.5,0.25,0.25,15,0
8,Warmup,15.4,0.7,4.972,13,0.5338,-2620.506,967.138,4970,0,-38.46,21.15,-59.75,57.73,-0.5273,0.3309,-6.610093593597412,0.42178839445114136,10.565836906433105,1.9460008144378662,0.4451432228088379,-0.01083556842058897,0.015279806219041348,7.478488445281982,5.611117839813232,52.98614501953125,0.1,1.0276881456375122,44733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.458584146249585,21.145468557752793,262,-34.71995273122661,-35.49897456545578,0.6830293691129365,0.5461428979985801,0.2862298348298053,0.16762726717161447,0.3281,11.72,0.0545,2.889,0.5,0.25,0.25,10,3
9,Warmup,14.6,0.7,5.152,14,0.3876,-2578.892,927.558,4970,0,-38.38,21.58,-59.78,58.97,-0.5189,0.3196,-6.787694454193115,0.43791794776916504,10.736358642578125,2.336914539337158,0.4469107687473297,-0.010872292332351208,0.014523692429065704,7.675096035003662,1.615947961807251,70.30204772949219,0.1,1.0307917594909668,49703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.37809730802233,21.579061696547683,262,-37.916006730732164,-35.546791689490014,0.6854599670109549,0.5485540110531241,0.2858614127444013,0.16558457620247471,0.3192,11.84,0.0548,2.875,0.5,0.25,0.25,16,0
