ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,14.5,1.7,6.37,15,0.3785,-3331.942,1434.082,4970,0,-5.17,44.2,-60.0,60.0,-0.6704,0.3462,-10.587347030639648,2.4224467277526855,40.64506530761719,29.571186065673828,2.9002685546875,-0.1813707798719406,1.7540687322616577,15.279987335205078,63.651458740234375,459.20672607421875,0.1,1.0030004978179932,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.170863998519403,44.200859549854805,262,-3.4619249450533016,-5.840695813036801,0.6791169821173795,0.5136283011653547,0.3006879919396212,0.185683706895024,0.1871,9.64,0.0526,2.995,0.5,0.3,0.2,12,3
1,Warmup,13.8,0.8,3.622,15,0.4397,-2785.912,1082.493,4969,0,-35.83,16.69,-59.89,59.5,-0.5607,0.3368,-10.519587516784668,1.0932390689849854,30.811725616455078,20.229705810546875,1.153448224067688,0.16042865812778473,0.1858530193567276,12.961271286010742,3.421839714050293,135.46270751953125,0.1,1.0061726570129395,9939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.82936129674599,16.690759939180918,262,-26.548026910581086,-29.225510652284875,0.6185960165958904,0.5135958863217374,0.3060910023939439,0.18031311128431873,0.2744,9.94,0.0527,2.991,0.514,0.301,0.186,12,3
2,Warmup,15.5,1.0,4.643,14,0.4802,-2723.003,1032.323,4971,0,-47.55,12.52,-59.99,59.81,-0.5478,0.3361,-11.270342826843262,0.8800153732299805,42.88780975341797,32.64823532104492,0.9340457320213318,0.03273683413863182,0.075058713555336,13.186063766479492,2.518686294555664,152.02352905273438,0.1,1.0094585418701172,14910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.547426215327455,12.517343444120952,262,-42.74379770379318,-45.894657067248694,0.799071854967415,0.5183779093785591,0.3052154178674452,0.1764066727539956,0.3567,10.4,0.053,2.977,0.514,0.306,0.18,12,2
3,Warmup,14.7,0.8,4.509,14,0.4377,-2377.071,833.18,4970,0,-50.57,11.33,-60.0,59.17,-0.4783,0.3122,-10.962462425231934,0.7802011966705322,35.3764533996582,25.44271469116211,0.787817656993866,0.03168810158967972,0.05421522259712219,12.66728401184082,7.894763946533203,86.5724868774414,0.1,1.0127984285354614,19880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-50.57053194169547,11.32825421597403,262,-48.55044666591443,-50.47307409926465,0.8508514531533332,0.5220891586692392,0.3047240458663823,0.17318679546437854,0.3511,10.79,0.0533,2.959,0.518,0.305,0.176,12,2
4,Warmup,14.1,0.8,4.82,14,0.4557,-2610.166,975.505,4971,0,-50.74,10.7,-59.98,58.21,-0.5251,0.3291,-10.777052879333496,0.7821652293205261,36.09834289550781,26.453176498413086,0.8256033658981323,0.014051493257284164,0.037416838109493256,12.447420120239258,2.110107660293579,99.1279296875,0.1,1.0161696672439575,24851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-50.73613572753164,10.697397792019482,262,-50.098928642272945,-50.43845477041445,0.8514573487804596,0.5257258630258307,0.3039514098899353,0.17032272708423388,0.3569,11.14,0.0536,2.937,0.522,0.305,0.173,12,2
5,Warmup,14.4,0.8,3.513,14,0.3933,-2531.524,903.027,4969,0,-47.24,15.1,-59.88,59.54,-0.5095,0.3168,-10.666794776916504,0.67885822057724,36.19252014160156,26.772024154663086,0.6944988369941711,0.017282569780945778,0.030466176569461823,12.112834930419922,2.5880322456359863,93.50657653808594,0.1,1.019523024559021,29820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-47.24411091345204,15.095234002090427,262,-50.49684167661165,-49.79402605106956,0.8017120392503038,0.5270264181713935,0.3046048475930646,0.16836873423554202,0.3492,11.43,0.0539,2.916,0.526,0.304,0.17,12,2
6,Warmup,14.7,0.8,4.96,14,0.459,-2580.297,944.553,4970,0,-46.07,17.34,-59.89,59.1,-0.5192,0.3204,-10.791069984436035,0.6811695098876953,12.631759643554688,3.4024291038513184,0.717369019985199,-0.03185877948999405,0.021841706708073616,12.198978424072266,4.011697769165039,110.13233184814453,0.1,1.0228580236434937,34790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.06784528927424,17.34158525563465,262,-49.2131454448951,-46.689357645260664,0.7910195352956882,0.5300606576974812,0.30385389386005207,0.1660854484424667,0.3418,11.66,0.0542,2.895,0.527,0.305,0.168,12,2
7,Warmup,14.7,0.7,7.926,14,0.3999,-2392.245,801.219,4971,0,-46.22,18.03,-59.92,60.0,-0.4812,0.3025,-10.074956893920898,0.7217814326286316,36.597503662109375,27.539148330688477,0.7598968148231506,-0.0016350263031199574,0.016683556139469147,11.583617210388184,2.076709508895874,156.30276489257812,0.1,1.0262285470962524,39761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.22324008898245,18.029329663367925,262,-50.82579106845354,-46.5651121453235,0.7995455416815764,0.5365103944982779,0.30086251171925565,0.16262709378246656,0.3167,11.8,0.0545,2.878,0.53,0.304,0.166,12,2
8,Warmup,14.8,0.8,5.542,15,0.4031,-2401.109,797.097,4971,0,-43.39,21.15,-59.94,59.35,-0.483,0.2968,-11.170199394226074,0.6073545217514038,27.688480377197266,18.790828704833984,0.667721152305603,0.0052019087597727776,0.01779622584581375,12.467988967895508,1.9882937669754028,98.63742065429688,0.1,1.0296881198883057,44732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-43.38895087895098,21.145287319285625,262,-42.55918064384084,-47.23293203868364,0.7685601220294518,0.5383124838327191,0.30161116136955085,0.16007635479772994,0.2956,11.86,0.0548,2.867,0.537,0.301,0.163,12,3
9,Warmup,15.1,0.8,3.47,14,0.4378,-2398.959,833.485,4972,0,-45.46,19.37,-59.91,59.28,-0.4825,0.3096,-10.37919807434082,0.7728297710418701,18.149066925048828,9.384954452514648,0.7475581169128418,0.008058487437665462,0.012581666931509972,11.963799476623535,8.160914421081543,139.03607177734375,0.1,1.0331039428710938,49704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.46290916036919,19.36910964371208,262,-47.18162381774501,-44.988397716848475,0.7933481245227703,0.5389699132615121,0.30210656883736353,0.1589235179011243,0.2767,11.84,0.0551,2.861,0.538,0.302,0.16,12,2
10,Warmup,15.5,0.8,4.604,14,0.4786,-2131.951,673.172,4970,0,-38.97,25.52,-59.95,59.41,-0.429,0.2836,-10.179478645324707,0.6470856666564941,28.54852294921875,19.91171646118164,0.6242146492004395,0.006114738993346691,0.012174730189144611,11.54908561706543,1.0377261638641357,102.64539337158203,0.1,1.0365625619888306,54674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.970763988696206,25.515219721314963,262,-45.965711193963095,-40.30954221126281,0.7331687801743904,0.540647147910238,0.3018087301910245,0.15754412189873757,0.2754,11.79,0.0554,2.858,0.539,0.302,0.159,12,2
11,Warmup,14.8,0.7,3.667,14,0.5082,-2650.625,978.739,4970,0,-44.16,20.36,-59.89,59.39,-0.5333,0.3168,-10.251286506652832,0.5851963758468628,31.73105239868164,23.236492156982422,0.64512038230896,0.052588336169719696,0.014328321442008018,11.529928207397461,6.156261920928955,99.57727813720703,0.1,1.0399959087371826,59644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.157326379772165,20.358707351684806,262,-44.35645015678908,-41.58703221455217,0.7746927782552859,0.541309265961171,0.3020832638430589,0.15660747019577018,0.2816,11.72,0.0557,2.858,0.541,0.302,0.158,12,2
12,Warmup,14.9,0.7,5.628,14,0.3948,-2443.393,845.917,4970,0,-44.11,18.67,-59.94,58.68,-0.4916,0.3053,-10.228296279907227,0.5869787931442261,45.73701858520508,37.37968826293945,0.6113636493682861,0.004631685093045235,0.0136622479185462,11.460784912109375,4.0370869636535645,120.5113525390625,0.1,1.0434154272079468,64614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.112698752876796,18.668975557759783,262,-45.436740936103625,-48.893112537735384,0.7643144319617863,0.5437597763710889,0.3012757768385515,0.1549644467903596,0.2606,11.55,0.056,2.865,0.541,0.302,0.157,12,2
13,Warmup,15.0,0.7,4.477,14,0.4577,-2277.89,760.38,4971,0,-42.55,21.94,-59.84,59.67,-0.4582,0.2952,-10.35409164428711,0.6628291010856628,25.898941040039062,17.648866653442383,0.6941471099853516,-0.0008223275654017925,0.008865428157150745,11.709501266479492,3.3951046466827393,165.8866729736328,0.1,1.0468475818634033,69585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-42.55410162327889,21.93697271971673,262,-47.82361475982164,-46.15954074357685,0.7614215734046281,0.5450410725639061,0.3011138215299078,0.15384510590618608,0.2252,11.24,0.0562,2.881,0.544,0.301,0.155,12,2
14,Warmup,14.9,0.8,3.982,14,0.4987,-2253.438,747.063,4971,0,-35.73,27.39,-59.96,59.64,-0.4533,0.2941,-10.487617492675781,0.5870751142501831,32.15150833129883,24.020954132080078,0.5707991123199463,-0.017497695982456207,0.02281935140490532,11.713488578796387,4.497394561767578,122.83226776123047,0.1,1.0502917766571045,74556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.73095797603488,27.391433165907227,262,-40.161166443322834,-40.05956511497497,0.701216703935073,0.5458205303585386,0.3011980775733055,0.15298139206815595,0.1964,10.83,0.0563,2.904,0.545,0.301,0.154,12,2
15,Warmup,14.6,1.0,3.601,14,0.4544,-2158.932,686.725,4972,0,-37.85,26.13,-59.82,58.53,-0.4342,0.2824,-10.19698715209961,0.5827775597572327,41.04456329345703,33.015262603759766,0.5681310892105103,0.0038542733527719975,0.015053646638989449,11.422245979309082,2.5699527263641357,102.804443359375,0.1,1.0537350177764893,79528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.85133272722477,26.132625119000537,262,-40.71847447156906,-40.68880377004021,0.7231396907770601,0.5463116860432707,0.301490881959376,0.15219743199735325,0.1718,10.34,0.0562,2.929,0.546,0.301,0.153,12,2
16,Warmup,14.7,0.9,5.058,14,0.5354,-2238.66,718.219,4970,0,-36.92,26.71,-59.91,58.66,-0.4504,0.2891,-10.570016860961914,0.6756383776664734,30.79866600036621,22.860721588134766,0.5743662714958191,0.023647358641028404,0.009516510181128979,12.023338317871094,5.521877765655518,126.64705657958984,0.1,1.0572556257247925,84498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-36.923999177698995,26.713827706984276,262,-39.65687665860904,-40.76544995119697,0.7133876560245871,0.5477599950118706,0.30103024527183897,0.15120975971629042,0.1537,9.84,0.0559,2.954,0.546,0.301,0.152,12,2
