ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,15.3,1.6,4.175,16,0.6327,-3503.843,1614.047,4971,0,6.1,39.43,-60.0,59.99,-0.7049,0.3569,1.3104362487792969,2.8698601722717285,69.19718170166016,58.05268096923828,2.8156323432922363,1.4556530714035034,18.476898193359375,6.042187213897705,22.098142623901367,368.4114685058594,0.1,1.00301194190979,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0964784019528695,39.43331233642042,262,8.080020188108872,7.034459273020427,0.5962743469447667,0.49789603030568225,0.3124780895267581,0.18962588016755957,0.1963,9.65,0.0526,2.995,0.5,0.3,0.2,13,3
1,Warmup,17.4,0.9,8.115,16,0.5493,-4575.952,2431.823,4971,0,50.82,17.78,-60.0,60.0,-0.9205,0.3425,0.19001638889312744,1.600185513496399,43.908416748046875,33.061885833740234,1.7494187355041504,1.4885671138763428,5.592421054840088,4.60645866394043,5.652739524841309,425.1535339355469,0.1,1.0053024291992188,9942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.817695169369955,17.77852874734825,262,46.02528584505383,51.29155748455148,0.8748506624348424,0.5087607654447724,0.31273445478508893,0.17850477977013862,0.3787,10.22,0.0529,2.982,0.498,0.312,0.19,13,3
2,Warmup,16.8,0.7,4.71,16,0.5595,-4751.682,2936.669,4971,0,28.35,35.67,-60.0,60.0,-0.9559,0.3682,4.954817771911621,1.391184687614441,110.71913146972656,100.09378051757812,1.3849948644638062,3.272722005844116,34.38069152832031,1.226212739944458,13.965415000915527,342.419677734375,0.1,1.0065882205963135,14913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28.346402520436385,35.66585533320581,262,32.17654699824359,33.86620329994905,0.699414978264916,0.5087332023640293,0.31789781990019056,0.17336897773577997,0.4973,11.04,0.0534,2.94,0.509,0.313,0.179,13,3
3,Warmup,16.1,0.8,6.044,13,0.7123,-5880.952,4126.854,4971,0,2.25,53.3,-60.0,60.0,-1.1831,0.2396,9.736908912658691,1.4940693378448486,101.58172607421875,91.03163146972656,1.6385186910629272,4.821552753448486,31.154457092285156,-1.8073670864105225,8.531444549560547,521.50244140625,0.1,1.0057246685028076,19884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.251319093557775,53.295067842808535,262,17.42498975992203,15.974421959468405,0.8520745247309358,0.5169937643677635,0.3121270388522193,0.17087919678001717,0.6252,12.03,0.0542,2.852,0.509,0.318,0.173,10,3
4,Warmup,15.9,0.8,4.85,18,0.3179,-5009.365,3210.38,4970,0,13.99,42.79,-59.98,59.89,-1.0079,0.3622,9.22725772857666,1.410447120666504,183.2546844482422,172.8224639892578,1.3578357696533203,4.448711395263672,55.57414627075195,-1.8363621234893799,21.207561492919922,697.9829711914062,0.1,1.0036327838897705,24854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.990197025866845,42.788134873064735,262,22.096734243945072,26.051564787877236,0.6991707678326515,0.5138645775989582,0.3206453499744049,0.1654900724266367,0.6417,12.8,0.055,2.755,0.517,0.312,0.171,15,3
5,Warmup,17.4,0.9,16.263,11,0.3163,-6172.872,4549.945,4970,0,-14.1,50.06,-60.0,60.0,-1.242,0.148,8.777735710144043,2.4707353115081787,142.81834411621094,132.30514526367188,2.484746217727661,4.29571008682251,26.56060791015625,0.6180773973464966,20.728374481201172,4330.53515625,0.1,1.0002139806747437,29824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14.098407690484878,50.061130597463766,262,3.0395222406638296,-7.4599248384174555,0.8362293282067312,0.5366481240142283,0.30500396196364665,0.15834791402212497,0.7069,13.52,0.0561,2.639,0.514,0.321,0.165,8,3
6,Warmup,16.3,0.8,5.273,17,0.7576,-5230.366,3474.118,4973,0,9.64,45.44,-59.86,59.93,-1.0518,0.3433,12.123119354248047,2.180917263031006,230.45953369140625,219.98220825195312,2.251519203186035,5.028656005859375,61.370811462402344,-2.6454882621765137,47.38345718383789,3197.0576171875,0.1,0.996458888053894,34797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.644254738632752,45.440500296328,262,16.875368469012408,6.5035471646409295,0.7235037973329375,0.5349382458995757,0.30932932407589997,0.15573243002452428,0.7204,14.11,0.0573,2.526,0.537,0.305,0.158,15,2
7,Warmup,15.7,0.7,4.723,16,0.5385,-5235.675,3424.557,4971,0,6.12,43.97,-59.99,59.88,-1.0532,0.3279,12.263128280639648,1.9388115406036377,137.09397888183594,126.6644287109375,1.9295508861541748,5.884215354919434,42.722599029541016,-2.466212034225464,32.05994415283203,2296.994384765625,0.1,0.9928152561187744,39768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.115457050599723,43.96752311338023,262,6.412840530119444,12.293799380252237,0.6849589053708255,0.5343787462188809,0.31207457163630914,0.15354668214480993,0.6728,14.51,0.0585,2.431,0.535,0.309,0.156,13,3
8,Warmup,15.5,0.7,4.64,17,0.4135,-5274.07,3545.653,4970,0,6.2,45.11,-59.79,59.91,-1.0612,0.3334,11.172956466674805,1.9224350452423096,122.50289916992188,112.0998764038086,1.8450984954833984,5.183955192565918,38.27056121826172,-2.058760643005371,22.05454444885254,2344.12646484375,0.1,0.9891679883003235,44738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.196485300078028,45.11074531016673,262,-2.3767350588974203,6.029164460615106,0.7070070201826955,0.5327467626563124,0.3162258112622083,0.15102742608147926,0.6312,14.82,0.0598,2.346,0.534,0.312,0.154,14,3
9,Warmup,15.2,0.7,4.543,17,0.2555,-5483.101,3778.384,4972,0,0.24,47.04,-59.88,59.9,-1.1028,0.3,12.742315292358398,1.7315049171447754,195.4453887939453,185.07382202148438,1.7571125030517578,5.670987606048584,65.71471405029297,-3.555793285369873,20.756940841674805,2622.0341796875,0.1,0.9854602813720703,49710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24318586211510704,47.04277657704299,262,2.2743157186006235,8.509209216111586,0.7406316331246874,0.5313444447453599,0.3201646542951282,0.14849090095951184,0.6063,15.06,0.0613,2.264,0.533,0.316,0.151,14,3
10,Warmup,15.2,0.7,5.135,17,0.6437,-5366.593,3651.799,4970,0,2.01,46.97,-59.62,59.92,-1.0798,0.3181,13.270232200622559,2.073432207107544,139.74891662597656,129.36203002929688,2.181499719619751,6.586639404296875,39.60028839111328,-2.5207695960998535,12.779755592346191,2692.94189453125,0.1,0.9816433191299438,54680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0126165129986386,46.9669849381299,262,-3.2652203701044393,8.90829492807388,0.7374999769390943,0.5301989582781064,0.3231606869482815,0.14664035477361223,0.5701,15.21,0.063,2.192,0.532,0.32,0.149,15,2
11,Warmup,15.3,0.7,5.08,14,0.3361,-5359.913,3592.946,4970,0,3.29,46.9,-59.91,59.98,-1.0785,0.3201,12.002761840820312,1.5941052436828613,109.06253051757812,98.76386260986328,1.5477808713912964,6.52893590927124,28.69139862060547,-2.3238978385925293,24.888532638549805,1417.3568115234375,0.1,0.9779410362243652,59650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2865438831419174,46.8987072808376,262,7.4304012373874055,3.8053507957019335,0.7379066137434643,0.532295570076576,0.3224364600462907,0.14526796987713333,0.5353,15.26,0.0648,2.13,0.531,0.321,0.147,11,3
