ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,18.7,1.2,5.724,16,0.3701,-3432.583,1556.231,4971,0,-4.68,44.0,-60.0,60.0,-0.6905,0.3573,-10.493045806884766,2.445641040802002,77.07322692871094,65.9863510131836,2.976321220397949,-0.39614763855934143,2.018502712249756,15.000892639160156,97.71517944335938,574.3455200195312,0.1,0.9970013499259949,4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.682148967430991,43.998234285218004,262,-5.585107765430095,-7.178062846786099,0.671851101850061,0.5061487006200318,0.3088270073745523,0.18502429200541584,0.1924,9.65,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,16.5,0.7,4.008,14,0.4552,-2492.994,903.411,4970,0,-31.88,18.13,-58.84,59.84,-0.5016,0.3216,-9.904572486877441,1.1269612312316895,37.14487838745117,26.5472412109375,1.147961139678955,0.00015911273658275604,0.1276329606771469,12.214471817016602,9.72396469116211,140.52110290527344,0.1,0.9937244653701782,9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-31.883493318363005,18.131478174378376,262,-20.743757621022432,-27.109699548388782,0.5634517884387937,0.5106928053542357,0.30885074212066027,0.1804564525251041,0.2607,9.91,0.0527,2.991,0.506,0.309,0.185,16,0
2,Warmup,16.3,0.6,5.649,14,0.4873,-2522.044,919.157,4970,0,-44.6,14.95,-59.86,58.5,-0.5075,0.3212,-10.78577995300293,0.9066944718360901,37.22214126586914,26.958709716796875,0.9395170211791992,0.033651065081357956,0.048965200781822205,12.668684959411621,12.409833908081055,120.5665512084961,0.1,0.9903383255004883,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.59749020123986,14.949738080380016,262,-41.326004598015224,-38.056422545682445,0.7561426512220433,0.5179175524776845,0.3063704976310841,0.1757119498912315,0.3442,10.35,0.053,2.979,0.511,0.309,0.18,14,0
3,Warmup,17.0,0.7,7.037,12,0.4994,-2800.393,1093.187,4971,0,-40.71,16.97,-60.0,59.91,-0.5633,0.3463,-10.505941390991211,0.8213071823120117,36.21835708618164,26.248611450195312,0.8631219863891602,-0.019778495654463768,0.07433772087097168,12.220739364624023,4.3413472175598145,89.65313720703125,0.1,0.9870461821556091,19882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.710593330585255,16.97143466362329,262,-42.57140701695492,-40.36390554528487,0.6974338069483269,0.5306425944893299,0.29699467359121545,0.17236273191945461,0.3717,10.8,0.0533,2.958,0.518,0.306,0.176,9,3
4,Warmup,19.7,0.7,4.064,13,0.5084,-2586.307,936.65,4970,0,-46.07,13.43,-59.97,59.72,-0.5204,0.324,-11.029117584228516,0.8125757575035095,51.70702362060547,41.975067138671875,0.8688464164733887,-0.027267973870038986,0.03073415532708168,12.711519241333008,5.734279155731201,144.5830535888672,0.1,0.9838277101516724,24852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.06688865419305,13.433584663753285,262,-46.358201778562446,-42.878839012196195,0.7750289195867884,0.534584092652787,0.2946626596015967,0.1707532477456164,0.3692,11.18,0.0536,2.935,0.531,0.297,0.172,10,3
5,Warmup,21.4,0.7,5.745,14,0.5009,-2533.479,907.678,4970,0,-45.15,15.38,-59.76,60.0,-0.5098,0.3178,-10.498048782348633,0.7379378080368042,31.149032592773438,21.62100601196289,0.7671859264373779,-0.032458942383527756,0.02472209371626377,11.982665061950684,2.933635711669922,98.97506713867188,0.1,0.9806281328201294,29822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.14694086830066,15.38486774285283,262,-43.035319285016314,-44.07183617949486,0.7658233814487151,0.5388155666236913,0.29330227848320245,0.1678821548931062,0.3575,11.48,0.0539,2.911,0.535,0.295,0.171,14,0
6,Warmup,20.0,0.7,3.998,15,0.518,-2493.112,894.101,4971,0,-44.93,16.57,-59.86,58.79,-0.5015,0.3184,-11.031694412231445,0.7095513939857483,15.202163696289062,5.867764949798584,0.8076826333999634,-0.0290862824767828,0.02423672005534172,12.491086959838867,2.7041916847229004,171.00479125976562,0.1,0.9774231314659119,34793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.926836567825774,16.573513420447206,262,-43.878123454671154,-45.778059109261164,0.7675528801429509,0.538667502225727,0.2955828858860351,0.16574961188823795,0.3408,11.7,0.0542,2.89,0.539,0.293,0.168,12,3
7,Warmup,20.4,0.7,7.229,11,0.4504,-4716.454,2899.77,4970,0,-32.88,29.05,-60.0,60.0,-0.949,0.37,-10.945915222167969,0.9307594895362854,18.56413459777832,9.288018226623535,0.9838461875915527,0.0293192807585001,0.13273118436336517,12.908924102783203,7.134634017944336,421.9753112792969,0.1,0.9746323823928833,39763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.875387425257465,29.049498559206256,262,-36.90667998696629,-32.59933859800038,0.6729883608378927,0.5467934637565003,0.2896181376743295,0.1635883985691703,0.4881,12.31,0.0549,2.834,0.539,0.296,0.166,8,3
8,Warmup,17.2,0.8,4.822,12,0.3655,-2972.115,1262.87,4970,0,-45.65,17.89,-59.75,59.02,-0.598,0.366,-10.37094497680664,1.1872198581695557,21.024185180664062,11.784429550170898,1.1542046070098877,0.20900797843933105,0.15974175930023193,12.979398727416992,8.589473724365234,745.2794189453125,0.1,0.9719125628471375,44733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.65361907401045,17.887841810154654,262,-40.62658511682561,-41.172441695865835,0.7913625124393523,0.5516499663907628,0.2859433001289991,0.1624067334802381,0.4401,12.66,0.0555,2.789,0.547,0.29,0.164,9,3
9,Warmup,22.9,0.8,6.891,13,0.4679,-2526.449,940.87,4971,0,-37.91,22.64,-59.71,59.82,-0.5082,0.3315,-11.966826438903809,1.3282372951507568,31.485713958740234,22.280498504638672,1.2763158082962036,-0.022866152226924896,0.08685621619224548,14.638016700744629,13.986236572265625,654.0123291015625,0.1,0.9691382646560669,49704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.9118220259611,22.641490492171098,262,-43.68469492730341,-36.40792608010141,0.6938316744620429,0.5568393007763557,0.2827789974945409,0.16038170172910343,0.3907,12.82,0.056,2.758,0.552,0.286,0.162,10,3
10,Warmup,18.7,0.7,3.985,14,0.5755,-2602.003,990.123,4971,0,-38.34,22.75,-59.51,59.93,-0.5234,0.3365,-11.447586059570312,0.879499077796936,31.463531494140625,22.358152389526367,0.8648018836975098,0.18013995885849,0.038554541766643524,13.416162490844727,3.7670907974243164,275.31011962890625,0.1,0.9663344621658325,54675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-38.33858735448196,22.745935386593594,262,-43.689294017302366,-21.255122470228297,0.7032168292692768,0.5575494127248233,0.2830889894912564,0.15936159778392048,0.3334,12.8,0.0565,2.744,0.557,0.283,0.16,11,3
11,Warmup,19.9,0.7,4.338,14,0.4771,-2323.32,820.383,4971,0,-37.57,21.97,-59.69,59.55,-0.4674,0.3169,-11.294626235961914,0.9210982918739319,43.6202507019043,34.5854606628418,0.9230343699455261,-0.2661011815071106,0.08442791551351547,12.917236328125,4.41949462890625,212.48802185058594,0.1,0.9634969830513,59646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.57074435527531,21.96599880077245,262,-43.35702801629116,-38.1641857912666,0.6811754405591732,0.5586367610425329,0.28323207529631206,0.1581311636611551,0.3347,12.77,0.057,2.734,0.558,0.283,0.159,15,0
12,Warmup,20.7,0.7,8.974,11,0.3275,-5564.255,4015.598,4969,0,0.69,45.59,-60.0,60.0,-1.1198,0.3377,-14.216913223266602,2.088085174560547,141.5308837890625,132.40313720703125,2.1738815307617188,-0.02207811176776886,0.31580665707588196,18.458478927612305,4.956361770629883,4803.38330078125,0.1,0.9609323740005493,64615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.69230037767003,45.58850998227813,262,-0.6549965588670041,5.910779271157165,0.692467020063083,0.565840875080889,0.27820832044822014,0.15595080447089077,0.5566,13.43,0.0583,2.656,0.559,0.283,0.158,8,3
13,Warmup,17.4,0.8,6.549,15,0.4322,-2616.274,979.576,4970,0,-41.38,22.62,-59.73,60.0,-0.5264,0.3324,-13.099452018737793,1.4309196472167969,125.79088592529297,116.7445297241211,1.4278250932693481,-0.05255952849984169,2.0077710151672363,15.971043586730957,8.379400253295898,5037.9951171875,0.1,0.9584521651268005,69585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.37543968290945,22.618715435006937,262,-28.54081276843423,-40.05096414512709,0.7496803321544006,0.567466764701381,0.2786112369876513,0.15392199831096773,0.7697,14.39,0.0605,2.486,0.566,0.278,0.156,15,0
14,Warmup,23.9,0.8,4.48,15,0.3954,-2782.914,1157.354,4970,0,-34.57,27.6,-59.71,60.0,-0.5599,0.3714,-13.057955741882324,1.4634395837783813,52.85068130493164,43.81362533569336,1.4059529304504395,0.1733924299478531,0.1856161653995514,16.18841552734375,6.2158918380737305,2072.28173828125,0.1,0.955882728099823,74555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.56562330922266,27.596779690632943,262,-42.23306235514189,-36.02873538810955,0.6923988615612396,0.5674858623108384,0.27999689054384,0.15251724714532153,0.6332,14.66,0.0623,2.408,0.567,0.279,0.154,13,2
15,Warmup,20.9,0.8,5.427,15,0.478,-2713.087,1102.499,4971,0,-29.27,28.31,-59.61,60.0,-0.5458,0.3669,-11.002946853637695,1.2210931777954102,68.28414916992188,59.258174896240234,1.4139529466629028,-0.13220059871673584,0.16699957847595215,13.343099594116211,5.10396671295166,2063.87548828125,0.1,0.9533118009567261,79526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-29.270197125599523,28.31102433980318,262,-38.635897669039274,-31.637918503660906,0.6253081524334011,0.5680985837689042,0.2808282102392922,0.15107320599180354,0.4728,14.47,0.0638,2.406,0.567,0.28,0.153,15,0
16,Warmup,18.0,0.7,3.93,15,0.448,-2509.318,969.367,4970,0,-28.2,27.08,-59.88,59.99,-0.5049,0.3372,-10.913711547851562,1.2049083709716797,58.30828094482422,49.3099479675293,1.248199701309204,0.652012825012207,0.8595923781394958,13.975234985351562,9.384224891662598,1736.1995849609375,0.1,0.950726330280304,84496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-28.198487588846813,27.077805973889735,262,-35.67779516420866,-29.197421200808726,0.5906313924025092,0.5676871533390233,0.28228841444301317,0.15002443221796355,0.3807,13.96,0.065,2.455,0.568,0.281,0.151,14,1
17,Warmup,19.7,0.7,5.76,13,0.3513,-2624.737,987.578,4970,0,-37.95,20.2,-59.99,59.41,-0.5281,0.3322,-12.068998336791992,1.0333409309387207,48.31484603881836,39.34953689575195,1.020836591720581,0.09765534102916718,0.04894443601369858,14.272233963012695,5.3272271156311035,1331.9521484375,0.1,0.9480891823768616,89466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-37.952810159421546,20.19640358005807,262,-37.539599145086186,-34.896382479604924,0.6686184228939765,0.5703045312091717,0.28075804961400747,0.14893741917682085,0.2851,13.06,0.0652,2.552,0.568,0.282,0.15,10,3
18,Warmup,19.3,0.8,4.26,13,0.4185,-2928.534,1221.813,4970,0,-32.61,25.27,-59.93,59.93,-0.5892,0.3698,-10.37711238861084,1.4692095518112183,85.22610473632812,76.2442855834961,1.3257050514221191,-0.017403902485966682,0.1731821745634079,13.380522727966309,2.6165199279785156,2095.1181640625,0.1,0.9454038739204407,94436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.61304904345078,25.266591928139935,262,-25.67480642348528,-30.244354974909832,0.6316719461599378,0.5718213916102554,0.2798756027947633,0.1483030055949813,0.255,12.03,0.0642,2.662,0.57,0.281,0.149,10,3
