ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy,w_wait,w_fleet,w_cv,N_fleet,fleet_overshoot
0,Warmup,11.1,1.1,5.666,16,0.4597,-3127.102,1291.478,4969,0,-4.62,43.94,-60.0,59.99,-0.6293,0.3389,-10.187789916992188,2.5498199462890625,76.8601303100586,65.78087615966797,3.140151023864746,-0.1778012067079544,1.4612820148468018,15.127992630004883,88.03751373291016,580.8002319335938,0.1,1.0030044317245483,4969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.617248427102965,43.93681814962532,262,-3.5880583200538374,-8.987132484539906,0.671707558232372,0.5054768061331065,0.3087384597979714,0.18578473406892224,0.176,9.62,0.0526,2.995,0.5,0.3,0.2,16,0
1,Warmup,11.4,0.7,4.271,14,0.5365,-2612.035,959.955,4969,0,-35.16,16.35,-59.88,58.93,-0.5257,0.3262,-9.598709106445312,1.1482994556427002,16.884977340698242,6.338001251220703,1.1515097618103027,0.0299714133143425,0.14054252207279205,12.001415252685547,6.586439609527588,163.58885192871094,0.1,1.0061551332473755,9938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.159792926433504,16.35095762121091,262,-23.636281843561875,-28.133536866650378,0.6033680670689026,0.5105839196469059,0.308111915124824,0.18130416522827011,0.2582,9.88,0.0527,2.992,0.505,0.309,0.186,12,2
2,Warmup,11.3,0.6,8.004,13,0.4452,-2719.663,1031.541,4970,0,-46.75,14.87,-59.99,59.84,-0.5472,0.3303,-10.070682525634766,0.9024924635887146,26.12967300415039,15.956509590148926,0.980647087097168,-0.06188121438026428,0.0695558488368988,11.875959396362305,4.628904819488525,119.93695068359375,0.1,1.0093505382537842,14908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.74741886410435,14.870281744196326,262,-41.931834749171614,-44.40247546026581,0.7952310266450836,0.5258309353472944,0.29894561258645885,0.17522345206624665,0.3457,10.33,0.053,2.98,0.511,0.308,0.181,10,3
3,Warmup,11.5,0.7,4.706,14,0.4241,-2427.235,861.7,4970,0,-44.31,14.96,-59.97,58.13,-0.4884,0.3143,-9.728925704956055,0.7632744312286377,41.97576141357422,32.136837005615234,0.8435288071632385,-0.02367345616221428,0.035992689430713654,11.293453216552734,4.744044780731201,123.93182373046875,0.1,1.0126187801361084,19878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.30680746458156,14.964756252763173,262,-45.26590782466688,-44.58993907131647,0.7514264365669995,0.5296893865499689,0.2984156925966013,0.17189492085342972,0.3489,10.72,0.0532,2.963,0.526,0.299,0.175,14,0
4,Warmup,11.4,0.7,7.359,11,0.5546,-3882.939,1896.769,4971,0,-45.5,18.49,-60.0,59.81,-0.7811,0.3768,-10.912186622619629,0.9387742877006531,19.382863998413086,9.72655200958252,0.9799323678016663,-0.05577237159013748,0.042769890278577805,12.768596649169922,10.220168113708496,172.56919860839844,0.1,1.0156241655349731,24849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.500528250804635,18.490729996036634,262,-46.82443820238113,-47.211951723930085,0.7853692936992868,0.5407994097883042,0.2901319024498696,0.16906868776182624,0.4398,11.3,0.0537,2.926,0.53,0.298,0.172,8,3
5,Warmup,11.5,0.7,7.495,14,0.4106,-2538.38,931.704,4970,0,-41.99,18.81,-59.83,58.68,-0.5107,0.3306,-10.788431167602539,0.8451021313667297,25.12002944946289,15.590682029724121,1.0681449174880981,-0.004493099637329578,0.034182365983724594,12.49201774597168,6.777250289916992,224.7423095703125,0.1,1.0186333656311035,29819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-41.99135786978532,18.81385688842229,262,-50.19226450669138,-45.994123031120544,0.7301127383613976,0.547435398372204,0.28741935183344264,0.1651452497943533,0.3993,11.68,0.0541,2.894,0.541,0.29,0.169,13,1
6,Warmup,11.5,0.7,4.937,13,0.5209,-2616.022,1008.448,4970,0,-40.21,22.85,-59.94,60.0,-0.5264,0.3401,-11.129512786865234,0.7997429370880127,23.820484161376953,14.447221755981445,0.7975015044212341,-0.025665465742349625,0.025775540620088577,12.780929565429688,3.1543514728546143,113.6716537475586,0.1,1.021704912185669,34789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-40.209672584120085,22.851278407222644,262,-45.21687526577398,-44.646509552001945,0.7301579763494924,0.5513897969424979,0.28500408630538493,0.16360611675211714,0.3714,11.95,0.0544,2.866,0.547,0.287,0.165,10,3
7,Warmup,11.5,0.7,5.517,14,0.5055,-2515.009,900.092,4970,0,-46.67,16.1,-59.73,59.16,-0.506,0.3166,-11.39640998840332,0.8035726547241211,17.592531204223633,8.385207176208496,0.8310155272483826,0.0024880238343030214,0.022367969155311584,13.068351745605469,5.449017524719238,263.4823303222656,0.1,1.024841070175171,39759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-46.67256801549937,16.097943448355046,262,-47.874240118461216,-40.3503716142554,0.7997628427784004,0.5542151084853246,0.2842641387314092,0.1615207527832663,0.3392,12.1,0.0548,2.845,0.551,0.285,0.164,11,3
8,Warmup,11.7,0.7,6.115,16,0.4706,-2665.605,1024.936,4970,0,-44.02,21.64,-59.83,60.0,-0.5363,0.3414,-10.775605201721191,0.8429089784622192,26.974781036376953,17.895578384399414,0.7583613395690918,-0.04219816252589226,0.0422968827188015,12.515106201171875,8.608577728271484,245.05526733398438,0.1,1.0280120372772217,44729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-44.01831111208774,21.637173007575026,262,-48.47110432323657,-32.130596188808745,0.7881383170219488,0.5548044556002208,0.28661779870744547,0.15857774569233385,0.3243,12.2,0.0552,2.829,0.554,0.284,0.162,14,2
9,Warmup,11.6,0.7,6.904,15,0.443,-2706.514,1077.365,4970,0,-45.99,21.25,-59.79,60.0,-0.5446,0.3476,-10.979833602905273,0.697913646697998,21.236522674560547,12.276297569274902,0.7452296614646912,0.03458383306860924,0.017494503408670425,12.437446594238281,1.2560807466506958,135.63992309570312,0.1,1.0311640501022339,49699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-45.98955193052829,21.24716177176149,262,-50.480056441457656,-48.55221198232551,0.8232730012629718,0.5573662649037425,0.2866933772854982,0.1559403578107593,0.3126,12.23,0.0555,2.816,0.555,0.287,0.159,15,0
