OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1591,1,Spring Garden,24,5.5,5:30am to 5:59am,1767261600000
1596,1,Spring Garden,13,6,6:00am to 6:29am,1767261600000
1605,1,Spring Garden,33,6.5,6:30am to 6:59am,1767261600000
1620,1,Spring Garden,34,7,7:00am to 7:29am,1767261600000
1639,1,Spring Garden,37,7.5,7:30am to 7:59am,1767261600000
29091,1,Spring Garden,40,8,8:00am to 8:29am,1767261600000
29117,1,Spring Garden,47,8.5,8:30am to 8:59am,1767261600000
29140,1,Spring Garden,34,9,9:00am to 9:29am,1767261600000
29732,1,Spring Garden,52,9.5,9:30am to 9:59am,1767261600000
17407,1,Spring Garden,46,10,10:00am to 10:29am,1767261600000
29774,1,Spring Garden,39,10.5,10:30am to 10:59am,1767261600000
29788,1,Spring Garden,49,11,11:00am to 11:29am,1767261600000
17467,1,Spring Garden,59,11.5,11:30am to 11:59am,1767261600000
30584,1,Spring Garden,87,12,12:00pm to 12:29pm,1767261600000
30604,1,Spring Garden,93,12.5,12:30pm to 12:59pm,1767261600000
17647,1,Spring Garden,69,13,1:00pm to 1:29pm,1767261600000
18875,1,Spring Garden,145,13.5,1:30pm to 1:59pm,1767261600000
18992,1,Spring Garden,86,14,2:00pm to 2:29pm,1767261600000
19014,1,Spring Garden,63,14.5,2:30pm to 2:59pm,1767261600000
19030,1,Spring Garden,95,15,3:00pm to 3:29pm,1767261600000
31647,1,Spring Garden,72,15.5,3:30pm to 3:59pm,1767261600000
19629,1,Spring Garden,87,16,4:00pm to 4:29pm,1767261600000
31070,1,Spring Garden,62,16.5,4:30pm to 4:59pm,1767261600000
32451,1,Spring Garden,89,17,5:00pm to 5:29pm,1767261600000
17489,1,Spring Garden,88,17.5,5:30pm to 5:59pm,1767261600000
32487,1,Spring Garden,79,18,6:00pm to 6:29pm,1767261600000
32698,1,Spring Garden,69,18.5,6:30pm to 6:59pm,1767261600000
17543,1,Spring Garden,77,19,7:00pm to 7:29pm,1767261600000
17563,1,Spring Garden,74,19.5,7:30pm to 7:59pm,1767261600000
17578,1,Spring Garden,25,20,8:00pm to 8:29pm,1767261600000
17599,1,Spring Garden,29,20.5,8:30pm to 8:59pm,1767261600000
18883,1,Spring Garden,30,21,9:00pm to 9:29pm,1767261600000
18908,1,Spring Garden,31,21.5,9:30pm to 9:59pm,1767261600000
18922,1,Spring Garden,25,22,10:00pm to 10:29pm,1767261600000
18939,1,Spring Garden,18,22.5,10:30pm to 10:59pm,1767261600000
33325,1,Spring Garden,19,23,11:00pm to 11:29pm,1767261600000
18962,1,Spring Garden,19,23.5,11:30pm to 11:59pm,1767261600000
33810,1,Spring Garden,17,5.5,5:30am to 5:59am,1767348000000
19667,1,Spring Garden,58,6,6:00am to 6:29am,1767348000000
19702,1,Spring Garden,60,6.5,6:30am to 6:59am,1767348000000
34653,1,Spring Garden,83,7,7:00am to 7:29am,1767348000000
32436,1,Spring Garden,86,7.5,7:30am to 7:59am,1767348000000
43606,1,Spring Garden,113,8,8:00am to 8:29am,1767348000000
32989,1,Spring Garden,105,8.5,8:30am to 8:59am,1767348000000
44124,1,Spring Garden,91,9,9:00am to 9:29am,1767348000000
33133,1,Spring Garden,165,9.5,9:30am to 9:59am,1767348000000
33158,1,Spring Garden,135,10,10:00am to 10:29am,1767348000000
33273,1,Spring Garden,124,10.5,10:30am to 10:59am,1767348000000
44682,1,Spring Garden,168,11,11:00am to 11:29am,1767348000000
44706,1,Spring Garden,209,11.5,11:30am to 11:59am,1767348000000
34172,1,Spring Garden,168,12,12:00pm to 12:29pm,1767348000000
34193,1,Spring Garden,231,12.5,12:30pm to 12:59pm,1767348000000
47212,1,Spring Garden,241,13,1:00pm to 1:29pm,1767348000000
34235,1,Spring Garden,218,13.5,1:30pm to 1:59pm,1767348000000
211,1,Spring Garden,195,14,2:00pm to 2:29pm,1767348000000
236,1,Spring Garden,266,14.5,2:30pm to 2:59pm,1767348000000
48043,1,Spring Garden,216,15,3:00pm to 3:29pm,1767348000000
952,1,Spring Garden,208,15.5,3:30pm to 3:59pm,1767348000000
991,1,Spring Garden,172,16,4:00pm to 4:29pm,1767348000000
1502,1,Spring Garden,197,16.5,4:30pm to 4:59pm,1767348000000
62690,1,Spring Garden,167,17,5:00pm to 5:29pm,1767348000000
62720,1,Spring Garden,155,17.5,5:30pm to 5:59pm,1767348000000
3049,1,Spring Garden,99,18,6:00pm to 6:29pm,1767348000000
3644,1,Spring Garden,116,18.5,6:30pm to 6:59pm,1767348000000
3664,1,Spring Garden,108,19,7:00pm to 7:29pm,1767348000000
4165,1,Spring Garden,87,19.5,7:30pm to 7:59pm,1767348000000
4182,1,Spring Garden,133,20,8:00pm to 8:29pm,1767348000000
47981,1,Spring Garden,91,20.5,8:30pm to 8:59pm,1767348000000
47997,1,Spring Garden,73,21,9:00pm to 9:29pm,1767348000000
8285,1,Spring Garden,104,21.5,9:30pm to 9:59pm,1767348000000
8673,1,Spring Garden,48,22,10:00pm to 10:29pm,1767348000000
9735,1,Spring Garden,71,22.5,10:30pm to 10:59pm,1767348000000
9746,1,Spring Garden,37,23,11:00pm to 11:29pm,1767348000000
9762,1,Spring Garden,21,23.5,11:30pm to 11:59pm,1767348000000
9772,1,Spring Garden,12,24,12:00am to 12:29am,1767348000000
61968,1,Spring Garden,28,24.5,12:30am to 12:59am,1767348000000
61977,1,Spring Garden,19,5.5,5:30am to 5:59am,1767434400000
9801,1,Spring Garden,49,6,6:00am to 6:29am,1767434400000
10477,1,Spring Garden,38,6.5,6:30am to 6:59am,1767434400000
62851,1,Spring Garden,69,7,7:00am to 7:29am,1767434400000
10515,1,Spring Garden,68,7.5,7:30am to 7:59am,1767434400000
62894,1,Spring Garden,64,8,8:00am to 8:29am,1767434400000
7,1,Spring Garden,72,8.5,8:30am to 8:59am,1767434400000
10852,1,Spring Garden,77,9,9:00am to 9:29am,1767434400000
