ep,tid,dir,hour,period,delta_t,base_hw,eff_hw,s_hold_mean,s_hold_std,hold_mean,hold_std,hold_max,hold_n,gap_dev,penalty,reward
0,0,1,6,trans,-1.0,360.0,359.0,0.0,0.0,19.6,13.9,45.0,14,0.0,0.0,-0.999
0,1,0,6,trans,1.2,360.0,361.0,0.0,0.0,10.6,9.5,30.0,16,1.0,1.0,-1.999
0,2,1,6,trans,-1.0,360.0,359.0,0.0,0.0,21.6,14.5,45.0,19,0.0,0.0,-0.999
0,3,0,6,trans,1.2,360.0,361.0,0.0,0.0,24.2,15.5,45.0,19,1.0,1.0,-1.999
0,4,1,6,trans,-1.0,360.0,359.0,0.0,0.0,14.2,13.6,45.0,19,0.0,0.0,-0.999
0,5,0,6,trans,1.2,360.0,361.0,0.0,0.0,20.0,12.5,45.0,19,1.0,1.0,-1.999
0,6,1,6,trans,-16.3,360.0,344.0,0.0,0.0,16.6,11.0,30.0,19,0.0,0.0,-0.999
0,7,0,6,trans,-16.2,360.0,344.0,0.0,0.0,18.2,14.6,45.0,19,2.0,2.0,-2.999
0,8,1,6,trans,-16.3,360.0,344.0,0.0,0.0,23.2,13.3,45.0,19,0.0,0.0,-0.999
0,9,0,6,trans,-16.2,360.0,344.0,0.0,0.0,14.5,11.1,45.0,19,1.5,1.5,-2.499
0,10,1,6,trans,-16.3,360.0,344.0,0.0,0.0,23.4,14.5,45.0,19,0.0,0.0,-0.999
0,11,0,6,trans,-16.2,360.0,344.0,0.0,0.0,21.3,14.8,45.0,19,0.0,0.0,-0.999
0,12,1,6,trans,-14.2,360.0,346.0,0.0,0.0,17.6,11.6,45.0,19,0.0,0.0,-0.999
0,13,0,6,trans,-6.8,360.0,353.0,21.5,0.0,22.9,15.8,45.0,19,0.0,0.0,-0.999
0,14,1,6,trans,-14.2,360.0,346.0,13.6,0.0,17.4,17.0,45.0,19,0.0,0.0,-0.999
0,15,0,6,trans,-6.8,360.0,353.0,19.8,2.6,20.8,15.2,45.0,19,0.0,0.0,-0.999
0,16,1,6,trans,-14.2,360.0,346.0,0.0,0.0,16.8,15.1,45.0,19,0.0,0.0,-0.999
0,17,0,6,trans,-6.8,360.0,353.0,17.2,0.0,24.7,17.0,45.0,19,0.0,0.0,-0.999
0,18,1,6,trans,-24.8,360.0,335.0,25.2,2.8,20.5,11.3,45.0,19,0.0,0.0,-0.999
0,19,0,6,trans,-3.2,360.0,357.0,20.0,0.0,18.7,15.4,45.0,19,0.0,0.0,-0.999
0,20,1,7,peak,-24.8,360.0,335.0,22.4,0.0,18.2,14.7,45.0,19,0.0,0.0,-0.999
0,21,0,7,peak,-3.2,360.0,357.0,24.4,0.0,16.3,11.8,45.0,19,0.0,0.0,-0.999
0,22,1,7,peak,-24.8,360.0,335.0,19.5,3.9,28.2,16.6,45.0,19,0.0,0.0,-0.999
0,23,0,7,peak,-3.2,360.0,357.0,21.1,2.6,18.2,11.5,45.0,19,0.0,0.0,-0.999
0,24,1,7,peak,-16.7,360.0,343.0,19.4,3.9,16.6,13.9,45.0,19,0.0,0.0,-0.999
0,25,0,7,peak,-0.6,360.0,359.0,19.1,0.6,19.5,17.3,45.0,19,0.0,0.0,-0.999
0,26,1,7,peak,-16.7,360.0,343.0,23.3,0.0,25.0,16.1,45.0,19,0.0,0.0,-0.999
0,27,0,7,peak,-0.6,360.0,359.0,20.8,1.1,18.7,13.9,45.0,19,0.0,0.0,-0.999
0,28,1,7,peak,-16.7,360.0,343.0,25.8,0.0,17.1,16.2,45.0,19,0.0,0.0,-0.999
0,29,0,7,peak,-0.6,360.0,359.0,21.9,0.0,21.6,16.3,45.0,19,0.0,0.0,-0.999
0,30,1,7,peak,-13.6,360.0,346.0,24.2,1.9,19.2,14.8,45.0,19,0.0,0.0,-0.999
0,31,0,7,peak,2.0,360.0,362.0,21.7,0.0,14.2,11.0,30.0,19,1.0,1.0,-1.999
0,32,1,7,peak,-13.6,360.0,346.0,25.9,0.2,18.9,14.6,45.0,19,0.0,0.0,-0.999
0,33,0,7,peak,2.0,360.0,362.0,19.4,0.0,20.5,13.2,45.0,19,2.0,2.0,-2.999
0,34,1,7,peak,-13.6,360.0,346.0,22.0,3.7,22.6,14.9,45.0,19,0.0,0.0,-0.999
0,35,0,7,peak,2.0,360.0,362.0,29.2,0.0,17.1,13.4,45.0,19,2.0,2.0,-2.999
0,36,1,7,peak,-6.3,360.0,354.0,19.0,0.8,18.4,14.6,45.0,19,0.0,0.0,-0.999
0,37,0,7,peak,1.0,360.0,361.0,19.4,0.0,17.1,12.3,45.0,19,1.5,1.5,-2.499
0,38,1,7,peak,-6.3,360.0,354.0,23.2,3.5,17.6,14.3,45.0,19,0.0,0.0,-0.999
0,39,0,7,peak,1.0,360.0,361.0,25.8,0.0,18.7,16.1,45.0,19,1.0,1.0,-1.999
0,40,1,8,peak,-6.3,360.0,354.0,25.3,1.3,16.6,16.4,45.0,19,0.0,0.0,-0.999
0,41,0,8,peak,1.0,360.0,361.0,22.0,0.0,17.1,14.6,45.0,19,1.0,1.0,-1.999
0,42,1,8,peak,-7.9,360.0,352.0,24.0,0.0,16.6,10.0,30.0,19,0.0,0.0,-0.999
0,43,0,8,peak,-12.4,360.0,348.0,21.4,0.0,12.1,12.7,45.0,19,5.0,5.0,-6.0
0,44,1,8,peak,-7.9,360.0,352.0,20.8,3.6,13.7,11.1,45.0,19,0.0,0.0,-0.999
0,45,0,8,peak,-12.4,360.0,348.0,20.0,0.0,24.5,15.9,45.0,19,4.5,4.5,-5.5
0,46,1,8,peak,-7.9,360.0,352.0,17.2,0.0,18.9,14.7,45.0,19,0.0,0.0,-0.999
0,47,0,8,peak,-12.4,360.0,348.0,0.0,0.0,19.5,12.2,45.0,19,0.0,0.0,-0.999
0,48,1,8,peak,-7.9,360.0,352.0,22.9,0.0,22.6,13.6,45.0,19,0.0,0.0,-0.999
0,49,0,8,peak,-15.4,360.0,345.0,24.2,2.2,18.2,14.3,45.0,19,0.0,0.0,-0.999
0,50,1,8,peak,-7.9,360.0,352.0,20.0,0.0,16.8,12.4,45.0,19,0.0,0.0,-0.999
0,51,0,8,peak,-15.4,360.0,345.0,21.5,0.4,17.4,11.7,45.0,19,0.0,0.0,-0.999
0,52,1,8,peak,-7.9,360.0,352.0,22.2,0.0,21.3,15.3,45.0,19,0.0,0.0,-0.999
0,53,0,8,peak,-15.4,360.0,345.0,21.1,0.0,15.8,13.1,45.0,19,0.0,0.0,-0.999
0,54,1,8,peak,-17.7,360.0,342.0,0.0,0.0,21.3,15.5,45.0,19,0.0,0.0,-0.999
0,55,0,8,peak,-17.1,360.0,343.0,23.0,0.0,23.7,14.7,45.0,19,0.0,0.0,-0.999
0,56,1,8,peak,-17.7,360.0,342.0,22.3,1.4,17.9,13.4,45.0,19,0.0,0.0,-0.999
0,57,0,8,peak,-17.1,360.0,343.0,17.7,0.8,18.7,13.6,45.0,19,0.0,0.0,-0.999
0,58,1,8,peak,-17.7,360.0,342.0,20.9,0.0,19.2,13.2,45.0,19,0.0,0.0,-0.999
