environment,optimizer_seed,baseline_episode_return,full_method_episode_return,episode_return_difference,baseline_LowerLFDriftAbs,full_method_LowerLFDriftAbs,relative_drift_reduction,selected_branch,reconstruction_rms_max,baseline_checkpoint_match
HalfCheetah-v5,3760743984,395.17299252362733,481.22568497321663,86.0526924495893,0.00922552017683011,0.0004309712681887075,0.9532848815104116,scalarized,4.873724763864236e-09,True
HalfCheetah-v5,3694979909,510.33203410730437,659.7841091141902,149.45207500688582,0.008313497792906802,0.00035114586056727345,0.95776195900757,scalarized,4.057204282907218e-09,True
HalfCheetah-v5,389202265,702.5195756968731,702.5195756968731,0.0,0.005571878347078429,0.00046108130007736726,0.9172484983777272,no_leakage,7.066328924083707e-09,True
HalfCheetah-v5,4051790486,724.3353390714379,724.3353390714379,0.0,0.0009002141918996581,0.0005007251664360045,0.4437710814363417,no_leakage,4.392688801363618e-09,True
HalfCheetah-v5,1653209591,360.12985987021386,360.12985987021386,0.0,0.003068489069179139,0.0005958290572304031,0.8058233078895096,no_leakage,6.9057660313035086e-09,True
HalfCheetah-v5,2850251129,132.88667849398263,132.88667849398263,0.0,0.0021885739700445482,0.00047712741378753715,0.7819916437287129,no_leakage,5.2351479658375625e-09,True
HalfCheetah-v5,914719826,335.33802843799106,335.33802843799106,0.0,0.0018555876073017869,0.0005322616280592154,0.7131573707623657,no_leakage,4.514353507792802e-09,True
HalfCheetah-v5,223202612,461.935370047912,461.935370047912,0.0,0.001113140863732661,0.00031274286685353554,0.7190446626810334,no_leakage,5.0094344561552295e-09,True
HalfCheetah-v5,4262194313,185.17137325684214,418.31264137738043,233.14126812053829,0.004761463187519345,0.0005167470258880722,0.8914730607930437,reward_guarded_adam_projection,5.550579508379003e-09,True
HalfCheetah-v5,2726429378,424.8339413264606,1201.9389270241759,777.1049856977153,0.0011214981852136498,0.000352808478155519,0.6854132420300728,reward_guarded_adam_projection,3.793960871234794e-09,True
HalfCheetah-v5,3703719678,412.04780526844826,618.1243857618377,206.07658049338949,0.0024615395144747037,0.0005769190258915311,0.7656267459859785,scalarized,5.431963533430904e-09,True
HalfCheetah-v5,3019160601,732.2322929585937,732.2322929585937,0.0,0.0026525332783156833,0.0004874425207341762,0.8162350969471364,no_leakage,7.257063244396841e-09,True
HalfCheetah-v5,2250225306,611.1688105965623,951.7341476526965,340.56533705613424,0.0009523253978878116,0.00041351475071850296,0.5657841829739618,scalarized,5.328283733553529e-09,True
HalfCheetah-v5,2768496775,81.0973556096731,81.0973556096731,0.0,0.0017805319562104716,0.0005133937727114778,0.7116627023060343,no_leakage,4.1047716852052e-09,True
HalfCheetah-v5,844758473,676.7581367737978,676.7581367737978,0.0,0.00465935221169589,0.0008642009189402895,0.8145233758523395,no_leakage,6.235705149231709e-09,True
HalfCheetah-v5,681257194,503.8313784643642,804.7309670993204,300.8995886349562,0.002942326159711266,0.0006306612488183513,0.7856589600929087,scalarized,6.845523369005505e-09,True
HalfCheetah-v5,1978663101,102.39580605410166,424.52211408406384,322.12630802996216,0.03986051231224021,0.0003975833416350527,0.990025633927616,reward_guarded_adam_projection,4.732000790788924e-09,True
HalfCheetah-v5,3049442218,196.17109719156753,196.17109719156753,0.0,0.001110998457776076,0.0002847405426551667,0.7437075266286672,no_leakage,4.953859751630965e-09,True
HalfCheetah-v5,661891628,662.321203348213,662.321203348213,0.0,0.0019124225017913513,0.0005902231660745827,0.6913740737092744,no_leakage,7.483818190093719e-09,True
HalfCheetah-v5,1380702675,390.715475071306,390.715475071306,0.0,0.002170001512923169,0.001005732759972767,0.5365290051719996,no_leakage,5.477743197302806e-09,True
HalfCheetah-v5,3803331401,470.91342301596933,605.4060859849806,134.49266296901123,0.0008806219888210235,0.00027132127761199544,0.6918981344365017,scalarized,3.943874945323213e-09,True
HalfCheetah-v5,640779130,411.78406408381096,710.7574015426408,298.9733374588298,0.0017266264481891537,0.000735836731234836,0.5738298043525485,scalarized,4.07923977712532e-09,True
HalfCheetah-v5,2570816311,51.993387028127685,51.993387028127685,0.0,0.0009259143171202334,0.00013515448167595443,0.8540313297062841,no_leakage,4.283092511120536e-09,True
HalfCheetah-v5,4025270303,317.9085321463815,317.9085321463815,0.0,0.01621421847278852,0.0008725900959292805,0.9461836475563898,no_leakage,1.0798310770194593e-08,True
Hopper-v5,3760743984,328.4144599618141,328.4144599618141,0.0,0.01717594369365542,0.013254230150325636,0.22832594314910426,no_leakage,1.3140084532800128e-08,True
Hopper-v5,3694979909,174.80417241912536,174.80417241912536,0.0,0.09227005456020977,0.04081530521792788,0.5576538302435454,no_leakage,1.3767916337982401e-08,True
Hopper-v5,389202265,169.38647888074124,313.75894796402105,144.3724690832798,0.041916637027714775,0.008880792946639066,0.7881320264131115,reward_guarded_adam_projection,1.2127187571512909e-08,True
Hopper-v5,4051790486,172.2837188913064,171.94014418502925,-0.3435747062771384,0.14975882206381672,0.007505096255635851,0.9498854481344832,reward_guarded_adam_projection,1.6261810175348525e-08,True
Hopper-v5,1653209591,170.64209836167976,177.3979171789875,6.755818817307755,0.06675914507591034,0.004458706747601805,0.9332120454428842,reward_guarded_adam_projection,1.4531308060391765e-08,True
Hopper-v5,2850251129,169.8570026362901,171.08523801207124,1.2282353757811393,0.06097434568864102,0.007480251931323079,0.8773213251107247,reward_guarded_adam_projection,1.7286648835380942e-08,True
Hopper-v5,914719826,179.96436959286132,272.5699270200178,92.6055574271565,0.07153992786063676,0.015757295997364244,0.7797412372562044,reward_guarded_adam_projection,1.1374284580908565e-08,True
Hopper-v5,223202612,172.43218695999687,187.4914727356283,15.059285775631423,0.06852782918599173,0.009173679596651569,0.8661320560475768,reward_guarded_adam_projection,1.0225245172521777e-08,True
Hopper-v5,4262194313,185.96214338941024,185.96214338941024,0.0,0.07868734090540377,0.039950543170386786,0.49228754319688517,no_leakage,1.3762167054506707e-08,True
Hopper-v5,2726429378,176.89400460380858,176.89400460380858,0.0,0.12005961196517631,0.04198846246058739,0.6502698803260643,no_leakage,1.3552395360339295e-08,True
Hopper-v5,3703719678,169.0617741115607,171.94098695234078,2.8792128407800703,0.016571524173614727,0.00964940732999903,0.4177115376410053,reward_guarded_adam_projection,1.2104598740005498e-08,True
Hopper-v5,3019160601,172.0452999681754,172.15650011620613,0.11120014803071854,0.04956235174015135,0.00844779113476802,0.8295522541170234,reward_guarded_adam_projection,1.4306695213840908e-08,True
Hopper-v5,2250225306,227.23407093110512,227.23407093110512,0.0,0.10542331675709897,0.0362970980325104,0.6557014221423059,no_leakage,1.029195509096007e-08,True
