environment,optimizer_seed,baseline_episode_return,full_method_episode_return,episode_return_difference,baseline_LowerLFDriftAbs,full_method_LowerLFDriftAbs,relative_responsibility_drift_reduction,baseline_RawLowerLFDriftAbs,full_method_RawLowerLFDriftAbs,relative_raw_lower_drift_reduction,full_method_UpperHFPowerAbs,full_method_upper_hf_rms,selected_branch,reconstruction_rms_max,baseline_checkpoint_match
HalfCheetah-v5,3596220588,254.52091938305836,555.0890601223207,300.56814073926233,0.0023757409905584793,0.0007873462827754816,0.6685891745335439,0.0023757409905584793,0.0039026283246076663,-0.6426994104648809,0.002824667599468185,0.05314760201051582,scalarized,5.8249634027998285e-09,True
HalfCheetah-v5,707075335,256.2479720019219,535.7104487956992,279.46247679377734,0.0022070663786051487,0.0004393978876325548,0.8009131524579467,0.0022070663786051487,0.0010035567954187067,0.5452983176460022,0.0016585301933507665,0.0407250560877547,scalarized,3.2700349507796993e-09,True
HalfCheetah-v5,2102554650,400.7132226275003,400.7132226275003,0.0,0.0007524420368057915,0.0004129218983102939,0.45122430949871184,0.0007524420368057915,0.0007524420368057915,0.0,0.004898359989722771,0.06998828466052566,no_leakage,3.092484884429406e-09,True
HalfCheetah-v5,729733352,1181.8617369763847,1181.8617369763847,0.0,0.004479235347254339,0.0005853151438909847,0.8693269947849986,0.004479235347254339,0.004479235347254339,0.0,0.0019899756104873817,0.04460914267823785,no_leakage,7.711817605926681e-09,True
HalfCheetah-v5,2677106215,570.2314996547486,697.4254047736985,127.19390511894983,0.0022843672851463517,0.00036821858081617756,0.838809379205154,0.0022843672851463517,0.0017704410608275355,0.2249753039541934,0.0056362781895853645,0.07507515028013839,reward_guarded_adam_projection,6.222296158331124e-09,True
HalfCheetah-v5,2294726814,231.0037382441247,972.6682848314434,741.6645465873187,0.001988309708221772,0.0005307624745905128,0.7330584504034858,0.001988309708221772,0.0013539379717819326,0.3190507664961232,0.0016391567717053035,0.0404865011047547,scalarized,3.0449537041630435e-09,True
HalfCheetah-v5,180002411,353.16635355496174,655.438635386362,302.2722818314002,0.002481978607874432,0.0008117207043799455,0.672954189933529,0.002481978607874432,0.002802114499543178,-0.12898414621829102,0.006471621955477677,0.0804463918114273,reward_guarded_adam_projection,6.764739291512731e-09,True
HalfCheetah-v5,2597703301,533.1756261230486,533.1756261230486,0.0,0.005530795211288892,0.0004095101051550644,0.9259581869313811,0.005530795211288892,0.005530795211288892,0.0,0.01915236899416838,0.13839208429013697,no_leakage,8.251372916670042e-09,True
HalfCheetah-v5,4120591705,560.1121173206791,519.739997014684,-40.372120305995054,0.0017222301889448957,0.0003647889864580564,0.7881880199292406,0.0017222301889448957,0.000947881610967939,0.44961967508614653,0.004316379391814207,0.06569915822759229,reward_guarded_adam_projection,3.932767057401585e-09,True
HalfCheetah-v5,2971934405,289.38686509802045,630.2263488910266,340.8394837930062,0.0017164779667417467,0.0003938902787040279,0.7705241276986978,0.0017164779667417467,0.0006801582229254916,0.6037477695000177,0.004923120340288897,0.07016495093911844,reward_guarded_adam_projection,4.0005464473525356e-09,True
