environment,arm,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,responsibility_drift_difference_mean,responsibility_drift_one_sided_lower,responsibility_drift_one_sided_upper,required_responsibility_drift_reduction,responsibility_drift_pass,raw_lower_drift_difference_mean,raw_lower_drift_one_sided_lower,raw_lower_drift_one_sided_upper,required_raw_lower_drift_reduction,raw_lower_drift_pass,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,environment_gate_pass
HalfCheetah-v5,joint_beta0,0.0,8,419.7455567268737,354.5696577809331,-65.17589894594062,-190.94955166308654,62.048325926083635,8.394911134537475,False,-0.002575765834660016,-0.00395325552268952,-0.0013251789842774694,0.0003517586337467001,True,-0.00014404860109456724,-0.000642358347514954,0.00034577423989664283,0.0003517586337467001,False,0.05555699640556093,0.06542749864426896,True,6.821641226965257e-09,True,-21.745869325227478,False
Hopper-v5,joint_beta0,0.0,8,190.91886031333166,182.56962817258722,-8.349232140744434,-30.058409721904958,11.76427187205811,3.8183772062666335,False,-0.06812370835113962,-0.08096614958104552,-0.05602485193195238,0.0073070092370157895,True,-0.06392848726377681,-0.07666867990646213,-0.05156710814339009,0.0073070092370157895,True,0.1376673345176117,0.1511676715842226,False,1.7078596139668173e-08,True,-6.872037805110973,False
Walker2d-v5,joint_beta0,0.0,8,291.55952114557397,282.04588789612234,-9.513633249451644,-26.40813926769851,8.398431754020454,5.8311904229114795,False,-0.06200584039084572,-0.0708083464642871,-0.05312606271446433,0.006580343202239014,True,-0.04218867840040198,-0.05229678757800172,-0.03206688764405052,0.006580343202239014,True,0.024596685678060164,0.026503095875646702,True,2.0156954698815345e-08,True,-3.5287732611059335,False
HalfCheetah-v5,joint_beta0p5,0.5,8,419.7455567268737,573.0385409452864,153.2929842184127,-14.889777353460744,324.2536147654532,8.394911134537475,False,-0.0028205200823543455,-0.004044296015216402,-0.0017009536222486435,0.0003517586337467001,True,-0.0011645752565021777,-0.002289531999582559,-0.00014770715624874903,0.0003517586337467001,False,0.030781904510446514,0.03488130087411783,True,5.106669257872985e-09,True,-0.7736670602983231,False
Hopper-v5,joint_beta0p5,0.5,8,190.91886031333166,173.34527206746586,-17.573588245865793,-32.99426572183476,-2.503037983238798,3.8183772062666335,False,-0.06859436078868586,-0.08089635369329887,-0.05698719258939131,0.0073070092370157895,True,-0.06575898744765116,-0.07765975848773854,-0.054318923939885466,0.0073070092370157895,True,0.026446567971103188,0.02778326473873402,True,1.68090180007555e-08,True,-7.640913126048763,False
Walker2d-v5,joint_beta0p5,0.5,8,291.55952114557397,330.75966060797737,39.20013946240341,25.503316348709777,53.2290566385046,5.8311904229114795,True,-0.05433679090638342,-0.06360482266512865,-0.04535684527691805,0.006580343202239014,True,-0.006480428463216133,-0.016654098716410416,0.003993369070387094,0.006580343202239014,False,0.02863153423859068,0.029849416128295177,True,2.0569304140196498e-08,True,-1.606863342481638,False
HalfCheetah-v5,joint_beta2,2.0,8,419.7455567268737,556.0070816485968,136.26152492172324,-54.89945043957162,323.2785535844524,8.394911134537475,False,-0.002936158636640519,-0.004297931255936029,-0.001687188385998788,0.0003517586337467001,True,-0.0018786057143396816,-0.00310038662388929,-0.0006847306814749026,0.0003517586337467001,True,0.03274226280974565,0.03544117630549968,True,3.77539333955327e-09,True,-5.5396106712446285,False
Hopper-v5,joint_beta2,2.0,8,190.91886031333166,164.45891531680098,-26.45994499653067,-45.116518538970766,-8.744184302469272,3.8183772062666335,False,-0.040604343301975564,-0.05468593928949607,-0.027397150032508016,0.0073070092370157895,True,0.008246441691024299,-0.010221205044834725,0.025457510633378366,0.0073070092370157895,False,0.036800955208805164,0.04075013929388647,True,2.0181725843991798e-08,True,-10.815626404045826,False
Walker2d-v5,joint_beta2,2.0,8,291.55952114557397,230.72121874284932,-60.83830240272465,-91.4633852548471,-31.035471449955367,5.8311904229114795,False,-0.016415369195354457,-0.0317321557967062,-0.0010807872079181113,0.006580343202239014,False,0.14296329006677383,0.114641736616661,0.17082241265807124,0.006580343202239014,False,0.043381639313090074,0.04652382106056864,True,1.948328957905093e-08,True,-26.959498981747267,False
HalfCheetah-v5,joint_beta8,8.0,8,419.7455567268737,592.5775545406959,172.83199781382223,14.491785631601267,322.8459200866733,8.394911134537475,True,-0.0028975083472537327,-0.004181880591398785,-0.0017404282338074899,0.0003517586337467001,True,-0.0016890612978340015,-0.0028284945728592257,-0.0006129989450891094,0.0003517586337467001,True,0.03214794698753009,0.03456438431094073,True,5.9300078068664445e-09,True,0.6543561568905928,True
Hopper-v5,joint_beta8,8.0,8,190.91886031333166,21.888680332659813,-169.03017998067185,-183.2821874621363,-155.75601674007402,3.8183772062666335,False,-0.03745732899558484,-0.04891652802259011,-0.026597936435696475,0.0073070092370157895,True,-0.03408979535844456,-0.045561081841802326,-0.023156201310239738,0.0073070092370157895,True,0.04083668579981735,0.045157493212619235,True,1.2220432147906051e-08,True,-47.000021360209715,False
Walker2d-v5,joint_beta8,8.0,8,291.55952114557397,100.4369745399857,-191.12254660558827,-221.1311414984985,-159.44102876337888,5.8311904229114795,False,0.05620545722314366,0.02976023776383484,0.08246539379826864,0.006580343202239014,False,0.16568035324394526,0.1459681352433891,0.18641914198054757,0.006580343202239014,False,0.04668619407437306,0.04950099384705562,True,1.700984709994666e-08,True,-36.92212660894189,False
