environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,490.7004446949666,490.7004446949666,0.0,0.0,0.0,9.814008893899333,True,2.5e-05,0.0021466311721285774,0.0006174784628070191,-0.0015291527093215579,-0.001039136391896235,nan,0.00021466311721285775,True,strict_relative_improvement,True,3.8407775186914765,0.0021466311721285774,0.0021466311721285774,0.0,0.0,nan,0.00021466311721285775,True,strict_relative_improvement,False,-1.0,0.0021466311721285774,0.052545446216591275,0.056513894314231136,True,0.3852902407487605,0.27171459221473043,True,0.0,0.0,True,5.848919641357151e-09,True,-1.0,False
HalfCheetah-v5,low_frequency,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,370.68504028659595,370.68504028659595,0.0,0.0,0.0,7.413700805731919,True,2.5e-05,0.0023728148658860968,0.0007017068995902112,-0.0016711079662958856,-0.0011790118839104266,nan,0.00023728148658860968,True,strict_relative_improvement,True,3.968832170014832,0.0023728148658860968,0.0023728148658860968,0.0,0.0,nan,0.00023728148658860968,True,strict_relative_improvement,False,-1.0,0.0023728148658860968,0.052667915208868085,0.05603604078469144,True,0.38083498095364376,0.2687659053622689,True,0.0,0.0,True,5.923368655744127e-09,True,-1.0,False
HalfCheetah-v5,high_frequency,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,409.7669342628855,409.7669342628855,0.0,0.0,0.0,8.19533868525771,True,2.5e-05,0.002328763347905306,0.0006691210230501353,-0.0016596423248551703,-0.0011274905459583277,nan,0.0002328763347905306,True,strict_relative_improvement,True,3.841584899438114,0.002328763347905306,0.002328763347905306,0.0,0.0,nan,0.0002328763347905306,True,strict_relative_improvement,False,-1.0,0.002328763347905306,0.054079182320615024,0.057594989871033585,True,0.3810359929348748,0.2681382019986656,True,0.0,0.0,True,7.564854021440002e-09,True,-1.0,False
HalfCheetah-v5,mixed,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,376.5334071465785,376.5334071465785,0.0,0.0,0.0,7.53066814293157,True,2.5e-05,0.002534498710807454,0.0007022828360250359,-0.0018322158747824183,-0.0012905811710455565,nan,0.00025344987108074545,True,strict_relative_improvement,True,4.092056924481118,0.002534498710807454,0.002534498710807454,0.0,0.0,nan,0.00025344987108074545,True,strict_relative_improvement,False,-1.0,0.002534498710807454,0.05371100410690885,0.0568146445495623,True,0.38053426825567055,0.2679416296047792,True,0.0,0.0,True,6.914400467345689e-09,True,-1.0,False
HalfCheetah-v5,ood_chirp,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,417.8788644970345,417.8788644970345,0.0,0.0,0.0,8.35757728994069,True,2.5e-05,0.0023824868082626127,0.000724337946816624,-0.0016581488614459882,-0.0011609322024781637,nan,0.0002382486808262613,True,strict_relative_improvement,True,3.8727749444487096,0.0023824868082626127,0.0023824868082626127,0.0,0.0,nan,0.0002382486808262613,True,strict_relative_improvement,False,-1.0,0.0023824868082626127,0.05454786561543425,0.058022741679144736,True,0.3823408820765677,0.2694854979482665,True,0.0,0.0,True,6.28017015952842e-09,True,-1.0,False
Hopper-v5,standard,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,187.52321516978705,187.52321516978705,0.0,0.0,0.0,3.750464303395741,True,2.5e-05,0.07511655608883952,0.03714037369655473,-0.0379761823922848,-0.030120186452240995,nan,0.007511655608883953,True,strict_relative_improvement,True,3.009793315952635,0.07511655608883952,0.07511655608883952,0.0,0.0,nan,0.007511655608883953,True,strict_relative_improvement,False,-1.0,0.07511655608883952,0.08382713885735545,0.08962017598792774,True,0.3097079853858845,0.21505030590359622,True,0.0,0.0,True,1.824415568335254e-08,True,-1.0,False
Hopper-v5,low_frequency,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,188.07015546676288,188.07015546676288,0.0,0.0,0.0,3.761403109335258,True,2.5e-05,0.07637973804567831,0.038403526903626944,-0.03797621114205137,-0.030249003545488328,nan,0.007637973804567832,True,strict_relative_improvement,True,2.960343975963644,0.07637973804567831,0.07637973804567831,0.0,0.0,nan,0.007637973804567832,True,strict_relative_improvement,False,-1.0,0.07637973804567831,0.08977049213678953,0.09666851080021754,True,0.31456381466990374,0.2189588605060351,True,0.0,0.0,True,1.7060263335690476e-08,True,-1.0,False
Hopper-v5,high_frequency,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,187.64328637119053,187.64328637119053,0.0,0.0,0.0,3.7528657274238104,True,2.5e-05,0.07509951728268122,0.03725768113000449,-0.03784183615267672,-0.029967385706866908,nan,0.007509951728268122,True,strict_relative_improvement,True,2.9903566349257638,0.07509951728268122,0.07509951728268122,0.0,0.0,nan,0.007509951728268122,True,strict_relative_improvement,False,-1.0,0.07509951728268122,0.08635704757800552,0.09229579808167761,True,0.3148374061301791,0.2192382972846497,True,0.0,0.0,True,1.8826799589657333e-08,True,-1.0,False
Hopper-v5,mixed,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,187.70218006738378,187.70218006738378,0.0,0.0,0.0,3.7540436013476755,True,2.5e-05,0.07614407828896269,0.03830148634152784,-0.037842591947434834,-0.03006156332658847,nan,0.0076144078288962695,True,strict_relative_improvement,True,2.9479844003766718,0.07614407828896269,0.07614407828896269,0.0,0.0,nan,0.0076144078288962695,True,strict_relative_improvement,False,-1.0,0.07614407828896269,0.09004898749311563,0.09663773700704704,True,0.3191169992293423,0.2227282222798675,True,0.0,0.0,True,1.8517285662456373e-08,True,-1.0,False
Hopper-v5,ood_chirp,crossed_direct_reward,disabled,0.0,0.0,direct,0.1,0.0,16,188.2217150081512,188.2217150081512,0.0,0.0,0.0,3.764434300163024,True,2.5e-05,0.07604436618038303,0.03793023587972813,-0.0381141303006549,-0.030450021500454817,nan,0.007604436618038304,True,strict_relative_improvement,True,3.00424423661117,0.07604436618038303,0.07604436618038303,0.0,0.0,nan,0.007604436618038304,True,strict_relative_improvement,False,-1.0,0.07604436618038303,0.08761025886682174,0.09397708170180678,True,0.31310261133772466,0.21807464767325388,True,0.0,0.0,True,1.67665814467242e-08,True,-1.0,False
