environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,lower_action_router_training_schedule,lower_action_router_warmup_fraction,lower_action_router_ramp_fraction,upper_hf_penalty_coef,upper_actor_anchor_coef,lower_actor_anchor_coef,upper_actor_anchor_kl_mean,lower_actor_anchor_kl_mean,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,782.5117118755422,673.4229864264514,-109.08872544909082,-227.48713750959936,-5.668269706833821,15.650234237510846,False,2.5e-05,0.0009790498166953009,0.001043634141030514,6.458432433521295e-05,0.0002526031563583912,nan,0.0,True,relative_noninferiority,False,-10.104126254335647,0.004666258746150693,0.0033877803307365006,-0.0012784784154141922,-0.0003236607489568502,nan,0.0004666258746150693,True,strict_relative_improvement,False,-0.30638062189790577,0.0039839353616384215,0.059631006743015635,0.06524325367077992,True,0.4005157135884199,0.26501807986572773,True,0.0,0.0,True,1.0383234331552726e-08,True,-13.535701770159637,False
HalfCheetah-v5,low_frequency,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,687.0837666791779,534.9419727411799,-152.14179393799805,-242.83345363807547,-68.81801232425825,13.741675333583558,False,2.5e-05,0.0011331302274767015,0.0010927508140475017,-4.037941342919985e-05,0.00014259849210853374,nan,0.0,True,relative_noninferiority,False,-5.703939684341349,0.004792528373094297,0.0037397759282724354,-0.0010527524448218609,-0.0001820145313084546,nan,0.0004792528373094297,True,strict_relative_improvement,False,-0.6202118857964385,0.004408570934307584,0.06117431031981647,0.06663906250426545,True,0.3987861063714532,0.26404985377358936,True,0.0,0.0,True,9.845948951171937e-09,True,-16.6713135584429,False
HalfCheetah-v5,high_frequency,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,626.9261301002105,571.3232190153108,-55.602911084899674,-125.51115175336447,13.843531754254947,12.538522602004209,False,2.5e-05,0.0010890391195882924,0.0010674849700332903,-2.1554149555002067e-05,0.0001511813869408727,nan,0.0,True,relative_noninferiority,False,-6.0472554776349075,0.005068139435422312,0.0038934122038365034,-0.0011747272315858087,-0.0003554930431575173,nan,0.0005068139435422313,True,strict_relative_improvement,False,-0.29857288323028325,0.004599197980248009,0.06102715407492232,0.06547816005076215,True,0.3979569662987739,0.261764354270887,True,0.0,0.0,True,9.856758185989844e-09,True,-9.01004310773442,False
HalfCheetah-v5,mixed,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,546.7249178634497,484.26269363153403,-62.462224231915656,-112.84797353004915,-11.699549648512596,10.934498357268994,False,2.5e-05,0.0011468173908156052,0.0011160366996025139,-3.0780691213090955e-05,0.0001562310564690782,nan,0.0,True,relative_noninferiority,False,-6.249242258763127,0.005098414278828605,0.004051371925710942,-0.0010470423531176633,-0.0002758267180495153,nan,0.0005098414278828606,True,strict_relative_improvement,False,-0.4589950855996576,0.0047867598466012195,0.06114123984042774,0.06648699226291103,True,0.3963802761666815,0.2612595252266134,True,0.0,0.0,True,9.221299332445076e-09,True,-9.320361286170069,False
HalfCheetah-v5,ood_chirp,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,671.7163381865037,585.517455653795,-86.19888253270884,-165.796477266939,-12.790993449349168,13.434326763730073,False,2.5e-05,0.0011119196354984861,0.001114158438274919,2.2388027764326784e-06,0.00017268549731739812,nan,0.0,True,relative_noninferiority,False,-6.907419892695924,0.0046638529650024595,0.0037158427372945982,-0.000948010227707861,-9.394871712914403e-05,nan,0.00046638529650024595,True,strict_relative_improvement,False,-0.7985598649139778,0.004375581442142186,0.06023854098189428,0.06547591570070571,True,0.39958018676656826,0.26388595559933226,True,0.0,0.0,True,1.0104392718034198e-08,True,-11.341256855129911,False
Hopper-v5,standard,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,301.13075481194096,297.119109807061,-4.011645004879968,-28.955156353121794,22.137929313685248,6.02261509623882,False,2.5e-05,0.03920953941455883,0.03671152673337132,-0.0024980126811875118,-0.00017287487677127133,nan,0.0,True,relative_noninferiority,True,6.914995070850853,0.06463376444133467,0.05892057919321199,-0.0057131852481226795,-0.0019446339475676377,nan,0.006463376444133468,True,strict_relative_improvement,False,-0.6991303284937551,0.06516877176970899,0.12772538340438055,0.1403528577366985,False,0.2847662197127903,0.19249032624743093,True,0.0,0.0,True,1.7891163085273318e-08,True,-3.807738148699651,False
Hopper-v5,low_frequency,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,292.25094296205225,289.3242747628947,-2.926668199157646,-21.0493636850402,15.479774602449597,5.845018859241045,False,2.5e-05,0.04095794835879366,0.03943488004103421,-0.0015230683177594553,0.0007825160505739616,nan,0.0,True,relative_noninferiority,False,-31.300642022958463,0.06749048065735787,0.06200142852440696,-0.005489052132950912,-0.0016808005545079392,nan,0.006749048065735787,True,strict_relative_improvement,False,-0.7509573886366008,0.06850237160339302,0.130670468439394,0.14150735549928192,False,0.2931036803125875,0.20013844606282774,True,0.0,0.0,True,1.7136851443306957e-08,True,-31.300642022958463,False
Hopper-v5,high_frequency,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,303.8334560013643,290.08636803937577,-13.74708796198864,-40.251204250573416,12.46200996274122,6.076669120027287,False,2.5e-05,0.03975318576091549,0.03723819390466265,-0.0025149918562528298,-0.00017468423910787107,nan,0.0,True,relative_noninferiority,True,6.987369564314842,0.06527892048452837,0.05849772316487265,-0.006781197319655715,-0.0035069969762074643,nan,0.006527892048452837,True,strict_relative_improvement,False,-0.4627673144443847,0.06460521363087945,0.12948871542661886,0.14195119317767574,False,0.28628658173175503,0.19220252104943825,True,0.0,0.0,True,1.6231883220686763e-08,True,-5.6238927042966385,False
Hopper-v5,mixed,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,288.3562279281911,287.2532955837003,-1.1029323444908172,-19.303371492120952,17.36517977814882,5.767124558563823,False,2.5e-05,0.040918038867280515,0.03955786377514091,-0.001360175092139597,0.0010490650014750506,nan,0.0,True,relative_noninferiority,False,-41.96260005900202,0.06746502999556966,0.06189906183335278,-0.005565968162216876,-0.0019770056293987484,nan,0.006746502999556966,True,strict_relative_improvement,False,-0.7069584598823159,0.06836807659555946,0.12948674722461137,0.13995847520963675,False,0.2939122881099585,0.2001387981492348,True,0.0,0.0,True,1.5105013109465022e-08,True,-41.96260005900202,False
Hopper-v5,ood_chirp,router_s010_ua000_la000,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16,287.25009004031506,283.701338030848,-3.5487520094671314,-22.197216657765008,16.308404276732496,5.7450018008063015,False,2.5e-05,0.0406840248174831,0.03888211246894786,-0.0018019123485352405,0.0004889107925108504,nan,0.0,True,relative_noninferiority,False,-19.556431700434015,0.06869592652078702,0.06193857043280025,-0.006757356087986752,-0.0026297773647232445,nan,0.006869592652078702,True,strict_relative_improvement,False,-0.6171858364953433,0.06845451001490445,0.12284595780143205,0.13275675609295917,False,0.2903997245039728,0.19659230908450545,True,0.0,0.0,True,1.57262119901274e-08,True,-19.556431700434015,False
