environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,lower_action_router_training_schedule,lower_action_router_warmup_fraction,lower_action_router_ramp_fraction,upper_hf_penalty_coef,upper_actor_anchor_coef,lower_actor_anchor_coef,upper_actor_anchor_kl_mean,lower_actor_anchor_kl_mean,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,absolute_return_difference_max,exact_return_pass,RewardTraceSHA256_match,ExecutedActionTraceSHA256_match,LatentPolicyTraceSHA256_match,exact_trace_pass,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,router_reconstruction_rms_max,reconstruction_integrity_pass,function_preserving_pass,upper_transfer_rms_mean,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,standard,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,612.3387782905579,612.3387782905579,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.004601744601761293,0.004409252480007705,-0.00019249212175358763,-0.00014471316302810757,nan,0.00023008723008806467,True,strict_relative_improvement,False,-0.37105087069491266,0.004601744601761293,0.004409252480007705,-0.00019249212175358763,-0.00014447757100466226,nan,0.00023008723008806467,True,strict_relative_improvement,False,-0.372074795505321,0.004601744601761293,0.08232330336369695,0.08798718596474081,True,0.46112858199276924,0.3232284810061922,True,0.0,0.0,True,1.4670432650856843e-08,0.0,True,True,0.0015074670257611263,-0.372074795505321,False
HalfCheetah-v5,low_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,527.0652536400744,527.0652536400744,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.005635590740113458,0.005396736342891605,-0.0002388543972218521,-0.00016343358868596176,nan,0.0002817795370056729,True,strict_relative_improvement,False,-0.4199948285007245,0.005635590740113458,0.005396736342891605,-0.0002388543972218521,-0.0001628114852053329,nan,0.0002817795370056729,True,strict_relative_improvement,False,-0.4222025952081286,0.005635590740113458,0.08009867027129902,0.08555223527311089,True,0.4571611586271188,0.31923348216641667,True,0.0,0.0,True,1.4570411225354707e-08,0.0,True,True,0.001622752363605995,-0.4222025952081286,False
HalfCheetah-v5,high_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,533.317394584012,533.317394584012,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.004560247182357969,0.004375030932762822,-0.00018521624959514616,-0.00014537952482109655,nan,0.00022801235911789846,True,strict_relative_improvement,False,-0.3624050670607505,0.004560247182357969,0.004375030932762822,-0.00018521624959514616,-0.00014579680516704077,nan,0.00022801235911789846,True,strict_relative_improvement,False,-0.3605749893072526,0.004560247182357969,0.07961777622945859,0.08425486416707352,True,0.4615650355139064,0.32384853969325395,True,0.0,0.0,True,1.4585548592566309e-08,0.0,True,True,0.0015091256663315625,-0.3624050670607505,False
HalfCheetah-v5,mixed,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,518.0166855466032,518.0166855466032,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.005469924830756864,0.005241427551850507,-0.0002284972789063568,-0.00016100126780862169,nan,0.0002734962415378432,True,strict_relative_improvement,False,-0.4113218269350724,0.005469924830756864,0.005241427551850507,-0.0002284972789063568,-0.00016095799727923306,nan,0.0002734962415378432,True,strict_relative_improvement,False,-0.41148003945435724,0.005469924830756864,0.07821384498234503,0.08278490945305168,True,0.4594659575857875,0.32150713215993215,True,0.0,0.0,True,1.4678385696535724e-08,0.0,True,True,0.0016262399486633417,-0.41148003945435724,False
HalfCheetah-v5,ood_chirp,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,531.245885585688,531.245885585688,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.0052914964126223605,0.005069870572425366,-0.0002216258401969942,-0.0001550298567450849,nan,0.000264574820631118,True,strict_relative_improvement,False,-0.4140415313321353,0.0052914964126223605,0.005069870572425366,-0.0002216258401969942,-0.00015580343180455233,nan,0.000264574820631118,True,strict_relative_improvement,False,-0.4111176890041989,0.0052914964126223605,0.08168569310974255,0.08747484390876728,True,0.4588537235933037,0.32105907642960135,True,0.0,0.0,True,1.4694487482070737e-08,0.0,True,True,0.0015945183219080688,-0.4140415313321353,False
Hopper-v5,standard,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,232.6581306017361,232.6581306017361,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.0730148852830654,0.07111048395704601,-0.0019044013260193992,-0.0016580926418550675,nan,0.0036507442641532705,True,strict_relative_improvement,False,-0.5458206541236231,0.0730148852830654,0.07111048395704601,-0.0019044013260193992,-0.0016529642679081276,nan,0.0036507442641532705,True,strict_relative_improvement,False,-0.5472254016424496,0.0730148852830654,0.09647614298343132,0.10944705496966387,False,0.30104302553956064,0.21099621217667727,True,0.0,0.0,True,1.6884123186864273e-08,0.0,True,True,0.004954056227204699,-0.5472254016424496,False
Hopper-v5,low_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,229.2685733175071,229.2685733175071,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.07612395374249739,0.07416035265219471,-0.0019636010903026743,-0.001711013187066688,nan,0.00380619768712487,True,strict_relative_improvement,False,-0.5504665475325967,0.07612395374249739,0.07416035265219471,-0.0019636010903026743,-0.0017078959454656347,nan,0.00380619768712487,True,strict_relative_improvement,False,-0.5512855385197433,0.07612395374249739,0.10067948572706593,0.11214547263789151,False,0.3046618702885963,0.21414133511814912,True,0.0,0.0,True,1.744809629710613e-08,0.0,True,True,0.005013463228514297,-0.5512855385197433,False
Hopper-v5,high_frequency,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,230.76035561303038,230.76035561303038,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.07323571110967171,0.07132562856130024,-0.0019100825483714698,-0.001662009933263469,nan,0.0036617855554835856,True,strict_relative_improvement,False,-0.5461203535595958,0.07323571110967171,0.07132562856130024,-0.0019100825483714698,-0.0016628285811108791,nan,0.0036617855554835856,True,strict_relative_improvement,False,-0.5458967883521291,0.07323571110967171,0.0966080722802421,0.10879378569947483,False,0.3033105808547437,0.21283252163989907,True,0.0,0.0,True,1.6999905237073957e-08,0.0,True,True,0.004958485360420534,-0.5461203535595958,False
Hopper-v5,mixed,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,226.90426657508968,226.90426657508968,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.07667170908262216,0.07469319797547709,-0.001978511107145073,-0.0017293610460856672,nan,0.003833585454131108,True,strict_relative_improvement,False,-0.5488920054665558,0.07667170908262216,0.07469319797547709,-0.001978511107145073,-0.001724909808304804,nan,0.003833585454131108,True,strict_relative_improvement,False,-0.5500531215637766,0.07667170908262216,0.09935838388415988,0.11016898368970969,False,0.3073208015473513,0.21626359284467708,True,0.0,0.0,True,1.7168438700702896e-08,0.0,True,True,0.005032755288542209,-0.5500531215637766,False
Hopper-v5,ood_chirp,conservative_s0025,disabled,0.0,0.0,causal_ema_conservative_transfer,0.04,0.025,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,232.51647779194664,232.51647779194664,0.0,0.0,0.0,0.0,True,True,True,True,True,0.0,True,2.5e-05,0.07668403766597552,0.07468986101080219,-0.0019941766551733256,-0.001739514704792381,nan,0.0038342018832987763,True,strict_relative_improvement,False,-0.5463163501198376,0.07668403766597552,0.07468986101080219,-0.0019941766551733256,-0.0017432316008134095,nan,0.0038342018832987763,True,strict_relative_improvement,False,-0.5453469447170552,0.07668403766597552,0.0993274739979931,0.11029899028516069,False,0.3058086752279045,0.21504913414154728,True,0.0,0.0,True,1.7095288026420143e-08,0.0,True,True,0.005056230501858739,-0.5463163501198376,False
