environment,optimizer_seed,calibration_pass,candidate_preflight_pass,candidate_trained_checkpoint_pass,candidate_projection_pass,candidate_replay_pass,candidate_trust_pass,candidate_guard_pass,candidate_selection_pass,candidate_heldout_pass,candidate_selected_iteration,candidate_effective_updates,candidate_selected_frequency_violations,candidate_selected_reward_violations,strict_complete_gate_pass,strict_effective_updates,strict_selected_frequency_violations
HalfCheetah-v5,2182280623,True,False,False,True,True,True,False,False,False,-1,7,20,0,False,2,20
HalfCheetah-v5,4016970853,True,False,False,True,True,False,False,False,False,3,5,12,0,False,1,20
HalfCheetah-v5,2829355830,True,False,False,True,True,True,False,False,False,-1,9,20,0,False,5,20
HalfCheetah-v5,2069740444,True,False,False,True,True,True,False,False,False,-1,1,20,0,False,0,20
HalfCheetah-v5,1282433932,True,False,False,True,True,True,False,False,False,-1,9,20,0,False,2,20
HalfCheetah-v5,975280645,True,False,False,True,True,True,False,False,False,-1,12,20,0,False,0,20
HalfCheetah-v5,2798338935,True,False,False,True,True,True,False,False,False,-1,1,20,0,False,2,20
HalfCheetah-v5,23627913,True,False,False,True,True,False,False,False,False,-1,0,20,0,False,0,20
HalfCheetah-v5,3508173532,True,False,False,True,True,True,False,False,False,-1,2,20,0,False,0,20
HalfCheetah-v5,3799486943,True,False,False,True,True,True,False,False,False,-1,15,20,0,False,2,20
HalfCheetah-v5,4004573542,True,False,False,True,True,True,False,False,False,3,12,10,0,False,3,9
HalfCheetah-v5,1167085633,True,False,False,True,True,True,False,False,False,-1,0,20,0,False,0,20
HalfCheetah-v5,1775539633,True,False,False,True,True,False,False,False,False,-1,2,20,0,False,0,20
HalfCheetah-v5,3810522536,True,False,False,True,True,False,False,False,False,-1,2,20,0,False,0,20
HalfCheetah-v5,1442147348,True,False,False,True,True,True,False,False,False,-1,1,20,0,False,0,20
Hopper-v5,2182280623,True,False,True,True,True,True,True,True,False,11,21,0,0,False,1,14
Hopper-v5,4016970853,False,True,True,True,True,True,True,True,True,19,21,0,0,False,11,1
Hopper-v5,2829355830,True,True,True,True,True,True,True,True,True,19,23,0,0,True,16,0
Hopper-v5,2069740444,True,False,True,True,True,True,False,True,False,7,15,7,0,False,3,20
Hopper-v5,1282433932,True,True,True,True,True,True,True,True,True,7,24,0,0,True,11,0
Hopper-v5,975280645,True,True,True,True,True,True,True,True,True,23,23,0,0,True,14,0
Hopper-v5,2798338935,True,False,True,True,True,True,True,True,False,19,24,0,0,False,10,0
Hopper-v5,23627913,True,True,True,True,True,True,True,True,True,15,23,0,0,False,13,2
Hopper-v5,3508173532,True,True,True,True,True,True,True,True,True,23,21,0,0,False,5,4
Hopper-v5,3799486943,True,True,True,True,True,True,True,True,True,19,23,0,0,False,7,0
Hopper-v5,4004573542,True,False,True,True,True,True,True,True,True,11,20,0,0,False,1,20
Hopper-v5,1167085633,True,False,False,True,True,True,True,True,True,3,24,0,0,True,12,0
Hopper-v5,1775539633,True,False,True,True,True,True,True,True,True,7,22,0,0,True,11,0
Hopper-v5,3810522536,True,False,True,True,True,True,True,True,False,11,23,0,0,True,14,0
Hopper-v5,1442147348,True,False,False,True,True,True,False,False,False,-1,21,20,0,False,6,20
Walker2d-v5,2182280623,False,False,False,True,True,True,False,False,False,-1,7,20,0,False,0,20
Walker2d-v5,4016970853,False,False,True,True,True,True,False,True,False,7,18,4,0,False,4,20
Walker2d-v5,2829355830,False,False,False,True,True,True,False,False,False,-1,19,20,0,False,3,20
Walker2d-v5,2069740444,False,True,True,True,True,True,True,True,True,19,22,0,0,False,11,20
Walker2d-v5,1282433932,True,False,False,True,True,False,False,False,False,-1,8,20,0,False,5,20
Walker2d-v5,975280645,False,False,False,True,True,False,False,False,False,-1,1,20,0,False,0,20
Walker2d-v5,2798338935,False,False,False,True,True,False,False,False,False,-1,3,20,0,False,12,20
Walker2d-v5,23627913,True,False,False,True,True,False,False,False,False,-1,4,20,0,False,1,20
Walker2d-v5,3508173532,True,False,False,True,True,False,False,False,False,-1,8,20,0,False,12,9
Walker2d-v5,3799486943,False,False,False,True,True,True,False,False,False,-1,13,20,0,False,4,20
Walker2d-v5,4004573542,False,False,True,True,True,True,True,True,False,19,18,0,0,False,5,4
Walker2d-v5,1167085633,True,False,True,True,True,True,True,False,False,19,11,0,0,False,0,20
Walker2d-v5,1775539633,True,False,False,True,True,True,False,False,False,-1,18,20,0,False,7,20
Walker2d-v5,3810522536,True,False,False,True,True,False,False,False,False,-1,3,20,0,False,0,20
Walker2d-v5,1442147348,False,False,True,True,True,False,False,True,False,11,8,6,0,False,10,8
