environment,optimizer_seed,arm,normalized_episode_return,LowerLFDriftAbs,RawLowerLFDriftAbs,LatentLowerLFDriftAbs,UpperHFPowerAbs,LatentUpperHFPowerAbs,endpoint_pass_count,complete_effect_gate,engineering_pass,engineering_checks,selected_checkpoint_iteration,selected_reward_violation_count,selected_frequency_violation_count,closed_loop_effective_update_count,restoration_reward_actor_frozen,pathwise_robust,anchor_replay_path_count
HalfCheetah-v5,3493980176,worst_mode_trainreplay,0.5723094175308031,0.09651339011620391,0.09651339011620391,0.11747435922170872,0.1308686746960988,0.1347312872262877,6,True,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": true}",27,0,2,11,False,False,4
HalfCheetah-v5,3493980176,l2_mode_trainreplay,0.4997839746756562,0.030723140292730433,0.030723140292730433,0.04723502570399703,0.1419661674535136,0.15008845707539334,3,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": true}",31,0,3,3,False,False,4
HalfCheetah-v5,3493980176,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,False,True,4
HalfCheetah-v5,3493980176,l2_path_freeze_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,True,True,4
HalfCheetah-v5,3493980176,l2_path_freeze_crossreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,True,True,16
HalfCheetah-v5,4020259488,worst_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,0,False,False,4
HalfCheetah-v5,4020259488,l2_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,0,False,False,4
HalfCheetah-v5,4020259488,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,False,True,4
HalfCheetah-v5,4020259488,l2_path_freeze_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,True,True,4
HalfCheetah-v5,4020259488,l2_path_freeze_crossreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,True,True,16
HalfCheetah-v5,583213049,worst_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,23,False,False,4
HalfCheetah-v5,583213049,l2_mode_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": true, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,20,2,False,False,4
HalfCheetah-v5,583213049,l2_path_trainreplay,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,"{""effective_restoration_update"": false, ""protocol_identity"": true, ""selected_frequency_feasible"": false, ""selected_reward_feasible"": true, ""trained_checkpoint_selected"": false}",-1,0,80,0,False,True,4
