environment,optimizer_seed,critic_direction_gate_pass,design_eligible_candidate_count,selected_source,selected_step_rms,selected_router_strength,validation_relative_merit_reduction,validation_reward_violation_count,validation_frequency_violation_count,selected_router_trace_invariant,validation_supported
HalfCheetah-v5,2978317753,True,2,function_preserving_router_adapter,0.0,0.6,0.5885920249694565,0,14,True,True
HalfCheetah-v5,392459795,True,4,function_preserving_router_adapter,0.0,0.6,0.599999999999999,0,8,True,True
HalfCheetah-v5,2303062597,True,4,function_preserving_router_adapter,0.0,0.7,0.5665535426374774,0,10,True,True
HalfCheetah-v5,422427492,True,3,function_preserving_router_adapter,0.0,0.6,0.6000000000000004,0,8,True,True
HalfCheetah-v5,348909203,True,3,function_preserving_router_adapter,0.0,0.6,0.5598485970467869,0,12,True,True
HalfCheetah-v5,1155514759,True,1,function_preserving_router_adapter,0.0,0.6,0.40791448585937035,0,12,True,True
HalfCheetah-v5,1693716559,True,1,function_preserving_router_adapter,0.0,0.6,0.3803855927017945,0,16,True,True
HalfCheetah-v5,981850268,True,3,function_preserving_router_adapter,0.0,0.6,0.5460989451982654,0,14,True,True
HalfCheetah-v5,4097799577,True,3,function_preserving_router_adapter,0.0,0.6,0.5799434500679634,0,14,True,True
HalfCheetah-v5,872933768,False,5,function_preserving_router_adapter,0.0,0.6,0.6000000000000003,0,8,True,True
HalfCheetah-v5,1553837587,True,3,function_preserving_router_adapter,0.0,0.7,0.5971283948066841,0,10,True,True
HalfCheetah-v5,3230217838,True,5,function_preserving_router_adapter,0.0,0.7,0.6000000000000003,0,8,True,True
HalfCheetah-v5,2518107,True,4,function_preserving_router_adapter,0.0,0.7,0.5995998131802284,0,9,True,True
HalfCheetah-v5,3022864709,True,5,function_preserving_router_adapter,0.0,0.6,0.6000000000000002,0,8,True,True
HalfCheetah-v5,3592646921,True,2,function_preserving_router_adapter,0.0,0.6,0.5428768635878845,0,12,True,True
HalfCheetah-v5,821573137,False,5,function_preserving_router_adapter,0.0,0.6,0.5999999999999998,0,8,True,True
Hopper-v5,2978317753,True,8,function_preserving_router_adapter,0.0,0.7,0.6000000000000001,0,8,True,True
Hopper-v5,392459795,True,7,function_preserving_router_adapter,0.0,0.6,0.4904898306399588,0,12,True,True
Hopper-v5,2303062597,True,8,function_preserving_router_adapter,0.0,0.6,0.6000000000000005,0,8,True,True
Hopper-v5,422427492,True,9,function_preserving_router_adapter,0.0,0.6,0.5999999159329996,0,9,True,True
Hopper-v5,348909203,True,8,function_preserving_router_adapter,0.0,0.7,0.5941814699166554,0,12,True,True
Hopper-v5,1155514759,True,6,function_preserving_router_adapter,0.0,0.6,0.532760906542292,0,12,True,True
Hopper-v5,1693716559,True,5,function_preserving_router_adapter,0.0,0.6,0.3370396120262216,0,20,True,True
Hopper-v5,981850268,True,9,function_preserving_router_adapter,0.0,0.6,0.6000000000000003,0,8,True,True
Hopper-v5,4097799577,True,9,function_preserving_router_adapter,0.0,0.7,0.5999999999999993,0,8,True,True
Hopper-v5,872933768,True,8,function_preserving_router_adapter,0.0,0.7,0.5982972628979407,0,12,True,True
Hopper-v5,1553837587,True,6,function_preserving_router_adapter,0.0,0.6,0.5382893284360338,0,12,True,True
Hopper-v5,3230217838,True,9,function_preserving_router_adapter,0.0,0.7,0.6000000000000002,0,8,True,True
Hopper-v5,2518107,True,8,function_preserving_router_adapter,0.0,0.7,0.5948646210458135,0,12,True,True
Hopper-v5,3022864709,True,9,function_preserving_router_adapter,0.0,0.6,0.6000000000000005,0,8,True,True
Hopper-v5,3592646921,True,6,function_preserving_router_adapter,0.0,0.6,0.5330558586669873,0,12,True,True
Hopper-v5,821573137,True,7,function_preserving_router_adapter,0.0,0.7,0.6000000000000002,0,8,True,True
Walker2d-v5,2978317753,True,0,,,,,,,,False
Walker2d-v5,392459795,True,2,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.05421620166547808,0,20,,True
Walker2d-v5,2303062597,True,5,function_preserving_router_adapter,0.0,0.6,0.31080552688809293,0,12,True,True
Walker2d-v5,422427492,True,2,function_preserving_router_adapter,0.0,0.6,0.16565247650998044,0,12,True,True
Walker2d-v5,348909203,True,3,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.04847851752626665,0,20,,True
Walker2d-v5,1155514759,True,1,paired_finite_difference:orthogonal_least_squares,1e-05,0.5,0.0025764084755506692,0,20,,True
Walker2d-v5,1693716559,True,1,function_preserving_router_adapter,0.0,0.6,0.2959733198146202,0,12,True,True
Walker2d-v5,981850268,True,4,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.04091189634940668,0,20,,True
Walker2d-v5,4097799577,True,1,paired_finite_difference:orthogonal_least_squares,1e-06,0.5,0.0005306844853388458,0,20,,True
Walker2d-v5,872933768,True,3,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.03317744165509132,0,20,,True
Walker2d-v5,1553837587,True,3,function_preserving_router_adapter,0.0,0.6,0.26721248628381755,0,12,True,True
Walker2d-v5,3230217838,True,4,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.03388850238950965,0,20,,True
Walker2d-v5,2518107,True,2,function_preserving_router_adapter,0.0,0.6,0.3550920942184215,0,12,True,True
Walker2d-v5,3022864709,True,4,function_preserving_router_adapter,0.0,0.6,0.43536434069749075,0,12,True,True
Walker2d-v5,3592646921,True,3,paired_finite_difference:orthogonal_least_squares,0.0001,0.5,0.021936158064433685,0,20,,True
Walker2d-v5,821573137,True,2,paired_finite_difference:orthogonal_least_squares,1e-05,0.5,0.008451117863041738,0,20,,True
