domain,check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,status,source_path
trading_synthetic,adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,5,-2.987577603132134,-3.3999246071446323,-2.454947793237687,-2.987577603132134,-3.4324304246272215,-2.454947793237687,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,5,-0.035848383566680034,-0.047252929171486005,-0.0255974456842611,-0.035848383566680034,-0.047776707893925255,-0.025584351216200188,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,5,0.017179383678002026,0.011986695293123462,0.02323507131386231,-0.017179383678002026,-0.023169014951883077,-0.011930154001932057,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,adaptive_wavelet_vs_ema_LowerLFDrift,LowerLFDrift,adaptive_wavelet,ema,decrease,5,-0.11299575219284272,-0.1432131676294301,-0.08800116245006415,0.11299575219284272,0.08800116245006415,0.14168418947556102,1.0,supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,adaptive_wavelet_vs_ema_FocusScore,FocusScore,adaptive_wavelet,ema,increase,5,-0.24440346354093528,-0.3453488371592762,-0.14345808992259432,-0.24440346354093528,-0.3453488371592762,-0.14345808992259432,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,haar_wavelet_vs_ema_sharpe,sharpe,haar_wavelet,ema,increase,5,-3.350870929465658,-4.167801865962175,-2.53393999296914,-3.350870929465658,-4.167801865962176,-2.53393999296914,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,haar_wavelet_vs_ema_total_return,total_return,haar_wavelet,ema,increase,5,-0.045785578688505704,-0.05968209429598761,-0.031889063081023794,-0.045785578688505704,-0.05968209429598761,-0.03187717345171899,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,haar_wavelet_vs_ema_max_drawdown,max_drawdown,haar_wavelet,ema,decrease,5,0.014476207133751662,0.009857024059306396,0.02001596570846198,-0.014476207133751662,-0.02001596570846198,-0.009857024059306396,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,haar_wavelet_vs_ema_LowerLFDrift,LowerLFDrift,haar_wavelet,ema,decrease,5,-0.9222382852910205,-1.0407337099096978,-0.8162071673705521,0.9222382852910205,0.8184818674384473,1.0430084099775931,1.0,supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,haar_wavelet_vs_ema_FocusScore,FocusScore,haar_wavelet,ema,increase,5,-0.2753670765496784,-0.32632610934097966,-0.23248192152670016,-0.2753670765496784,-0.32632610934097966,-0.23248192152670016,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,5,-7.1318706596116,-8.408766068435584,-5.874330165832124,-7.1318706596116,-8.408766068435582,-5.888922972447162,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,state_space_vs_ema_total_return,total_return,state_space,ema,increase,5,-0.08266615786323879,-0.10212888308942918,-0.06320343263704839,-0.08266615786323879,-0.10212888308942918,-0.06320343263704839,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,5,0.04019071561922558,0.033395175033546165,0.04772633969574684,-0.04019071561922558,-0.04721076671700904,-0.0337715456803224,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,state_space_vs_ema_LowerLFDrift,LowerLFDrift,state_space,ema,decrease,5,-1.498094842928284,-1.5486236182321143,-1.4433386618563362,1.498094842928284,1.446739194864763,1.5486236182321143,1.0,supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic,state_space_vs_ema_FocusScore,FocusScore,state_space,ema,increase,5,-0.18332829624868408,-0.21203951451071906,-0.1533441297041953,-0.18332829624868408,-0.21006404354503588,-0.15195720716906344,0.0,not_supported,transit_hrl/results/trading_encoder_ablation_adaptive/summary.json
trading_synthetic_neural,adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,2,0.03355315677355808,0.0210130288132353,0.04609328473388086,0.03355315677355808,0.0210130288132353,0.04609328473388086,1.0,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,2,0.0002735329346590376,-0.0003386192244003716,0.0008856850937184468,0.0002735329346590376,-0.0003386192244003716,0.0008856850937184468,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,2,-3.023533001300649e-06,-4.934861779637423e-05,4.330155179377293e-05,3.023533001300649e-06,-4.330155179377293e-05,4.934861779637423e-05,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,adaptive_wavelet_vs_ema_LowerLFDrift,LowerLFDrift,adaptive_wavelet,ema,decrease,2,-0.061034623250892595,-0.07447772355891491,-0.04759152294287028,0.061034623250892595,0.04759152294287028,0.07447772355891491,1.0,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,adaptive_wavelet_vs_ema_FocusScore,FocusScore,adaptive_wavelet,ema,increase,2,-0.05765420907666227,-0.1954001886180426,0.08009177046471805,-0.05765420907666227,-0.1954001886180426,0.08009177046471805,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,2,0.033561079576153396,0.030098242109128925,0.03702391704317787,0.033561079576153396,0.030098242109128925,0.03702391704317787,1.0,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,2,0.0003550518320825091,-0.00038830571621906174,0.00109840938038408,0.0003550518320825091,-0.00038830571621906174,0.00109840938038408,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,2,2.2000954613743406e-05,-4.02367704729345e-05,8.423867970042132e-05,-2.2000954613743406e-05,-8.423867970042132e-05,4.02367704729345e-05,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,neural_state_space_vs_ema_LowerLFDrift,LowerLFDrift,neural_state_space,ema,decrease,2,-0.07015510167693417,-0.08718386904744935,-0.053126334306419,0.07015510167693417,0.053126334306419,0.08718386904744935,1.0,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
trading_synthetic_neural,neural_state_space_vs_ema_FocusScore,FocusScore,neural_state_space,ema,increase,2,0.010061746221653373,-0.06414968459495463,0.08427317703826137,0.010061746221653373,-0.06414968459495463,0.08427317703826137,0.5,underpowered,transit_hrl/results/trading_encoder_ablation_neural/summary.json
public_market_daily,state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,1,-0.3400688444674813,-0.3400688444674813,-0.3400688444674813,-0.3400688444674813,-0.3400688444674813,-0.3400688444674813,0.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,state_space_vs_ema_total_return,total_return,state_space,ema,increase,1,-0.41710460450749764,-0.41710460450749764,-0.41710460450749764,-0.41710460450749764,-0.41710460450749764,-0.41710460450749764,0.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,1,-0.014989563941915307,-0.014989563941915307,-0.014989563941915307,0.014989563941915307,0.014989563941915307,0.014989563941915307,1.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,state_space_vs_ema_turnover,turnover,state_space,ema,decrease,1,247.72216033089632,247.72216033089632,247.72216033089632,-247.72216033089632,-247.72216033089632,-247.72216033089632,0.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,haar_wavelet_vs_ema_sharpe,sharpe,haar_wavelet,ema,increase,1,0.18972463991387262,0.18972463991387262,0.18972463991387262,0.18972463991387262,0.18972463991387262,0.18972463991387262,1.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,haar_wavelet_vs_ema_total_return,total_return,haar_wavelet,ema,increase,1,0.3709664839697995,0.3709664839697995,0.3709664839697995,0.3709664839697995,0.3709664839697995,0.3709664839697995,1.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,haar_wavelet_vs_ema_max_drawdown,max_drawdown,haar_wavelet,ema,decrease,1,0.02917401005057285,0.02917401005057285,0.02917401005057285,-0.02917401005057285,-0.02917401005057285,-0.02917401005057285,0.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_daily,haar_wavelet_vs_ema_turnover,turnover,haar_wavelet,ema,decrease,1,-71.12402320432088,-71.12402320432088,-71.12402320432088,71.12402320432088,71.12402320432088,71.12402320432088,1.0,summary_only,transit_hrl/results/trading_public_market_encoder_ablation/summary.json
public_market_intraday,state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,1,-13.128172644307282,-13.128172644307282,-13.128172644307282,-13.128172644307282,-13.128172644307282,-13.128172644307282,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,state_space_vs_ema_total_return,total_return,state_space,ema,increase,1,-0.032783173126504805,-0.032783173126504805,-0.032783173126504805,-0.032783173126504805,-0.032783173126504805,-0.032783173126504805,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,1,0.032783173126504805,0.032783173126504805,0.032783173126504805,-0.032783173126504805,-0.032783173126504805,-0.032783173126504805,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,state_space_vs_ema_turnover,turnover,state_space,ema,decrease,1,32.21797466802316,32.21797466802316,32.21797466802316,-32.21797466802316,-32.21797466802316,-32.21797466802316,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
