check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
transit_full_reward_vs_base,integrated Transit Freq-HRL improves task reward,supported,reward_mean,full_freqhrl,base_ema_direct,increase,3,0.0564648403113918,0.04848341915777432,0.06080840183590652,0.0564648403113918,0.04848341915777432,0.06080840183590652,,1.0,0.25
transit_full_wait_vs_base,integrated Transit Freq-HRL lowers passenger wait proxy,supported,wait_proxy,full_freqhrl,base_ema_direct,decrease,3,-0.07576636031861295,-0.08145783113171134,-0.0651045149148004,0.07576636031861295,0.0651045149148004,0.08145783113171134,,1.0,0.25
transit_full_lower_lf_vs_base,integrated Transit Freq-HRL reduces lower low-frequency drift,supported,RawLowerLFDriftAbs,full_freqhrl,base_ema_direct,decrease,3,-0.019869233696650623,-0.019929650820731407,-0.019750900455039796,0.019869233696650623,0.019750900455039796,0.019929650820731407,,1.0,0.25
transit_wait_credit_vs_no_wait,frequency-attributed wait credit improves wait proxy,supported,wait_proxy,full_freqhrl,full_no_wait,decrease,3,-0.1250987727771958,-0.14678289126867217,-0.10198934755207123,0.1250987727771958,0.10198934755207123,0.14678289126867217,,1.0,0.25
transit_learned_promotion_reward_vs_interval,learned promotion gate improves Transit reward after persistent shocks,supported,reward_mean,learned_gate,interval_only,increase,10,0.004653848073200795,0.0016189522844217929,0.007562367055446361,0.004653848073200795,0.0018948725265907362,0.007480071818040604,,0.7,0.34375
transit_learned_promotion_wait_vs_interval,learned promotion gate lowers Transit wait after persistent shocks,supported,wait_proxy,learned_gate,interval_only,decrease,10,-0.00786163493657197,-0.009634420896740811,-0.006195855116323389,0.00786163493657197,0.006355749720244377,0.009645134594436456,,1.0,0.001953125
transit_learned_promotion_replans_vs_interval,learned promotion gate increases shock-triggered replans,supported,promotion_replan_count,learned_gate,interval_only,increase,10,20.1,14.9,25.5,20.1,15.2,25.5,,1.0,0.001953125
transit_learned_promotion_raw_lf_vs_interval,learned promotion gate does not increase lower LF drift,supported,RawLowerLFDriftAbs,learned_gate,interval_only,decrease,10,-0.00027577265937969286,-0.00029593533384446796,-0.0002540575532143807,0.00027577265937969286,0.00025448565436201183,0.000296624643108806,,1.0,0.001953125
transit_native_promotion_reward_vs_interval,native promotion replanning improves Transit episode reward,not_supported,ep_reward,native_promotion_replan,interval_only,increase,76,-2.3508421052633164,-38.77076578947401,28.56892598684182,-2.3508421052633164,-36.22011940789486,28.661710197368155,,0.4605263157894737,0.5665734423986847
transit_native_promotion_wait_vs_interval,native promotion replanning lowers Transit wait,not_supported,avg_wait_min,native_promotion_replan,interval_only,decrease,76,0.022263157894736863,-0.08046644736842107,0.15530756578947358,-0.022263157894736863,-0.15270460526315796,0.08451447368421046,,0.35526315789473684,1.0
