timestamp,ask_price_1,ask_size_1,bid_price_1,bid_size_1
34200.004241176,585.94,200.0,585.33,18.0
34200.025551909,585.91,18.0,585.33,18.0
34200.201743336,585.92,18.0,585.33,18.0
34200.201780978,585.93,100.0,585.33,18.0
34200.205573445,585.93,100.0,585.36,18.0
34200.271739507,585.93,100.0,585.73,20.0
34200.271739507,585.74,40.0,585.73,20.0
34200.275016159,585.75,82.0,585.73,20.0
34200.275016159,585.75,57.0,585.73,20.0
34200.275057494,585.75,57.0,585.73,19.0
34200.275063291,585.75,57.0,585.73,9.0
34200.275072491,585.75,32.0,585.73,9.0
34200.275072491,585.75,27.0,585.73,9.0
34200.275072491,585.75,20.0,585.73,9.0
34200.275072491,585.78,45.0,585.73,9.0
34200.275072491,585.78,20.0,585.73,9.0
34200.275072491,585.8,4.0,585.73,9.0
34200.275072491,585.8,4.0,585.73,9.0
34200.275072491,585.82,5.0,585.73,9.0
34200.275072491,585.83,7.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,100.0,585.73,9.0
34200.275072491,585.93,63.0,585.73,9.0
34200.275123235,585.93,63.0,585.74,50.0
34200.28039589,585.93,63.0,585.77,18.0
34200.347390612,585.93,163.0,585.77,18.0
34200.358687488,585.93,159.0,585.77,18.0
34200.417746832,585.93,159.0,585.73,9.0
34200.417746832,585.93,159.0,585.7,150.0
34200.417746832,585.93,159.0,585.7,150.0
34200.418943908,585.93,159.0,585.7,150.0
34200.418943908,585.93,159.0,585.7,127.0
34200.419089711,585.92,18.0,585.7,127.0
34200.459503459,585.92,18.0,585.7,27.0
34200.610751386,585.93,59.0,585.7,27.0
34200.701389248,585.87,100.0,585.7,27.0
34200.763059946,585.87,100.0,585.7,26.0
34200.833761339,585.87,100.0,585.7,126.0
34200.834524603,585.87,100.0,585.7,26.0
34200.887406162,585.87,100.0,585.7,26.0
34200.887488522,585.87,100.0,585.7,44.0
34200.887548747,585.87,100.0,585.71,18.0
34200.911977878,585.87,100.0,585.74,100.0
34201.00965512,585.87,100.0,585.74,100.0
34201.00965512,585.87,100.0,585.74,100.0
34201.011352575,585.87,100.0,585.7,26.0
34201.014980201,585.87,100.0,585.69,20.0
34201.015080514,585.87,100.0,585.65,5.0
34201.015180053,585.87,100.0,585.66,18.0
34201.043832887,585.87,100.0,585.69,18.0
34201.171271698,585.87,100.0,585.65,5.0
34201.17297637,585.87,100.0,585.64,20.0
34201.17297637,585.87,100.0,585.6,3.0
34201.17297637,585.87,100.0,585.59,15.0
34201.17297637,585.87,100.0,585.55,1.0
34201.17297637,585.87,100.0,585.5,39.0
34201.17297637,585.87,100.0,585.5,30.0
34201.17297637,585.87,100.0,585.5,25.0
34201.17297637,585.87,100.0,585.47,100.0
34201.17297637,585.87,100.0,585.47,100.0
34201.173094452,585.87,118.0,585.47,100.0
34201.1731408,585.86,5.0,585.47,100.0
34201.173141799,585.86,18.0,585.47,100.0
34201.173174928,585.86,18.0,585.48,18.0
34201.17320583,585.84,18.0,585.48,18.0
34201.183611554,585.84,18.0,585.48,18.0
34201.183713008,585.84,18.0,585.49,15.0
34201.188030854,585.84,18.0,585.49,15.0
34201.188124042,585.83,15.0,585.49,15.0
34201.384238778,585.83,15.0,585.44,167.0
34201.39750588,585.8,100.0,585.44,167.0
34201.536315252,585.77,18.0,585.44,167.0
34201.732217592,585.77,18.0,585.47,18.0
34201.73236517,585.78,18.0,585.47,18.0
34201.732368385,585.8,118.0,585.47,18.0
34201.732392812,585.8,100.0,585.47,18.0
34201.840762287,585.77,18.0,585.47,18.0
34202.030342281,585.77,18.0,585.46,5.0
34202.030342281,585.77,18.0,585.44,167.0
34202.030342281,585.77,18.0,585.44,167.0
34202.030451996,585.76,13.0,585.44,167.0
34202.034349986,585.73,18.0,585.44,167.0
34202.179737249,585.73,18.0,585.44,167.0
34202.255253777,585.73,18.0,585.44,167.0
34202.255253777,585.73,18.0,585.44,167.0
34202.255342116,585.73,36.0,585.44,167.0
34202.25538437,585.72,10.0,585.44,167.0
34202.255391393,585.72,18.0,585.44,167.0
34202.255445644,585.72,36.0,585.44,167.0
34202.269697512,585.72,36.0,585.44,267.0
34202.272992647,585.72,36.0,585.44,167.0
34202.383613299,585.72,28.0,585.44,167.0
34202.383614811,585.72,10.0,585.44,167.0
34202.383643886,585.8,100.0,585.44,167.0
34202.491574399,585.8,100.0,585.69,100.0
34202.491899451,585.8,100.0,585.44,167.0
34202.565551981,585.77,18.0,585.44,167.0
34202.579213337,585.77,18.0,585.47,100.0
34202.682315289,585.74,18.0,585.47,100.0
34202.682720418,585.71,18.0,585.47,100.0
