timestamp,ask_price_1,ask_size_1,bid_price_1,bid_size_1
34200.017459617,223.95,100.0,223.18,100.0
34200.18960767,223.95,100.0,223.81,21.0
34200.190226476,223.95,100.0,223.75,100.0
34200.190226476,223.95,100.0,223.75,74.0
34200.372779672,223.95,100.0,223.75,74.0
34200.375671205,223.95,100.0,223.75,74.0
34200.383971366,223.95,100.0,223.75,74.0
34200.38581571,223.95,100.0,223.75,74.0
34200.387205153,223.95,100.0,223.75,74.0
34200.388463172,223.95,100.0,223.75,74.0
34200.39141294,223.96,306.0,223.75,74.0
34200.39141294,223.96,286.0,223.75,74.0
34200.39141294,223.99,100.0,223.75,74.0
34200.393480733,224.0,1451.0,223.75,74.0
34200.394405007,223.99,100.0,223.75,74.0
34200.398456977,223.99,100.0,223.75,74.0
34200.398595993,223.99,100.0,223.75,74.0
34200.400328982,223.99,100.0,223.75,74.0
34200.401529352,223.99,100.0,223.75,74.0
34200.401529352,223.99,10.0,223.75,74.0
34200.401923745,223.99,60.0,223.75,74.0
34200.403006021,223.99,50.0,223.75,74.0
34200.403006021,224.0,1451.0,223.75,74.0
34200.403006021,224.0,1438.0,223.75,74.0
34200.403006021,224.0,1411.0,223.75,74.0
34200.407876509,224.0,1338.0,223.75,74.0
34200.407876509,224.0,1318.0,223.75,74.0
34200.407876509,224.0,1314.0,223.75,74.0
34200.407876509,224.0,1311.0,223.75,74.0
34200.411052662,224.0,1304.0,223.75,74.0
34200.411052662,224.0,1254.0,223.75,74.0
34200.411052662,224.0,1211.0,223.75,74.0
34200.412063728,224.0,1154.0,223.75,74.0
34200.412063728,224.0,1148.0,223.75,74.0
34200.412063728,224.0,1125.0,223.75,74.0
34200.412063728,224.0,1119.0,223.75,74.0
34200.412063728,224.0,1065.0,223.75,74.0
34200.412063728,224.0,1011.0,223.75,74.0
34200.417197959,224.0,996.0,223.75,74.0
34200.417197959,224.0,920.0,223.75,74.0
34200.417197959,224.0,900.0,223.75,74.0
34200.417197959,224.0,885.0,223.75,74.0
34200.417197959,224.0,875.0,223.75,74.0
34200.417197959,224.0,850.0,223.75,74.0
34200.417197959,224.0,750.0,223.75,74.0
34200.417197959,224.0,700.0,223.75,74.0
34200.417197959,224.0,517.0,223.75,74.0
34200.419808842,224.0,417.0,223.75,74.0
34200.53842474,224.0,217.0,223.75,74.0
34200.553743035,224.0,217.0,223.75,74.0
34200.567936862,224.0,200.0,223.75,74.0
34200.567936862,224.0,100.0,223.75,74.0
34200.567936862,224.24,20.0,223.75,74.0
34200.567936862,224.24,20.0,223.75,74.0
34200.568240371,224.0,100.0,223.75,74.0
34200.570408833,224.24,20.0,223.75,74.0
34200.570408833,224.24,20.0,223.75,74.0
34200.570408833,224.24,20.0,223.75,74.0
34200.570714327,224.0,100.0,223.75,74.0
34200.574028141,224.24,20.0,223.75,74.0
34200.574401291,224.0,100.0,223.75,74.0
34200.631353841,223.95,100.0,223.75,74.0
34200.771525998,224.0,100.0,223.75,74.0
34200.771912718,223.95,75.0,223.75,74.0
34200.873785004,223.95,75.0,223.84,100.0
34200.874913031,223.95,75.0,223.75,74.0
34200.881781052,223.95,75.0,223.84,100.0
34200.891497671,223.95,60.0,223.84,100.0
34201.290951337,223.86,100.0,223.84,100.0
34201.291410923,223.95,60.0,223.84,100.0
34201.371436281,224.0,100.0,223.84,100.0
34201.395343299,224.24,20.0,223.84,100.0
34201.395343299,224.24,20.0,223.84,100.0
34202.012069923,224.24,20.0,223.84,100.0
34202.012780077,224.24,20.0,223.84,100.0
34202.028280054,224.24,20.0,223.84,100.0
34202.279048607,224.24,20.0,223.79,100.0
34202.279048607,224.24,20.0,223.89,100.0
34203.87899164,224.2,100.0,223.89,100.0
34204.256047385,224.2,100.0,223.89,100.0
34204.354928214,224.24,20.0,223.89,100.0
34204.354928214,224.16,100.0,223.89,100.0
34204.414467151,224.16,100.0,223.89,100.0
34204.476700094,224.24,20.0,223.89,100.0
34204.476700094,224.13,100.0,223.89,100.0
34204.572760266,224.13,100.0,223.89,100.0
34204.652306988,224.1,1100.0,223.89,100.0
34204.763922789,224.1,1200.0,223.89,100.0
34205.104260912,224.1,1100.0,223.89,100.0
34205.104260912,224.08,100.0,223.89,100.0
34205.104818539,224.08,320.0,223.89,100.0
34205.105828981,224.08,100.0,223.89,100.0
34205.107097083,224.08,320.0,223.89,100.0
34205.108103666,224.08,100.0,223.89,100.0
34205.109400899,224.08,320.0,223.89,100.0
34205.109754612,224.08,475.0,223.89,100.0
34205.110466704,224.08,255.0,223.89,100.0
34205.162100797,224.07,100.0,223.89,100.0
34205.197780635,224.07,100.0,223.89,200.0
34205.304295214,224.07,100.0,223.89,200.0
34205.513948001,224.05,100.0,223.89,200.0
34205.621655175,224.05,100.0,223.89,200.0
34205.621745869,224.05,100.0,223.89,200.0
34205.621745869,224.05,100.0,223.89,200.0
34205.888223563,224.07,100.0,223.89,200.0
34205.888223563,224.03,100.0,223.89,200.0
34205.919446318,224.02,100.0,223.89,200.0
34206.151537755,224.02,200.0,223.89,200.0
34206.555393547,224.02,200.0,223.89,300.0
34207.02465637,224.02,200.0,223.89,300.0
34207.02465637,224.02,200.0,223.89,300.0
34207.02465637,224.02,200.0,223.89,300.0
34207.232535255,224.02,200.0,223.89,200.0
34207.232650402,224.02,200.0,223.89,200.0
34207.232650402,224.02,200.0,223.89,200.0
34207.232650402,224.02,200.0,223.89,187.0
34207.272071021,224.02,200.0,223.89,100.0
34207.272071021,224.02,200.0,223.9,87.0
34207.312164392,224.02,200.0,223.89,100.0
34207.312164392,224.02,200.0,223.91,87.0
34207.319504351,224.02,129.0,223.91,87.0
34207.35959249,224.02,100.0,223.91,87.0
34207.35959249,224.02,29.0,223.91,87.0
34207.409684709,224.02,29.0,223.89,100.0
34207.409684709,224.02,29.0,223.92,87.0
34207.71831102,224.07,100.0,223.92,87.0
34207.71831102,224.07,129.0,223.92,87.0
34208.996027789,224.07,129.0,223.92,164.0
34209.339457717,224.07,129.0,223.92,264.0
34209.709730284,224.07,100.0,223.92,264.0
34209.709730284,224.06,29.0,223.92,264.0
34209.76667599,224.07,100.0,223.92,264.0
34209.76667599,224.07,129.0,223.92,264.0
34209.787331886,224.07,100.0,223.92,264.0
34209.787331886,224.05,29.0,223.92,264.0
34210.206486354,224.05,29.0,223.92,364.0
34210.515211316,224.07,100.0,223.92,364.0
34210.515211316,224.04,29.0,223.92,364.0
34210.706474037,224.07,100.0,223.92,364.0
34210.706474037,224.03,29.0,223.92,364.0
34210.910418382,224.07,100.0,223.92,364.0
34210.910418382,224.04,29.0,223.92,364.0
34210.966978058,224.07,100.0,223.92,364.0
34210.966978058,224.07,100.0,223.92,364.0
34211.618610908,224.07,500.0,223.92,364.0
34211.943114597,224.07,400.0,223.92,364.0
34211.943114597,224.07,100.0,223.92,364.0
34211.967039643,224.1,1100.0,223.92,364.0
34211.967968333,224.1,1000.0,223.92,364.0
34211.970165989,224.1,900.0,223.92,364.0
34212.161685865,224.1,900.0,223.93,100.0
34212.165104681,224.24,20.0,223.93,100.0
34212.165315424,224.24,20.0,223.93,100.0
34212.165315424,224.24,20.0,223.93,100.0
34212.165315424,224.24,20.0,223.92,364.0
34212.165315424,224.24,20.0,223.92,364.0
34212.165315424,224.24,20.0,223.92,364.0
34212.37437678,224.24,20.0,224.09,100.0
34212.376037666,224.24,20.0,224.09,200.0
34212.376129044,224.24,20.0,224.09,100.0
34212.376129044,224.24,20.0,224.13,100.0
34212.376453932,224.24,20.0,224.09,100.0
34212.377481694,224.24,20.0,223.92,364.0
34212.461714019,224.24,20.0,223.92,264.0
34212.487961941,224.24,20.0,224.09,100.0
34212.530050106,224.24,20.0,224.09,187.0
34212.577101834,224.24,20.0,224.09,87.0
34212.677958048,224.24,20.0,223.92,177.0
34212.677958048,224.24,20.0,223.93,87.0
34213.186801146,224.24,20.0,224.09,100.0
34213.22784958,224.24,20.0,224.09,187.0
34213.324261399,224.24,20.0,224.09,287.0
34215.152124895,224.24,20.0,224.09,387.0
34215.180453936,224.24,20.0,224.09,487.0
34215.77821826,224.25,100.0,224.09,487.0
34215.77821826,224.25,20.0,224.09,487.0
34217.852825212,224.29,500.0,224.09,487.0
34217.887655328,224.29,500.0,224.09,487.0
34219.127707671,224.29,490.0,224.09,487.0
34219.376645056,224.29,290.0,224.09,487.0
34219.516845865,224.29,90.0,224.09,487.0
34219.51709589,224.29,190.0,224.09,487.0
34219.529935712,224.29,190.0,224.09,487.0
34220.233163353,224.29,190.0,224.09,564.0
34220.303127499,224.29,90.0,224.09,564.0
34220.30312952,224.3,500.0,224.09,564.0
34220.321456549,224.3,500.0,224.09,464.0
34220.534112308,224.3,501.0,224.09,464.0
34221.59679772,224.3,401.0,224.09,464.0
34222.165292881,224.3,301.0,224.09,464.0
34223.279632997,224.3,201.0,224.09,464.0
34223.280244371,224.3,121.0,224.09,464.0
34223.280536751,224.3,21.0,224.09,464.0
34223.280641818,224.3,1.0,224.09,464.0
34223.280641818,224.45,100.0,224.09,464.0
34223.367461134,224.49,100.0,224.09,464.0
34223.367706865,224.45,100.0,224.09,464.0
34226.018708882,224.45,200.0,224.09,464.0
34226.025401005,224.45,200.0,224.09,564.0
34226.027530424,224.45,200.0,224.09,464.0
34227.238645979,224.45,300.0,224.09,464.0
34228.006601932,224.45,200.0,224.09,464.0
34228.068360389,224.45,200.0,224.09,464.0
34228.397876255,224.45,200.0,224.09,464.0
34228.609009833,224.45,100.0,224.09,464.0
34228.611036074,224.45,200.0,224.09,464.0
34228.611563982,224.45,200.0,224.09,364.0
34228.613137713,224.45,200.0,224.09,464.0
34228.614015349,224.45,200.0,224.09,364.0
34229.064982046,224.45,200.0,224.09,464.0
34229.067206176,224.45,200.0,224.09,364.0
34229.324305974,224.45,200.0,224.09,287.0
34229.343638816,224.45,200.0,224.1,77.0
34229.34512286,224.45,200.0,224.1,177.0
34229.350536541,224.45,200.0,224.1,77.0
34229.356252519,224.45,200.0,224.1,177.0
34229.853048275,224.45,200.0,224.1,264.0
34229.931412705,224.45,200.0,224.11,100.0
34229.932946536,224.45,200.0,224.11,200.0
34230.013756435,224.45,200.0,224.11,287.0
34230.478073253,224.45,200.0,224.11,387.0
34230.689754679,224.45,200.0,224.11,387.0
34232.513860324,224.45,200.0,224.11,387.0
34232.513860324,224.45,200.0,224.11,387.0
34232.520197625,224.45,200.0,224.11,287.0
34232.521812825,224.45,200.0,224.15,100.0
34232.573694017,224.45,200.0,224.29,100.0
34232.573822327,224.45,200.0,224.15,100.0
34232.574758204,224.45,200.0,224.11,287.0
34232.655299914,224.45,200.0,224.11,187.0
34232.672145731,224.45,200.0,224.15,100.0
34232.935731616,224.45,200.0,224.15,187.0
34233.075680004,224.45,200.0,224.18,100.0
34233.085449148,224.45,200.0,224.15,187.0
34233.221829329,224.45,200.0,224.15,100.0
34233.221829329,224.45,200.0,224.18,87.0
34233.256629271,224.45,200.0,224.11,100.0
34233.256629271,224.45,200.0,224.17,87.0
34233.408223818,224.45,200.0,224.11,100.0
34233.408223818,224.45,200.0,224.15,87.0
34233.417830238,224.45,200.0,224.18,100.0
34233.43258895,224.45,200.0,224.18,200.0
34233.473889226,224.45,200.0,224.18,100.0
34233.619144977,224.45,200.0,224.21,100.0
34233.628225156,224.45,200.0,224.18,100.0
34233.629733981,224.45,200.0,224.15,100.0
34233.629733981,224.45,200.0,224.21,100.0
34233.76490814,224.45,200.0,224.24,100.0
34233.769776825,224.45,200.0,224.24,200.0
34233.915570031,224.45,200.0,224.24,200.0
34233.915653845,224.45,200.0,224.24,200.0
34233.915653845,224.45,200.0,224.24,100.0
34233.915653845,224.45,200.0,224.24,29.0
34233.915778233,224.45,200.0,224.11,100.0
34234.16404396,224.45,200.0,224.15,100.0
34234.384484467,224.42,300.0,224.15,100.0
34234.387132284,224.42,400.0,224.15,100.0
34235.012386337,224.42,400.0,224.15,200.0
34237.490743302,224.42,400.0,224.15,100.0
34237.492337446,224.42,400.0,224.25,100.0
34237.495511591,224.42,400.0,224.15,100.0
34237.63550326,224.42,400.0,224.25,67.0
34240.008747756,224.42,100.0,224.25,67.0
34240.011093076,224.42,100.0,224.25,167.0
34240.011692902,224.42,200.0,224.25,167.0
34240.022916349,224.42,200.0,224.25,100.0
34240.022916349,224.42,200.0,224.15,100.0
34240.022916349,224.42,200.0,224.15,100.0
34240.02316124,224.42,200.0,224.25,100.0
34240.026562698,224.42,200.0,224.1,77.0
34240.026825796,224.42,200.0,224.25,100.0
34240.344836321,224.42,200.0,224.25,177.0
34241.521556909,224.42,200.0,224.25,177.0
34241.699711291,224.42,200.0,224.25,77.0
