check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,4,30.831885516040458,-3.8094058933839285,85.77429877340883,30.831885516040458,-3.8094058933839285,85.77429877340883,0.75,0.6249999999999994,positive_mixed
adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,4,-2.851412912741047e-05,-0.00034961174262448935,0.00042317904983438237,-2.851412912741047e-05,-0.00034961174262448935,0.00042317904983438237,0.25,0.6249999999999994,not_supported
adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,4,-0.00014736150987737506,-0.0004902272783838257,5.028064189993575e-05,0.00014736150987737506,-5.028064189993575e-05,0.0004902272783838257,0.5,1.0,positive_mixed
adaptive_wavelet_vs_ema_avg_slippage_bps,avg_slippage_bps,adaptive_wavelet,ema,decrease,4,0.030565996739625678,6.52811138479592e-14,0.06977214897808334,-0.030565996739625678,-0.06977214897808334,-6.52811138479592e-14,0.0,0.5,not_supported
adaptive_wavelet_vs_ema_partial_fill_rate,partial_fill_rate,adaptive_wavelet,ema,decrease,4,0.0059192200557103,0.0,0.0118384401114206,-0.0059192200557103,-0.0118384401114206,0.0,0.0,0.5,not_supported
adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,4,-0.005919220055710304,-0.011838440111420608,0.0,-0.005919220055710304,-0.011838440111420608,0.0,0.0,0.5,not_supported
neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,4,-5.246042318481814,-37.0687933399014,26.42058525970529,-5.246042318481814,-37.0687933399014,26.42058525970529,0.25,0.6249999999999994,not_supported
neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,4,-1.813914919934767e-06,-0.00016637031694616278,0.00028589000258985586,-1.813914919934767e-06,-0.00016637031694616278,0.00028589000258985586,0.25,0.6249999999999994,not_supported
neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,4,-6.099147954316542e-05,-0.00032017211719101435,0.00013036383642561766,6.099147954316542e-05,-0.00013036383642561766,0.00032017211719101435,0.5,1.0,positive_mixed
neural_state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,neural_state_space,ema,decrease,4,0.016413258636732264,2.0872192862952943e-14,0.034074824946557974,-0.016413258636732264,-0.034074824946557974,-2.0872192862952943e-14,0.25,0.5,not_supported
neural_state_space_vs_ema_partial_fill_rate,partial_fill_rate,neural_state_space,ema,decrease,4,0.0034818941504178302,0.0,0.0069637883008356605,-0.0034818941504178302,-0.0069637883008356605,0.0,0.0,0.5,not_supported
neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,4,-0.0034818941504178268,-0.0069637883008356535,0.0,-0.0034818941504178268,-0.0069637883008356535,0.0,0.0,0.5,not_supported
state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,4,-11.05061808205464,-120.08571241263009,139.33133249155293,-11.05061808205464,-120.08571241263009,139.33133249155293,0.25,0.6249999999999994,not_supported
state_space_vs_ema_total_return,total_return,state_space,ema,increase,4,0.0006479736847964102,-0.0001971079566708278,0.0014930553262636481,0.0006479736847964102,-0.0001971079566708278,0.0014930553262636481,0.75,0.6249999999999994,positive_mixed
state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,4,-0.0007386652915161718,-0.0014917569861727098,1.442640314036625e-05,0.0007386652915161718,-1.442640314036625e-05,0.0014917569861727098,0.75,0.6249999999999994,positive_mixed
state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,state_space,ema,decrease,4,-0.027747127517621067,-0.10237047969961832,0.019129097146724477,0.027747127517621067,-0.019129097146724477,0.10237047969961832,0.25,1.0,inconclusive
state_space_vs_ema_partial_fill_rate,partial_fill_rate,state_space,ema,decrease,4,-0.0069637883008356605,-0.021935933147632314,0.0010445682451253324,0.0069637883008356605,-0.0010445682451253324,0.021935933147632314,0.25,1.0,inconclusive
state_space_vs_ema_fill_rate,fill_rate,state_space,ema,increase,4,0.007311977715877438,0.0,0.021935933147632314,0.007311977715877438,0.0,0.021935933147632314,0.25,1.0,inconclusive
