check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,not_supported
adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
adaptive_wavelet_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,adaptive_wavelet,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,not_supported
neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
neural_state_space_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,neural_state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
state_space_vs_ema_total_return,total_return,state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,not_supported
state_space_vs_ema_fill_rate,fill_rate,state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
state_space_vs_ema_avg_spread_capture_bps,avg_spread_capture_bps,state_space,ema,increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
