check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,32,-7.3520625000001445,-86.96763671875006,59.466990624999866,-7.3520625000001445,-83.78057265625011,65.99433203124971,0.5625,0.5966148958541453,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,32,0.03803125000000014,-0.2046937500000001,0.35431562500000013,-0.03803125000000014,-0.34684296875,0.2076874999999998,0.375,1.0,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,32,-0.02306250000000007,-0.3284687500000002,0.20873968750000005,-0.02306250000000007,-0.31846234374999977,0.22299546875000004,0.40625,1.0,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,32,56.875,48.28125,66.65625,56.875,48.4375,65.90625,1.0,4.656612873077393e-10,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,32,1.522718749999953,-21.018772656250274,25.66368515624985,1.522718749999953,-19.880164062500114,25.836622656249787,0.46875,1.0,inconclusive,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,32,0.04156249999999985,0.0023124999999998806,0.1059429687499999,-0.04156249999999985,-0.10792499999999987,-0.0021546874999998668,0.25,0.8145294189453125,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,32,-0.022874999999999868,-0.0849057812499999,0.025037812500000395,-0.022874999999999868,-0.08826765624999987,0.023695937500000146,0.3125,0.6776394844055176,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,32,1.875,1.6875,2.0,1.875,1.6875,2.0,0.9375,1.862645149230957e-09,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,32,1.522718749999953,-21.018772656250274,25.66368515624985,1.522718749999953,-19.880164062500114,25.836622656249787,0.46875,1.0,positive_mixed,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,32,0.04156249999999985,0.0023124999999998806,0.1059429687499999,-0.04156249999999985,-0.10792499999999987,-0.0021546874999998668,0.25,0.8145294189453125,inconclusive,0.01
