seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
151,interval_only,supported_native_episode_loop,-4974.36,10.024,0.5679,-11.159799999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1374.4889671325684
161,interval_only,supported_native_episode_loop,-2806.211,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,12343.832330322266
171,interval_only,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3321166992187
181,interval_only,supported_native_episode_loop,-19828.767,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,89392.865625
191,interval_only,supported_native_episode_loop,-4136.882,5.114,0.4247,-5.9634,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,48689.980639648435
201,interval_only,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.719641113283
211,interval_only,supported_native_episode_loop,-4636.787,11.665,0.4461,-12.5572,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,368.3008804321289
221,interval_only,supported_native_episode_loop,-18380.769,4.881,0.5802,-6.0414,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,49856.929028320315
231,interval_only,supported_native_episode_loop,-10292.547,4.473,0.5062,-5.4854,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,663.3968620300293
241,interval_only,supported_native_episode_loop,-2783.521,8.757,0.4943,-9.7456,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,5373.374740600586
251,interval_only,supported_native_episode_loop,-2550.092,3.817,0.3463,-4.5096,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,38.851370096206665
261,interval_only,supported_native_episode_loop,-2731.727,7.317,0.6153,-8.5476,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,1531.1049346923828
271,interval_only,supported_native_episode_loop,-20545.535,23.029,0.277,-23.583,66.0,0.7480916030534351,0.5384615384615384,4970.0,0.0,0.0,0.0,34854.309814453125
281,interval_only,supported_native_episode_loop,-15200.391,4.541,0.5712,-5.683400000000001,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,21888.7439453125
291,interval_only,supported_native_episode_loop,-11614.013,5.438,0.4635,-6.365,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,31496.505810546874
301,interval_only,supported_native_episode_loop,-2994.682,6.166,0.5755,-7.317,66.0,0.7480916030534351,0.5384615384615384,4971.0,0.0,0.0,0.0,1515.2797546386719
311,interval_only,supported_native_episode_loop,-13184.777,5.46,0.6136,-6.6872,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,49495.94345703125
321,interval_only,supported_native_episode_loop,-2792.415,4.866,0.4523,-5.7706,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,29542.167211914064
331,interval_only,supported_native_episode_loop,-3751.618,5.627,0.3933,-6.4136,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,204.53062629699707
341,interval_only,supported_native_episode_loop,-17112.298,15.84,0.5593,-16.9586,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,9623.2166015625
351,interval_only,supported_native_episode_loop,-16912.177,5.281,0.4916,-6.2642,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,1673.7686386108398
361,interval_only,supported_native_episode_loop,-3080.579,5.763,0.3349,-6.4328,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,410.175032043457
371,interval_only,supported_native_episode_loop,-2596.4,8.684,0.3927,-9.469399999999998,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,2647.7105453491213
381,interval_only,supported_native_episode_loop,-19747.392,30.416,0.5863,-31.5886,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,71355.87368164063
391,interval_only,supported_native_episode_loop,-14523.665,5.853,0.6874,-7.2278,66.0,0.7480916030534351,1.0,4971.0,0.0,0.0,0.0,413.13517837524415
401,interval_only,supported_native_episode_loop,-2758.475,5.014,0.4417,-5.8974,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,29623.039135742187
411,interval_only,supported_native_episode_loop,-20657.581,17.475,0.5983,-18.6716,66.0,0.7480916030534351,0.23076923076923078,4970.0,0.0,0.0,0.0,37593.409423828125
421,interval_only,supported_native_episode_loop,-2841.074,4.282,0.5266,-5.3352,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1456.9720176696778
431,interval_only,supported_native_episode_loop,-9121.651,5.128,0.5215,-6.171,66.0,0.7480916030534351,1.0,4972.0,0.0,0.0,0.0,7763.1868347167965
441,interval_only,supported_native_episode_loop,-19567.611,40.056,0.4512,-40.9584,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,24940.230737304686
451,interval_only,supported_native_episode_loop,-2694.681,4.492,0.4936,-5.4792,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,18583.714953613282
461,interval_only,supported_native_episode_loop,-19016.331,6.996,0.4041,-7.804200000000001,66.0,0.7480916030534351,0.5384615384615384,4970.0,0.0,0.0,0.0,7659.407763671875
151,native_promotion_replan,supported_native_episode_loop,-5918.565,13.869,0.5083,-14.8856,126.0,0.5190839694656488,1.0,4970.0,0.0,0.0,0.0,2156.7151580810546
161,native_promotion_replan,supported_native_episode_loop,-2798.431,4.44,0.4512,-5.3424000000000005,104.0,0.6030534351145038,0.0,4971.0,0.0,0.0,0.0,12350.803576660157
171,native_promotion_replan,supported_native_episode_loop,-16088.774,20.877,0.4954,-21.8678,88.0,0.6641221374045801,0.8461538461538461,4970.0,0.0,0.0,0.0,2474.9033142089843
181,native_promotion_replan,supported_native_episode_loop,-19822.32,14.453,0.6218,-15.6966,114.0,0.5648854961832062,0.0,4969.0,0.0,0.0,0.0,89390.84594726562
191,native_promotion_replan,supported_native_episode_loop,-3449.775,4.617,0.4139,-5.4448,141.0,0.4618320610687023,1.0,4969.0,0.0,0.0,0.0,49128.84426269531
201,native_promotion_replan,supported_native_episode_loop,-18941.303,5.273,0.5776,-6.4281999999999995,83.0,0.683206106870229,0.0,4970.0,0.0,0.0,0.0,23317.062390136718
211,native_promotion_replan,supported_native_episode_loop,-4810.614,11.565,0.4938,-12.5526,149.0,0.4312977099236641,1.0,4970.0,0.0,0.0,0.0,362.4335029602051
221,native_promotion_replan,supported_native_episode_loop,-18372.131,4.871,0.4531,-5.777200000000001,135.0,0.4847328244274809,0.0,4972.0,0.0,0.0,0.0,49942.26669921875
231,native_promotion_replan,supported_native_episode_loop,-10351.622,4.461,0.5303,-5.5216,126.0,0.5190839694656488,0.8461538461538461,4970.0,0.0,0.0,0.0,674.943278503418
241,native_promotion_replan,supported_native_episode_loop,-2768.955,8.756,0.4943,-9.7446,123.0,0.5305343511450382,1.0,4970.0,0.0,0.0,0.0,5373.114126586914
251,native_promotion_replan,supported_native_episode_loop,-2547.609,3.821,0.3375,-4.496,103.0,0.6068702290076335,1.0,4970.0,0.0,0.0,0.0,39.531894254684445
261,native_promotion_replan,supported_native_episode_loop,-2737.658,7.317,0.6153,-8.5476,142.0,0.4580152671755725,1.0,4970.0,0.0,0.0,0.0,1530.4433837890624
271,native_promotion_replan,supported_native_episode_loop,-20542.188,23.031,0.2869,-23.604799999999997,148.0,0.4351145038167939,0.5384615384615384,4970.0,0.0,0.0,0.0,34870.13295898437
281,native_promotion_replan,supported_native_episode_loop,-15254.275,4.52,0.5008,-5.521599999999999,145.0,0.44656488549618323,0.0,4972.0,0.0,0.0,0.0,21745.952099609374
291,native_promotion_replan,supported_native_episode_loop,-11578.567,5.511,0.4634,-6.4378,124.0,0.5267175572519084,0.0,4971.0,0.0,0.0,0.0,31728.989501953125
301,native_promotion_replan,supported_native_episode_loop,-2972.929,6.194,0.5751,-7.3442,139.0,0.46946564885496184,0.5384615384615384,4971.0,0.0,0.0,0.0,1517.7509887695312
311,native_promotion_replan,supported_native_episode_loop,-13159.489,5.479,0.4855,-6.45,126.0,0.5190839694656488,0.0,4970.0,0.0,0.0,0.0,49456.31370849609
321,native_promotion_replan,supported_native_episode_loop,-2792.332,4.866,0.4523,-5.7706,100.0,0.6183206106870229,0.0,4970.0,0.0,0.0,0.0,29542.517626953126
331,native_promotion_replan,supported_native_episode_loop,-3744.758,5.616,0.3937,-6.4033999999999995,112.0,0.5725190839694656,0.0,4970.0,0.0,0.0,0.0,203.05607147216796
341,native_promotion_replan,supported_native_episode_loop,-16767.293,13.594,0.5769,-14.7478,96.0,0.6335877862595419,0.0,4970.0,0.0,0.0,0.0,9487.618933105468
351,native_promotion_replan,supported_native_episode_loop,-16899.257,5.28,0.4916,-6.2632,126.0,0.5190839694656488,0.0,4969.0,0.0,0.0,0.0,1671.0481552124024
361,native_promotion_replan,supported_native_episode_loop,-3080.216,5.763,0.335,-6.433,115.0,0.5610687022900763,0.0,4970.0,0.0,0.0,0.0,409.69984703063966
371,native_promotion_replan,supported_native_episode_loop,-2596.647,8.684,0.3927,-9.469399999999998,100.0,0.6183206106870229,0.0,4970.0,0.0,0.0,0.0,2647.7316513061523
381,native_promotion_replan,supported_native_episode_loop,-19759.987,30.385,0.608,-31.601000000000003,118.0,0.549618320610687,0.0,4970.0,0.0,0.0,0.0,71709.34213867187
391,native_promotion_replan,supported_native_episode_loop,-14536.259,5.865,0.689,-7.243,135.0,0.4847328244274809,1.0,4971.0,0.0,0.0,0.0,419.41367416381837
401,native_promotion_replan,supported_native_episode_loop,-2763.674,5.013,0.4417,-5.8964,112.0,0.5725190839694656,0.0,4970.0,0.0,0.0,0.0,29622.826013183592
