check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,32,1.762531249999725,-8.922115625000158,14.834214062499521,1.762531249999725,-9.61205312500011,14.050969531249589,0.4375,0.5966148958541453,inconclusive,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,32,0.011406249999999812,-0.0030320312500002637,0.033781249999999846,-0.011406249999999812,-0.03343749999999979,0.00281328125000032,0.28125,0.5234670639038086,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,32,-0.034862499999999685,-0.08980624999999949,0.010088750000000158,-0.034862499999999685,-0.08771390624999986,0.010227187500000191,0.375,1.0,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,32,60.03125,47.43671875,73.40703124999999,60.03125,47.746875,73.53749999999997,1.0,4.656612873077393e-10,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,32,9.447624999999718,-1.7159039062504136,22.112727343749732,9.447624999999718,-2.4688578125004423,22.247021093749492,0.5625,0.1849333420395851,positive_mixed,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,32,0.0043437499999999934,-0.00815625000000002,0.018812500000000055,-0.0043437499999999934,-0.019219531250000064,0.007843749999999998,0.40625,0.6776394844055176,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,32,-0.008543749999999961,-0.05022796874999961,0.026604687499999988,-0.008543749999999961,-0.048017499999999845,0.028212812500000056,0.40625,0.6776394844055176,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,32,1.6875,1.4375,1.90625,1.6875,1.4375,1.90625,0.875,7.450580596923828e-09,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,32,9.447624999999718,-1.7159039062504136,22.112727343749732,9.447624999999718,-2.4688578125004423,22.247021093749492,0.5625,0.1849333420395851,supported,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,32,0.0043437499999999934,-0.00815625000000002,0.018812500000000055,-0.0043437499999999934,-0.019219531250000064,0.007843749999999998,0.40625,0.6776394844055176,positive_mixed,0.01
