seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
471,interval_only,supported_native_episode_loop,-20045.458,10.83,0.6645,-12.159,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1320.4901458740235
481,interval_only,supported_native_episode_loop,-3146.3,5.212,0.4436,-6.0992,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,6927.545462036132
491,interval_only,supported_native_episode_loop,-14529.577,5.287,0.6132,-6.5134,66.0,0.7480916030534351,0.7897322079198106,4970.0,0.0,0.0,0.0,2984.1076232910154
501,interval_only,supported_native_episode_loop,-3095.436,4.749,0.4845,-5.718,66.0,0.7480916030534351,0.3846153846153846,4972.0,0.0,0.0,0.0,13568.641357421875
511,interval_only,supported_native_episode_loop,-2729.904,5.821,0.5046,-6.8302,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,315.9625816345215
521,interval_only,supported_native_episode_loop,-18693.504,5.828,0.6323,-7.0926,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,18727.940576171874
531,interval_only,supported_native_episode_loop,-2781.996,7.366,0.4365,-8.238999999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,8112.389218139649
541,interval_only,supported_native_episode_loop,-15290.889,6.307,0.6341,-7.575200000000001,66.0,0.7480916030534351,1.0,4972.0,0.0,0.0,0.0,22922.76657714844
551,interval_only,supported_native_episode_loop,-2614.614,6.474,0.4564,-7.3868,66.0,0.7480916030534351,0.9732971731083753,4970.0,0.0,0.0,0.0,6176.357116699219
561,interval_only,supported_native_episode_loop,-9297.826,4.809,0.5924,-5.9938,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,31725.34423828125
571,interval_only,supported_native_episode_loop,-8748.949,3.627,0.5594,-4.7458,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,3626.872314453125
581,interval_only,supported_native_episode_loop,-18879.825,6.223,0.4332,-7.0893999999999995,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,38696.38896484375
591,interval_only,supported_native_episode_loop,-18507.112,4.537,0.5919,-5.7208,66.0,0.7480916030534351,0.3846153846153846,4969.0,0.0,0.0,0.0,3309.5722717285157
601,interval_only,supported_native_episode_loop,-13082.924,5.916,0.6292,-7.1744,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,4911.351818847656
611,interval_only,supported_native_episode_loop,-9246.005,5.51,0.4355,-6.381,66.0,0.7480916030534351,0.23076923076923078,4971.0,0.0,0.0,0.0,2439.2395568847655
621,interval_only,supported_native_episode_loop,-3025.221,5.191,0.4589,-6.1088,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,2824.14327545166
631,interval_only,supported_native_episode_loop,-3854.505,6.01,0.4757,-6.961399999999999,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,8177.681585693359
641,interval_only,supported_native_episode_loop,-17386.55,7.073,0.5783,-8.229600000000001,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,4131.746166992188
651,interval_only,supported_native_episode_loop,-18249.742,4.882,0.6831,-6.2482,66.0,0.7480916030534351,0.8461538461538461,4971.0,0.0,0.0,0.0,17403.846264648437
661,interval_only,supported_native_episode_loop,-18900.476,7.314,0.428,-8.17,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,9273.89786376953
671,interval_only,supported_native_episode_loop,-14594.916,28.052,0.3465,-28.745,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,44333.47666015625
681,interval_only,supported_native_episode_loop,-18362.877,17.443,0.5469,-18.536800000000003,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,5950.301568603516
691,interval_only,supported_native_episode_loop,-11220.409,4.051,0.6479,-5.3468,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,8246.140826416016
701,interval_only,supported_native_episode_loop,-2874.827,4.708,0.4129,-5.5338,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,245.5595901489258
711,interval_only,supported_native_episode_loop,-5640.312,7.774,0.4425,-8.659,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,1768.9511825561524
721,interval_only,supported_native_episode_loop,-7980.322,5.299,0.5354,-6.369800000000001,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2445.223712158203
731,interval_only,supported_native_episode_loop,-15981.865,4.541,0.6108,-5.762600000000001,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,44008.4833984375
741,interval_only,supported_native_episode_loop,-18367.995,5.78,0.3062,-6.3924,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,53830.335278320315
751,interval_only,supported_native_episode_loop,-17198.549,4.837,0.5355,-5.9079999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1458.4211959838867
761,interval_only,supported_native_episode_loop,-19059.389,25.581,0.4222,-26.4254,66.0,0.7480916030534351,1.0,4971.0,0.0,0.0,0.0,30369.4353515625
771,interval_only,supported_native_episode_loop,-5551.367,4.144,0.5145,-5.173,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,460.74893341064455
781,interval_only,supported_native_episode_loop,-3185.629,11.195,0.39,-11.975,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,727.4665901184082
471,native_promotion_replan,supported_native_episode_loop,-20041.772,10.83,0.6645,-12.159,80.0,0.6946564885496184,0.0,4970.0,0.0,0.0,0.0,1318.9429992675782
481,native_promotion_replan,supported_native_episode_loop,-3150.832,5.205,0.4433,-6.0916,113.0,0.5687022900763359,0.0,4970.0,0.0,0.0,0.0,6885.064584350586
491,native_promotion_replan,supported_native_episode_loop,-14544.592,5.303,0.7467,-6.7964,85.0,0.6755725190839694,0.7897322079198106,4970.0,0.0,0.0,0.0,2995.804309082031
501,native_promotion_replan,supported_native_episode_loop,-3072.705,4.749,0.4845,-5.718,145.0,0.44656488549618323,0.3846153846153846,4972.0,0.0,0.0,0.0,13557.10496826172
511,native_promotion_replan,supported_native_episode_loop,-2730.873,5.829,0.5047,-6.8384,93.0,0.6450381679389313,0.0,4970.0,0.0,0.0,0.0,316.4564296722412
521,native_promotion_replan,supported_native_episode_loop,-18692.774,5.835,0.5771,-6.9892,144.0,0.45038167938931295,0.0,4972.0,0.0,0.0,0.0,18643.642944335938
531,native_promotion_replan,supported_native_episode_loop,-2788.298,7.366,0.4365,-8.238999999999999,148.0,0.4351145038167939,0.0,4970.0,0.0,0.0,0.0,8112.285809326172
