baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario
vanilla_rl,42,-0.8512645712390081,-0.002673011536041116,-0.0026509513485211897,2.2060187519926564e-05,0.015883335014347126,-51.49841276302762,-52.90695503673307,0.8508113764113121,-1.0005326619274975,340.95865478318353,2.045751928699101,0.004376825415065446,0.0,0.0,0.0,0,-1.0,-1.0,0.008928571428571428,0.5,0.0,0.0,0.43275957269922266,0.0068984528398570565,-0.017675394571732627,720.0,2.0344054559304474e-06,0.001464771928269922,0.0030037752849265318,2.162718205147103,2.2060187519926564e-05,0.015883335014347126,0.00019709002004620637,0.14190481443326858,1.3231585149261662e-05,0.009526741307468396,-0.003014805378686495,-2.1706598726542765,0.0,0.0,-0.0026509513485211897,-1.9086849709352565,-2.4261678909224944e-05,-0.01746840881464196,localized_burst
hrl_raw,42,-0.6839903738882116,-0.0016520750071111572,-0.001629621850132401,2.2453156978755722e-05,0.01616627302470412,-47.610218418987536,-50.29430955653955,0.6833491071778314,-1.0009384174262386,215.23155158900755,1.2913893095340454,0.015665863835967977,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.43275957269922266,0.01174631319125215,-0.02187288473056057,720.0,-1.489718283188802e-06,-0.0010725971638959374,0.0019683113858498594,1.4171841978118986,2.2453156978755722e-05,0.01616627302470412,0.00019679585906445335,0.14169301852640642,1.102624770731414e-05,0.007938898349266182,-0.001979537964339237,-1.4252673343242506,0.0,0.0,-0.001629621850132401,-1.1733277320953288,-2.2252826196692e-05,-0.01602203486161824,localized_burst
raw_history,42,-0.023039302627068103,-5.4368633395521835e-05,-3.3138415809330334e-05,2.1230217586191508e-05,0.015285756662057885,-1.9998178298172105,-3.104961305729484,0.035704242886195114,-0.6452819263106724,27.268450926174935,0.16361070555704962,0.00042966173445743006,0.0,0.0,0.0,0,-1.0,-1.0,0.7053571428571429,0.5,0.0,0.0,0.021977587208363118,0.3751445534662083,0.16170383972433247,720.0,-1.9009189674361233e-05,-0.013686616565540087,0.0003840956743986015,0.2765488855669931,2.1230217586191508e-05,0.015285756662057885,0.0002139671883854036,0.15405637563749058,9.47451615919396e-06,0.006821651634619652,-0.00039471078319169725,-0.28419176389802203,0.0,0.0,-3.3138415809330334e-05,-0.023859659382717842,-2.008962495228971e-05,-0.014464529965648593,localized_burst
freq_single_policy,42,-0.22845271245388787,-0.000374843335731898,-0.0003614743910498387,1.3368944682059312e-05,0.009625640171082705,-17.35552493677254,-23.64345243251272,0.2263502330061179,-1.0092886118112065,70.61297640011932,0.4236778584007159,0.0007378585876222832,0.0,0.0,0.0,0,-1.0,-1.0,0.125,0.5,0.0,0.0,0.07615802055005591,0.12331835262253243,-0.12023215807249779,720.0,-1.2424238082451911e-05,-0.008945451419365376,0.000752386970538354,0.5417186187876148,1.3368944682059312e-05,0.009625640171082705,0.00024086703420885208,0.1734242646303735,1.2256337282296469e-05,0.008824562843253458,-0.0007590714428793835,-0.5465314388731561,0.0,0.0,-0.0003614743910498387,-0.26026156155588387,-1.8940809623326126e-05,-0.01363738292879481,localized_burst
lf_upper_only,42,0.007455024749688288,-8.376083899666053e-05,1.0296929061614063e-05,9.40577680582746e-05,0.06772159300195771,1.012515411461747,1.4625799544222093,0.009343680495642825,0.7978681155851529,5.648143316662669,0.03388885989997602,2.82828075161029e-05,0.0,0.0,0.0,0,-1.0,-1.0,12.01639344262295,0.5,0.0,0.0,0.0017128050258415875,1.743538798853444,1.131099788697195,720.0,-1.3558020987507586e-05,-0.009761775111005462,0.00014605853157332007,0.10516214273279045,9.40577680582746e-05,0.06772159300195771,7.097937663634276e-05,0.05110515117816679,1.2477969415881505e-05,0.008984137979434684,-0.00019308741560245739,-0.13902293923376932,0.0,0.0,1.0296929061614063e-05,0.007413788924362126,-5.95068534450188e-05,-0.042844934480413537,localized_burst
hf_lower_only,42,-0.017092281697708933,-7.100681229647739e-05,-3.045962976191516e-05,4.054718253456223e-05,0.029193971424884807,-7.049607582527007,-10.875074642511525,0.017092281697708933,-1.0,7.331265330866213,0.04398759198519728,0.0032597834884871063,0.0,0.0,0.0,0,-1.0,-1.0,6.446428571428571,0.5,0.0,0.0,0.0,0.8667515738183788,0.04916553360703519,720.0,-6.039919110157076e-07,-0.0004348741759313095,9.846351797098495e-05,0.07089373293910917,4.054718253456223e-05,0.029193971424884807,3.77578068832932e-05,0.0271856209559711,1.962281195382854e-06,0.0014128424606756548,-0.00011873710923826608,-0.08549071865155158,0.0,0.0,-3.045962976191516e-05,-0.021930933428578915,-2.223587246266397e-05,-0.01600982817311806,localized_burst
allfreq_alllayers,42,-0.2427411959182565,-0.0004069576733980058,-0.0003870938809596902,1.9582645873978892e-05,0.014099505029264802,-17.66194289339847,-23.239166345206964,0.24074430265254598,-1.008294664686593,74.08698587258979,0.4445219152355388,0.0005797850589974463,0.0,0.0,0.0,110,-1.0,-1.0,0.09821428571428571,0.4236111111111111,0.0,0.0,0.0773363385545505,0.23486695555139891,-0.11010140574430047,720.0,-1.143590312389767e-05,-0.008233850249206323,0.0007823324017525794,0.5632793292618572,1.9582645873978892e-05,0.014099505029264802,0.00024289314122045066,0.17488306167872447,1.242399838333635e-05,0.008945278836002173,-0.0007921237246895688,-0.5703290817764896,2.8114656433664364e-07,0.0002024255263223834,-0.0003870938809596902,-0.27870759429097697,-2.249646788466244e-05,-0.016197456876956957,localized_burst
swapped,42,-0.13248403000212094,-0.00021963697923533932,-0.0002028098859438224,1.6545946727180285e-05,0.011913081643569806,-12.221206185786043,-18.169033926879084,0.13248403000212094,-1.0,43.84167317565159,0.26305003905390956,0.002766205495492513,0.0,0.0,0.0,110,-1.0,-1.0,0.026785714285714284,0.4236111111111111,0.0,0.0,0.0739616780072184,0.23758228712680018,-0.47310903760982814,720.0,-1.0003852332282156e-06,-0.0007202773679243152,0.0005087483702024513,0.36629882654576496,1.6545946727180285e-05,0.011913081643569806,0.00016907018674415408,0.12173053445579093,8.837235587744009e-06,0.006362809623175686,-0.0005170213435660416,-0.37225536736754994,2.8114656433664364e-07,0.0002024255263223834,-0.0002028098859438224,-0.14602311787955213,-1.7391355515670793e-05,-0.012521775971282971,localized_burst
no_promotion,42,0.006513692566903817,-8.604167724290328e-05,9.028999061493726e-06,9.5070676304397e-05,0.06845088693916584,0.8725606467481646,1.2084363488384977,0.009743625541918655,0.6685080967942433,5.893664524303992,0.03536198714582394,1.3643355022186772e-05,0.0,0.0,0.0,0,-1.0,-1.0,11.114754098360656,0.5,0.0,0.0,0.0017128050258415875,1.8382260089811235,1.076244153308367,720.0,-1.3531602251251182e-05,-0.009742753620900851,0.00014806685426975625,0.10660813507422451,9.5070676304397e-05,0.06845088693916584,7.170175905865587e-05,0.05162526652223222,1.2378829186787311e-05,0.008912757014486863,-0.00019560219242195477,-0.14083357854380743,0.0,0.0,9.028999061493726e-06,0.0065008793242754825,-5.9914167338985804e-05,-0.04313820048406978,localized_burst
no_leakage,42,-0.0095404132563357,-1.5338032255177063e-05,-1.5056885690840418e-05,0.0,0.0,-1.1974113680935552,-1.8986680612005498,0.01835008169261443,-0.5199112143558218,11.04167455049643,0.06625004730297858,0.0008934990304302951,0.0,0.0,0.0,110,-1.0,-1.0,3.7410714285714284,0.4236111111111111,0.0,0.0,0.003354559145937268,0.9096591697545713,0.919242898385715,720.0,-1.2512161024547217e-05,-0.009008755937673996,0.000198234467284581,0.14272881644489832,0.0,0.0,9.125622798203762e-05,0.06570448414706709,1.1301717940504773e-05,0.008137236917163436,-0.000198234467284581,-0.14272881644489832,2.8114656433664364e-07,0.0002024255263223834,-1.5056885690840418e-05,-0.0108409576974051,-1.1582864504841417e-05,-0.00833966244348582,localized_burst
