check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,128,-13.420710937499994,-29.878061718750008,1.4593326171874734,-13.420710937499994,-29.36801484374997,1.0958447265624673,0.4921875,0.9296139078299849,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,128,0.020234375000000058,-0.007073242187500109,0.04863496093750015,-0.020234375000000058,-0.05000000000000009,0.006289257812500023,0.28125,0.10929542977731425,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,128,0.0010468750000000096,-0.03323843750000006,0.034540546875,0.0010468750000000096,-0.03416878906250001,0.03507125000000001,0.390625,0.6817425059181855,inconclusive,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,128,61.6171875,56.46875,67.290234375,61.6171875,56.374609375,67.34375,1.0,5.877471754111438e-39,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,128,-9.62447656250006,-27.59842343750006,6.132666210937418,-9.62447656250006,-28.20175781250001,5.660996093749893,0.4921875,0.5194908187566281,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,128,0.011328125000000012,-0.020478906249999856,0.040431640624999966,-0.011328125000000012,-0.04170781249999998,0.020975781250000047,0.3125,1.0,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,128,-0.002792187499999918,-0.03247871093749993,0.029507773437500093,-0.002792187499999918,-0.0344080859375,0.03032386718750021,0.328125,0.9142116370824501,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,128,1.765625,1.65625,1.859375,1.765625,1.6640625,1.859375,0.921875,6.018531076210112e-36,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,128,-9.62447656250006,-27.59842343750006,6.132666210937418,-9.62447656250006,-28.20175781250001,5.660996093749893,0.4921875,0.5194908187566281,positive_mixed,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,128,0.011328125000000012,-0.020478906249999856,0.040431640624999966,-0.011328125000000012,-0.04170781249999998,0.020975781250000047,0.3125,1.0,inconclusive,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,128,-1.2260000000000453,-4.61728027343751,1.017730273437417,-1.2260000000000453,-4.578619140625088,1.0450447265624896,0.0859375,0.14961278438568115,not_supported,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,128,-0.0023437499999999986,-0.007117382812500002,0.00035156249999999267,0.0023437499999999986,-0.00032812499999999856,0.006884179687500001,0.0546875,1.0,inconclusive,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,128,0.008443750000000007,0.0006373046874999746,0.01855414062500016,0.008443750000000007,0.0009044531249999803,0.019251914062500052,0.0625,1.0,supported,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,128,0.2421875,0.171875,0.3203125,0.2421875,0.171875,0.3203125,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,128,0.2421875,0.171875,0.3203125,0.2421875,0.171875,0.3203125,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_pressure_mean,native_wait_aware_replan,interval_only,increase,128,0.1088156749440681,0.07412969776353567,0.1454419862572882,0.1088156749440681,0.07528805907564763,0.14492754814733663,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,native_wait_aware_replan,interval_only,increase,128,0.06435839992542414,0.04084314159536563,0.0897501423981744,0.06435839992542414,0.040278738260479924,0.09192873641703374,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_gap_ratio_mean,native_wait_aware_replan,interval_only,increase,128,0.2591878620998375,0.18208833669708963,0.3441277078156648,0.2591878620998375,0.1832979816437124,0.34246966444414745,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_hold_mean,native_wait_aware_replan,interval_only,increase,128,0.05005782794978586,0.025481684378610224,0.08124628705281792,0.05005782794978586,0.0240583708394297,0.08084089549111012,0.1171875,6.103515625e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_same_wait_mean,native_wait_aware_replan,interval_only,increase,128,0.18412918178364635,0.12709302988369017,0.24449759527342393,0.18412918178364635,0.12622871735366062,0.24474431248381734,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,native_wait_aware_replan,interval_only,increase,128,0.49178081593544365,0.31435675776668587,0.677811941686476,0.49178081593544365,0.3129782438721097,0.6899648076670165,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_mean_s,native_wait_aware_replan,interval_only,decrease,128,-0.49178081593544365,-0.6778119416864761,-0.31435675776668587,0.49178081593544365,0.3129782438721097,0.6899648076670165,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_actor_base_used_mean,native_wait_aware_replan,interval_only,increase,128,0.2421875,0.171875,0.3203125,0.2421875,0.171875,0.3203125,0.2421875,9.313225746154785e-10,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_base_delta_abs_mean_s,native_wait_aware_replan,interval_only,increase,128,0.881234293919988,0.621310056821676,1.1730670868768356,0.881234293919988,0.6182258878921857,1.1617658256698633,0.2421875,9.313225746154785e-10,supported,
