check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,4,-105.92375000000038,-312.7422499999998,22.0099999999984,-105.92375000000038,-312.7422499999998,22.0099999999984,0.5,1.0,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,4,0.056750000000000744,-0.08349999999999969,0.30375000000000085,-0.056750000000000744,-0.30375000000000085,0.08349999999999969,0.75,0.625,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,4,0.12575000000000092,-0.1506000000000003,0.39860000000000184,0.12575000000000092,-0.1506000000000003,0.39860000000000184,0.75,0.625,positive_mixed,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,4,86.0,56.5,114.0,86.0,56.5,114.0,1.0,0.125,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,4,-44.185499999999934,-137.6814999999997,15.70400000000086,-44.185499999999934,-137.6814999999997,15.70400000000086,0.5,1.0,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,4,0.12525000000000008,-0.0685,0.39175000000000004,-0.12525000000000008,-0.39175000000000004,0.0685,0.5,1.0,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,4,0.05730000000000013,-0.0844999999999998,0.17720000000000002,0.05730000000000013,-0.0844999999999998,0.17720000000000002,0.75,0.625,positive_mixed,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,4,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.125,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,4,-44.185499999999934,-137.6814999999997,15.70400000000086,-44.185499999999934,-137.6814999999997,15.70400000000086,0.5,1.0,inconclusive,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,4,0.12525000000000008,-0.0685,0.39175000000000004,-0.12525000000000008,-0.39175000000000004,0.0685,0.5,1.0,inconclusive,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,4,16.36349999999993,-1.9979999999995925,34.724999999999454,16.36349999999993,-1.9979999999995925,34.724999999999454,0.5,1.0,positive_mixed,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,4,-0.08274999999999988,-0.18524999999999991,-0.013500000000000512,0.08274999999999988,0.013500000000000512,0.18524999999999991,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,4,0.21325000000000083,0.06874999999999964,0.3354000000000039,0.21325000000000083,0.06874999999999964,0.3354000000000039,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,4,0.75,0.25,1.0,0.75,0.25,1.0,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,4,0.75,0.25,1.0,0.75,0.25,1.0,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_pressure_mean,native_wait_aware_replan,interval_only,increase,4,0.3400594032672146,0.10936718682025093,0.5375185205313872,0.3400594032672146,0.10936718682025093,0.5375185205313872,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,native_wait_aware_replan,interval_only,increase,4,0.2034125376896195,0.0394108384126719,0.38335802737518293,0.2034125376896195,0.0394108384126719,0.38335802737518293,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_gap_ratio_mean,native_wait_aware_replan,interval_only,increase,4,0.8167827197818388,0.26602695087611067,1.1523873173378756,0.8167827197818388,0.26602695087611067,1.1523873173378756,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_hold_mean,native_wait_aware_replan,interval_only,increase,4,0.35326559841632843,0.0,0.7065311968326569,0.35326559841632843,0.0,0.7065311968326569,0.5,0.5,positive_mixed,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_same_wait_mean,native_wait_aware_replan,interval_only,increase,4,0.7583363503217697,0.2621135413646698,1.1474732160568237,0.7583363503217697,0.2621135413646698,1.1474732160568237,0.75,0.25,supported,
