seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
301,interval_only,supported_native_episode_loop,-3065.801,6.321,0.5195,-7.359999999999999,66.0,0.7480916030534351,347.1564523324067,12.910315931780596,-34.43893129770992,14.88563564232969,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.271266174316
411,interval_only,supported_native_episode_loop,-20649.724,16.569,0.5165,-17.602,66.0,0.7480916030534351,338.2202399476188,8.440824320749504,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52974.81879882813
901,interval_only,supported_native_episode_loop,-17958.594,35.004,0.7281,-36.4602,66.0,0.7480916030534351,341.3040433245912,8.719659051117022,-44.091603053435115,5.556030190344652,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14889.90048828125
1231,interval_only,supported_native_episode_loop,-11408.063,8.661,0.5724,-9.8058,66.0,0.7480916030534351,338.59863850754937,4.811780673605145,-44.48854961832061,4.313774161301632,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.2321655273436
301,native_promotion_replan,supported_native_episode_loop,-3056.533,6.223,0.5567,-7.336399999999999,141.0,0.4618320610687023,347.06461952428333,13.806253090108456,-30.729007633587788,17.91410373855379,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264.1028213500977
411,native_promotion_replan,supported_native_episode_loop,-20614.972,16.509,0.371,-17.251,193.0,0.2633587786259542,338.11526175612636,9.641593272120483,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52951.80024414063
901,native_promotion_replan,supported_native_episode_loop,-18006.23,34.964,0.525,-36.013999999999996,166.0,0.366412213740458,340.84029234599404,9.109646023643768,-44.0763358778626,5.554199732257746,0.25126814159065836,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15067.583178710938
1231,native_promotion_replan,supported_native_episode_loop,-11828.142,9.086,0.5188,-10.1236,108.0,0.5877862595419847,339.3187318018185,5.977741032294986,-44.48854961832061,4.313774161301632,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.076336669922
301,native_learned_gate,supported_native_episode_loop,-3047.724,6.194,0.5402,-7.2744,66.0,0.7480916030534351,348.8121605379393,12.077030398687972,-32.01526717557252,19.80341736752609,0.5384615384615384,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.306150817871
411,native_learned_gate,supported_native_episode_loop,-20669.855,16.567,0.4115,-17.39,66.0,0.7480916030534351,337.46087533231616,9.737626935370631,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53242.7689453125
