check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,128,-13.420710937499994,-29.878061718750008,1.4593326171874734,-13.420710937499994,-29.36801484374997,1.0958447265624673,0.4921875,0.9296139078299849,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,128,0.020234375000000058,-0.007073242187500109,0.04863496093750015,-0.020234375000000058,-0.05000000000000009,0.006289257812500023,0.28125,0.10929542977731425,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,128,0.0010468750000000096,-0.03323843750000006,0.034540546875,0.0010468750000000096,-0.03416878906250001,0.03507125000000001,0.390625,0.6817425059181855,inconclusive,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,128,61.6171875,56.46875,67.290234375,61.6171875,56.374609375,67.34375,1.0,5.877471754111438e-39,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,128,-9.62447656250006,-27.59842343750006,6.132666210937418,-9.62447656250006,-28.20175781250001,5.660996093749893,0.4921875,0.5194908187566281,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,128,0.011328125000000012,-0.020478906249999856,0.040431640624999966,-0.011328125000000012,-0.04170781249999998,0.020975781250000047,0.3125,1.0,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,128,-0.002792187499999918,-0.03247871093749993,0.029507773437500093,-0.002792187499999918,-0.0344080859375,0.03032386718750021,0.328125,0.9142116370824501,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,128,1.765625,1.65625,1.859375,1.765625,1.6640625,1.859375,0.921875,6.018531076210112e-36,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,128,-9.62447656250006,-27.59842343750006,6.132666210937418,-9.62447656250006,-28.20175781250001,5.660996093749893,0.4921875,0.5194908187566281,positive_mixed,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,128,0.011328125000000012,-0.020478906249999856,0.040431640624999966,-0.011328125000000012,-0.04170781249999998,0.020975781250000047,0.3125,1.0,inconclusive,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,128,-0.5798984375000309,-4.1066835937499535,1.7959908203124333,-0.5798984375000309,-3.994790820312563,1.8469035156249272,0.0546875,0.803619384765625,not_supported,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,128,-0.0020937499999999984,-0.0060939453124999815,0.00024238281250000355,0.0020937499999999984,-0.00019589843749999618,0.005899609375000006,0.046875,0.2890625,inconclusive,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,128,0.007678125000000008,-3.1640625000203794e-06,0.017419218749999996,0.007678125000000008,0.00020878906249998354,0.018396367187499967,0.046875,0.75390625,supported,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,128,0.125,0.078125,0.1875,0.125,0.0703125,0.1875,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,128,0.125,0.078125,0.1875,0.125,0.0703125,0.1875,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_pressure_mean,native_wait_aware_replan,interval_only,increase,128,0.057855820855376355,0.03199061492421247,0.08810787202751615,0.057855820855376355,0.031422630991243365,0.08933457406987404,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,native_wait_aware_replan,interval_only,increase,128,0.035474427807168474,0.017059721501727205,0.05857628653908643,0.035474427807168474,0.016636549835631335,0.05981238718548468,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_gap_ratio_mean,native_wait_aware_replan,interval_only,increase,128,0.13491019359066314,0.0821276105513033,0.2014993383695358,0.13491019359066314,0.07560044018648711,0.20130515863753226,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_hold_mean,native_wait_aware_replan,interval_only,increase,128,0.04343413934111595,0.019170909421518445,0.0737476790382061,0.04343413934111595,0.018392355763353407,0.07347971225972284,0.078125,0.001953125,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_same_wait_mean,native_wait_aware_replan,interval_only,increase,128,0.11337579041719437,0.06738966094562784,0.16973904330516232,0.11337579041719437,0.06352358903968706,0.17034968694206323,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,native_wait_aware_replan,interval_only,increase,128,0.1720420078946009,0.08911510991678318,0.27241436003534064,0.1720420078946009,0.08656488750009912,0.27784733902684694,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_mean_s,native_wait_aware_replan,interval_only,decrease,128,-0.1720420078946009,-0.27241436003534064,-0.08911510991678334,0.1720420078946009,0.08656488750009912,0.27784733902684694,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_actor_base_used_mean,native_wait_aware_replan,interval_only,increase,128,0.125,0.078125,0.1875,0.125,0.0703125,0.1875,0.125,3.0517578125e-05,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_base_delta_abs_mean_s,native_wait_aware_replan,interval_only,increase,128,0.2500000000873115,0.15624998934436007,0.37499999521751304,0.2500000000873115,0.1406250016996637,0.37499999321153155,0.125,3.0517578125e-05,supported,
