check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,16,-4.023062500000236,-20.90190468749989,15.01448906249981,-4.023062500000236,-20.977079687500314,16.294473437499214,0.5625,0.803619384765625,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,16,-0.011062499999999864,-0.02700624999999985,0.0011281249999999141,0.011062499999999864,-0.0010624999999999704,0.026499999999999583,0.3125,1.0,inconclusive,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,16,0.07646250000000021,0.01606750000000003,0.15267500000000067,0.07646250000000021,0.014237812499999713,0.1561003125000007,0.5,0.2265625,supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,16,82.9375,67.1875,98.18906249999999,82.9375,66.9375,98.81406249999999,1.0,3.0517578125e-05,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,16,-2.282062500000052,-12.744793750000097,9.34482187500024,-2.282062500000052,-12.988823437500319,9.705292187500342,0.3125,0.210113525390625,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,16,-0.00093749999999998,-0.023128124999999788,0.020251562500000035,0.00093749999999998,-0.020439062499999886,0.023128124999999878,0.3125,0.7744140625,inconclusive,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,16,0.02679999999999988,-0.01819187499999998,0.07956999999999988,0.02679999999999988,-0.020644687499999925,0.07926312499999996,0.375,1.0,inconclusive,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,16,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0517578125e-05,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,16,-2.282062500000052,-12.744793750000097,9.34482187500024,-2.282062500000052,-12.988823437500319,9.705292187500342,0.3125,0.210113525390625,supported,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,16,-0.00093749999999998,-0.023128124999999788,0.020251562500000035,0.00093749999999998,-0.020439062499999886,0.023128124999999878,0.3125,0.7744140625,positive_mixed,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,16,-7.312375000000003,-34.26832812499998,11.657140625000205,-7.312375000000003,-35.73216249999985,11.462087499999782,0.1875,0.5078125,not_supported,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,16,-0.016749999999999987,-0.04462968750000002,0.001374999999999904,0.016749999999999987,-0.0011906249999999534,0.043124999999999865,0.375,0.2890625,inconclusive,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,16,0.06338750000000015,0.007521562500000001,0.13348000000000074,0.06338750000000015,0.00478687499999973,0.13480593750000033,0.375,0.2890625,supported,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,16,0.5625,0.3125,0.8125,0.5625,0.3125,0.8125,0.5625,0.00390625,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,16,0.5625,0.3125,0.8125,0.5625,0.3125,0.8125,0.5625,0.00390625,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_pressure_mean,native_wait_aware_replan,interval_only,increase,16,0.2963608673818475,0.16292002763694274,0.4360979155626984,0.2963608673818475,0.15890352508598143,0.44182742835029815,0.5625,0.00390625,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,native_wait_aware_replan,interval_only,increase,16,0.2076478231757967,0.10088102470023871,0.32570388122265975,0.2076478231757967,0.0946032160538913,0.3267274555084774,0.5625,0.00390625,supported,
