seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
241,interval_only,supported_native_episode_loop,-2798.204,8.529,0.478,-9.485,66.0,0.7480916030534351,325.45334661207124,7.277948681052084,-44.38931297709924,4.640631240103601,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11356.066659545899
291,interval_only,supported_native_episode_loop,-11419.763,5.493,0.6386,-6.7702,66.0,0.7480916030534351,346.7172154340391,5.19131564581586,-44.42748091603053,4.483269210578515,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47709.92080078125
301,interval_only,supported_native_episode_loop,-3065.801,6.321,0.5195,-7.359999999999999,66.0,0.7480916030534351,347.1564523324067,12.910315931780596,-34.43893129770992,14.88563564232969,0.5384615384615384,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.271266174316
361,interval_only,supported_native_episode_loop,-3024.825,5.679,0.3388,-6.3566,66.0,0.7480916030534351,334.6892871548505,4.609893850938475,-44.469465648854964,4.372561796136647,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.7834632873535
371,interval_only,supported_native_episode_loop,-2620.089,8.455,0.3905,-9.236,66.0,0.7480916030534351,345.5290592334349,6.108187892751113,-44.25190839694657,4.982172050697761,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4697.726348876953
411,interval_only,supported_native_episode_loop,-20649.724,16.569,0.5165,-17.602,66.0,0.7480916030534351,338.2202399476188,8.440824320749504,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52974.81879882813
431,interval_only,supported_native_episode_loop,-9106.576,5.04,0.4311,-5.9022,66.0,0.7480916030534351,339.52588265147676,9.699268620014372,-44.50381679389313,4.240614325727498,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19080.38361816406
551,interval_only,supported_native_episode_loop,-2702.971,6.565,0.4744,-7.513800000000001,66.0,0.7480916030534351,343.420077675126,6.842034983944317,-44.05343511450382,4.780387695637148,0.9732971731083759,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9767.875611877442
561,interval_only,supported_native_episode_loop,-9312.926,4.891,0.3895,-5.67,66.0,0.7480916030534351,335.62767100766416,6.856030678179681,-44.465648854961835,4.372533476883643,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47705.10498046875
881,interval_only,supported_native_episode_loop,-2684.396,4.151,0.5459,-5.2428,66.0,0.7480916030534351,338.0672088840535,4.0210911105906435,-44.16030534351145,5.363599101966206,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11237.630194091797
