check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
current_learned_gate_vs_interval_ep_reward,ep_reward,current_learned_gate,interval_only,increase,8,6.313375000000008,-80.78433749999985,103.54037499999998,6.313375000000008,-81.50826874999973,102.60937499999994,0.25,0.6875,inconclusive
current_learned_gate_vs_interval_avg_wait_min,avg_wait_min,current_learned_gate,interval_only,decrease,8,0.13287499999999997,-0.014499999999999957,0.3807531249999999,-0.13287499999999997,-0.3816249999999999,0.014499999999999957,0.375,1.0,not_supported
current_learned_gate_vs_interval_score,score,current_learned_gate,interval_only,increase,8,-0.12109999999999976,-0.3399249999999998,0.013050000000000228,-0.12109999999999976,-0.3399443749999998,0.014600000000000168,0.125,0.375,not_supported
current_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,current_learned_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_total1_gate_vs_interval_ep_reward,ep_reward,safe_total1_gate,interval_only,increase,8,-56.46162500000031,-143.59345312500022,-5.024250000000222,-56.46162500000031,-144.49244687500038,-4.187128125000249,0.0,0.03125,not_supported
safe_total1_gate_vs_interval_avg_wait_min,avg_wait_min,safe_total1_gate,interval_only,decrease,8,0.11437500000000023,0.03212500000000007,0.22403125000000046,-0.11437500000000023,-0.22350625000000068,-0.031103125000004304,0.0,0.125,not_supported
safe_total1_gate_vs_interval_score,score,safe_total1_gate,interval_only,increase,8,-0.12967500000000032,-0.2571331250000003,-0.03465000000000029,-0.12967500000000032,-0.2510475000000005,-0.033816250000004835,0.0,0.125,not_supported
safe_total1_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,safe_total1_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_strong_gate_vs_interval_ep_reward,ep_reward,safe_strong_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_strong_gate_vs_interval_avg_wait_min,avg_wait_min,safe_strong_gate,interval_only,decrease,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_strong_gate_vs_interval_score,score,safe_strong_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_strong_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,safe_strong_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_lf_gate_vs_interval_ep_reward,ep_reward,safe_lf_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_lf_gate_vs_interval_avg_wait_min,avg_wait_min,safe_lf_gate,interval_only,decrease,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_lf_gate_vs_interval_score,score,safe_lf_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
safe_lf_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,safe_lf_gate,interval_only,increase,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported
