seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
151,interval_only,supported_native_episode_loop,-4974.36,10.024,0.5679,-11.159799999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1374.4854591369628
161,interval_only,supported_native_episode_loop,-2806.211,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,12343.832421875
171,interval_only,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.352178955078
181,interval_only,supported_native_episode_loop,-19828.767,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,89392.86684570313
191,interval_only,supported_native_episode_loop,-4136.882,5.114,0.4247,-5.9634,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,48689.98173828125
201,interval_only,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.694494628908
211,interval_only,supported_native_episode_loop,-4636.787,11.665,0.4461,-12.5572,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,368.2967948913574
221,interval_only,supported_native_episode_loop,-18380.769,4.881,0.5802,-6.0414,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,49856.9279296875
151,current_learned_gate,supported_native_episode_loop,-4988.478,10.181,0.4548,-11.090599999999998,66.0,0.7480916030534351,0.0,4970.0,2.0,2.0,0.9820137900379085,1417.5097259521485
161,current_learned_gate,supported_native_episode_loop,-2811.087,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,2.0,2.0,0.9820137900379085,12343.659497070312
171,current_learned_gate,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3158752441404
181,current_learned_gate,supported_native_episode_loop,-19817.341,14.446,0.7058,-15.8576,66.0,0.7480916030534351,0.0,4969.0,2.0,2.0,0.9820137900379085,88851.8203125
191,current_learned_gate,supported_native_episode_loop,-3857.225,5.063,0.4556,-5.9742,66.0,0.7480916030534351,1.0,4969.0,2.0,2.0,0.9820137900379085,48948.97514648437
201,current_learned_gate,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.68526611328
211,current_learned_gate,supported_native_episode_loop,-4854.391,12.633,0.3867,-13.4064,66.0,0.7480916030534351,0.07692307692307698,4970.0,2.0,2.0,0.9820137900379085,332.0475734710693
221,current_learned_gate,supported_native_episode_loop,-18384.747,4.877,0.5907,-6.0584,66.0,0.7480916030534351,0.0,4972.0,2.0,2.0,0.9820137900379085,49937.0595703125
151,safe_total1_gate,supported_native_episode_loop,-5034.601,10.365,0.536,-11.437000000000001,66.0,0.7480916030534351,0.0,4970.0,1.0,1.0,0.9820137900379085,1449.827359008789
161,safe_total1_gate,supported_native_episode_loop,-2810.01,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,1.0,1.0,0.9820137900379085,12343.631231689453
171,safe_total1_gate,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3158752441404
181,safe_total1_gate,supported_native_episode_loop,-19831.327,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,1.0,1.0,0.9820137900379085,89393.06333007812
191,safe_total1_gate,supported_native_episode_loop,-4488.14,5.431,0.4393,-6.3096,66.0,0.7480916030534351,1.0,4969.0,1.0,1.0,0.9820137900379085,49775.914306640625
201,safe_total1_gate,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.68526611328
211,safe_total1_gate,supported_native_episode_loop,-4667.335,11.92,0.5243,-12.9686,66.0,0.7480916030534351,0.8285988307921013,4970.0,1.0,1.0,0.9820137900379085,343.02521591186525
221,safe_total1_gate,supported_native_episode_loop,-18384.056,4.883,0.5805,-6.0440000000000005,66.0,0.7480916030534351,0.0,4972.0,1.0,1.0,0.9820137900379085,49751.244140625
151,safe_strong_gate,supported_native_episode_loop,-4974.36,10.024,0.5679,-11.159799999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1374.491732788086
161,safe_strong_gate,supported_native_episode_loop,-2806.211,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,12343.83363647461
171,safe_strong_gate,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3158752441404
181,safe_strong_gate,supported_native_episode_loop,-19828.767,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,89392.86455078125
191,safe_strong_gate,supported_native_episode_loop,-4136.882,5.114,0.4247,-5.9634,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,48689.98115234375
