check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,12,0.016750000000115506,-11.274937500000282,16.24351250000026,0.016750000000115506,-12.02963333333354,15.980983333333645,0.25,0.14599609375,inconclusive,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,12,0.009166666666666915,-0.03726458333333281,0.0715854166666665,-0.009166666666666915,-0.07359374999999993,0.03958958333333238,0.5,0.5078125,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,12,-0.0435500000000002,-0.1877683333333336,0.07490166666666603,-0.0435500000000002,-0.1869254166666664,0.07540041666666619,0.5,0.75390625,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,12,49.416666666666664,36.41458333333333,62.0,49.416666666666664,36.9125,62.08541666666666,1.0,0.00048828125,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,12,3.6935000000004643,-12.328347916665471,17.84738958333338,3.6935000000004643,-11.795533333332045,18.761437499999893,0.4166666666666667,1.0,inconclusive,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,12,-0.015250000000000022,-0.0530041666666669,0.006000000000000116,0.015250000000000022,-0.005833333333333284,0.054166666666666995,0.16666666666666666,0.453125,inconclusive,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,12,-0.0067833333333338075,-0.09044166666666721,0.055512916666665885,-0.0067833333333338075,-0.08628750000000089,0.05345041666666578,0.3333333333333333,1.0,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,12,1.5,1.08125,1.9166666666666667,1.5,1.0833333333333333,1.9166666666666667,0.8333333333333334,0.001953125,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,12,3.6935000000004643,-12.328347916665471,17.84738958333338,3.6935000000004643,-11.795533333332045,18.761437499999893,0.4166666666666667,1.0,supported,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,12,-0.015250000000000022,-0.0530041666666669,0.006000000000000116,0.015250000000000022,-0.005833333333333284,0.054166666666666995,0.16666666666666666,0.453125,supported,0.01
