seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_loss
31,interval_only,supported_native_episode_loop,-7982.178,5.565,0.5159,-6.5968,66.0,0.7480916030534351,1.0,4970.0,10744.517810058594
41,interval_only,supported_native_episode_loop,-14560.953,6.925,0.2622,-7.4494,66.0,0.7480916030534351,1.0,4970.0,2058.520538330078
51,interval_only,supported_native_episode_loop,-8887.802,9.858,0.4928,-10.8436,66.0,0.7480916030534351,0.0,4970.0,758.4721435546875
61,interval_only,supported_native_episode_loop,-19669.997,43.445,0.4684,-44.3818,66.0,0.7480916030534351,0.0,4971.0,44881.09470214844
71,interval_only,supported_native_episode_loop,-2999.204,9.301,0.5432,-10.3874,66.0,0.7480916030534351,0.0,4970.0,12467.847900390625
81,interval_only,supported_native_episode_loop,-11203.777,5.416,0.6081,-6.6322,66.0,0.7480916030534351,0.0,4970.0,25241.6208984375
91,interval_only,supported_native_episode_loop,-3569.156,4.161,0.4257,-5.0123999999999995,66.0,0.7480916030534351,0.0,4971.0,5125.343991088867
101,interval_only,supported_native_episode_loop,-2870.473,4.549,0.4948,-5.538600000000001,66.0,0.7480916030534351,0.0,4969.0,4208.991677856446
31,native_promotion_replan,supported_native_episode_loop,-11333.611,5.931,0.5411,-7.0132,157.0,0.40076335877862596,1.0,4970.0,6854.282391357422
41,native_promotion_replan,supported_native_episode_loop,-3908.69,6.311,0.4214,-7.1538,125.0,0.5229007633587787,0.0,4971.0,9205.513238525391
51,native_promotion_replan,supported_native_episode_loop,-18380.187,8.151,0.6657,-9.4824,130.0,0.5038167938931297,0.5926304328674588,4970.0,35661.363500976564
61,native_promotion_replan,supported_native_episode_loop,-17097.856,10.228,0.3888,-11.0056,134.0,0.48854961832061067,0.0,4971.0,43738.02309570312
71,native_promotion_replan,supported_native_episode_loop,-2701.025,4.61,0.5484,-5.7068,93.0,0.6450381679389313,0.07692307692307698,4970.0,1403.2137908935547
81,native_promotion_replan,supported_native_episode_loop,-2727.602,4.823,0.3653,-5.5536,110.0,0.5801526717557252,0.0,4970.0,6935.219485473633
91,native_promotion_replan,supported_native_episode_loop,-10199.688,4.818,0.5093,-5.8366,84.0,0.6793893129770993,0.0,4971.0,1455.4789199829102
101,native_promotion_replan,supported_native_episode_loop,-2739.135,8.51,0.3963,-9.3026,134.0,0.48854961832061067,0.6923076923076924,4970.0,1745.6235244750976
