check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,76,-2.3508421052633164,-38.77076578947401,28.56892598684182,-2.3508421052633164,-36.22011940789486,28.661710197368155,0.4605263157894737,0.5665734423986847,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,76,0.022263157894736863,-0.08046644736842107,0.15530756578947358,-0.022263157894736863,-0.15270460526315796,0.08451447368421046,0.35526315789473684,1.0,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,76,-0.031265789473684136,-0.16357552631578962,0.07398822368421058,-0.031265789473684136,-0.15607098684210527,0.07857546052631605,0.40789473684210525,0.8974218269914305,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,76,57.026315789473685,50.223026315789475,64.21118421052631,57.026315789473685,49.93355263157895,64.38157894736842,1.0,2.6469779601696886e-23,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,76,5.202276315789408,-5.438260526315868,16.26581776315782,5.202276315789408,-5.950370394736978,16.61221282894726,0.5,0.39612484029702977,positive_mixed,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,76,0.01692105263157888,-0.0028562500000000575,0.04719999999999998,-0.01692105263157888,-0.0475950657894738,0.00299046052631576,0.3026315789473684,0.8854334972865132,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,76,-0.014300000000000002,-0.0485242763157894,0.014554078947368211,-0.014300000000000002,-0.04889348684210517,0.01495026315789472,0.35526315789473684,1.0,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,76,1.736842105263158,1.5921052631578947,1.868421052631579,1.736842105263158,1.5921052631578947,1.868421052631579,0.8947368421052632,6.776263578034403e-21,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,76,5.202276315789408,-5.438260526315868,16.26581776315782,5.202276315789408,-5.950370394736978,16.61221282894726,0.5,0.39612484029702977,supported,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,76,0.01692105263157888,-0.0028562500000000575,0.04719999999999998,-0.01692105263157888,-0.0475950657894738,0.00299046052631576,0.3026315789473684,0.8854334972865132,inconclusive,0.01
