seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
31,interval_only,supported_native_episode_loop,-7230.725,3.796,0.5274,-4.8508,66.0,0.7480916030534351,0.3846153846153846,4971.0,0.0,0.0,0.0,7097.878125
41,interval_only,supported_native_episode_loop,-11777.277,5.337,0.401,-6.138999999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1431.037808227539
51,interval_only,supported_native_episode_loop,-20933.385,35.737,0.6129,-36.9628,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,2379.68857421875
61,interval_only,supported_native_episode_loop,-3348.018,5.069,0.6153,-6.2996,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,42082.67075195313
71,interval_only,supported_native_episode_loop,-3138.154,4.094,0.5596,-5.2132000000000005,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,257.92721061706544
81,interval_only,supported_native_episode_loop,-12353.228,4.743,0.5804,-5.9038,66.0,0.7480916030534351,0.07692307692307698,4970.0,0.0,0.0,0.0,7951.366589355469
91,interval_only,supported_native_episode_loop,-18277.497,4.642,0.612,-5.8660000000000005,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,4104.521875
101,interval_only,supported_native_episode_loop,-19976.74,19.978,0.6352,-21.2484,66.0,0.7480916030534351,1.0,4971.0,0.0,0.0,0.0,5720.2262512207035
111,interval_only,supported_native_episode_loop,-14021.049,4.103,0.6109,-5.3248,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,558.2311218261718
121,interval_only,supported_native_episode_loop,-12398.018,6.163,0.2259,-6.614800000000001,66.0,0.7480916030534351,0.35731765676543636,4970.0,0.0,0.0,0.0,3338.9527282714844
131,interval_only,supported_native_episode_loop,-18589.866,6.005,0.6346,-7.2742,66.0,0.7480916030534351,0.5558903347145858,4971.0,0.0,0.0,0.0,2450.293591308594
141,interval_only,supported_native_episode_loop,-17267.582,38.44,0.5734,-39.5868,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,3950.349987792969
151,interval_only,supported_native_episode_loop,-4974.36,10.024,0.5679,-11.159799999999999,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1374.4889671325684
161,interval_only,supported_native_episode_loop,-2806.211,4.44,0.4427,-5.3254,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,12343.832330322266
171,interval_only,supported_native_episode_loop,-16021.059,20.814,0.3396,-21.4932,66.0,0.7480916030534351,0.8461538461538461,4970.0,0.0,0.0,0.0,2543.3321166992187
181,interval_only,supported_native_episode_loop,-19828.767,14.453,0.6218,-15.6966,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,89392.865625
191,interval_only,supported_native_episode_loop,-4136.882,5.114,0.4247,-5.9634,66.0,0.7480916030534351,1.0,4969.0,0.0,0.0,0.0,48689.980639648435
201,interval_only,supported_native_episode_loop,-18943.941,5.273,0.5776,-6.4281999999999995,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,23318.719641113283
211,interval_only,supported_native_episode_loop,-4636.787,11.665,0.4461,-12.5572,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,368.3008804321289
221,interval_only,supported_native_episode_loop,-18380.769,4.881,0.5802,-6.0414,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,49856.929028320315
231,interval_only,supported_native_episode_loop,-10292.547,4.473,0.5062,-5.4854,66.0,0.7480916030534351,0.6923076923076924,4970.0,0.0,0.0,0.0,663.3968620300293
241,interval_only,supported_native_episode_loop,-2783.521,8.757,0.4943,-9.7456,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,5373.374740600586
251,interval_only,supported_native_episode_loop,-2550.092,3.817,0.3463,-4.5096,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,38.851370096206665
261,interval_only,supported_native_episode_loop,-2731.727,7.317,0.6153,-8.5476,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,1531.1049346923828
271,interval_only,supported_native_episode_loop,-20545.535,23.029,0.277,-23.583,66.0,0.7480916030534351,0.5384615384615384,4970.0,0.0,0.0,0.0,34854.309814453125
281,interval_only,supported_native_episode_loop,-15200.391,4.541,0.5712,-5.683400000000001,66.0,0.7480916030534351,0.0,4972.0,0.0,0.0,0.0,21888.7439453125
291,interval_only,supported_native_episode_loop,-11614.013,5.438,0.4635,-6.365,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,31496.505810546874
301,interval_only,supported_native_episode_loop,-2994.682,6.166,0.5755,-7.317,66.0,0.7480916030534351,0.5384615384615384,4971.0,0.0,0.0,0.0,1515.2797546386719
311,interval_only,supported_native_episode_loop,-13184.777,5.46,0.6136,-6.6872,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,49495.94345703125
321,interval_only,supported_native_episode_loop,-2792.415,4.866,0.4523,-5.7706,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,29542.167211914064
331,interval_only,supported_native_episode_loop,-3751.618,5.627,0.3933,-6.4136,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,204.53062629699707
341,interval_only,supported_native_episode_loop,-17112.298,15.84,0.5593,-16.9586,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,9623.2166015625
351,interval_only,supported_native_episode_loop,-16912.177,5.281,0.4916,-6.2642,66.0,0.7480916030534351,0.0,4969.0,0.0,0.0,0.0,1673.7686386108398
361,interval_only,supported_native_episode_loop,-3080.579,5.763,0.3349,-6.4328,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,410.175032043457
371,interval_only,supported_native_episode_loop,-2596.4,8.684,0.3927,-9.469399999999998,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,2647.7105453491213
381,interval_only,supported_native_episode_loop,-19747.392,30.416,0.5863,-31.5886,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,71355.87368164063
391,interval_only,supported_native_episode_loop,-14523.665,5.853,0.6874,-7.2278,66.0,0.7480916030534351,1.0,4971.0,0.0,0.0,0.0,413.13517837524415
401,interval_only,supported_native_episode_loop,-2758.475,5.014,0.4417,-5.8974,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,29623.039135742187
411,interval_only,supported_native_episode_loop,-20657.581,17.475,0.5983,-18.6716,66.0,0.7480916030534351,0.23076923076923078,4970.0,0.0,0.0,0.0,37593.409423828125
421,interval_only,supported_native_episode_loop,-2841.074,4.282,0.5266,-5.3352,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1456.9720176696778
431,interval_only,supported_native_episode_loop,-9121.651,5.128,0.5215,-6.171,66.0,0.7480916030534351,1.0,4972.0,0.0,0.0,0.0,7763.1868347167965
441,interval_only,supported_native_episode_loop,-19567.611,40.056,0.4512,-40.9584,66.0,0.7480916030534351,0.0,4971.0,0.0,0.0,0.0,24940.230737304686
451,interval_only,supported_native_episode_loop,-2694.681,4.492,0.4936,-5.4792,66.0,0.7480916030534351,1.0,4970.0,0.0,0.0,0.0,18583.714953613282
461,interval_only,supported_native_episode_loop,-19016.331,6.996,0.4041,-7.804200000000001,66.0,0.7480916030534351,0.5384615384615384,4970.0,0.0,0.0,0.0,7659.407763671875
471,interval_only,supported_native_episode_loop,-20045.458,10.83,0.6645,-12.159,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,1320.4901458740235
481,interval_only,supported_native_episode_loop,-3146.3,5.212,0.4436,-6.0992,66.0,0.7480916030534351,0.0,4970.0,0.0,0.0,0.0,6927.545462036132
