check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin,selector,selector_metric,selector_threshold,stress_subset
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,512,8.408195515349915,0.1645266149947747,22.12228154302738,8.408195515349915,0.16905043857287155,23.272713168110283,0.5,1.0256025554222473e-59,supported,,,,,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,512,-0.009169145543462383,-0.013253504336840678,-0.0019820505766151865,0.009169145543462383,0.0017508811773081319,0.013306818386106268,0.51953125,1.5200584370388338e-76,supported,,,,,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,512,2.6456502421976014,2.3812120423364256,2.9032312972510765,2.6456502421976014,2.393763939993717,2.9256991832464347,0.517578125,1.3529279127895581e-74,supported,,,,,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,512,0.048828125,0.029296875,0.0703125,0.048828125,0.029296875,0.0703125,0.044921875,2.3841857910156245e-07,supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,512,0.05859375,0.03515625,0.0859375,0.05859375,0.03515625,0.0859375,0.044921875,2.3841857910156245e-07,supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_target_headway_guard_rejects,shared_ppo_target_headway_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_target_headway_project_count,shared_ppo_target_headway_project_count,native_wait_aware_replan,interval_only,increase,512,0.001953125,0.0,0.005859375,0.001953125,0.0,0.005859375,0.001953125,1.0,inconclusive,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_target_headway_project_correction_mean_s,shared_ppo_target_headway_project_correction_mean_s,native_wait_aware_replan,interval_only,increase,512,0.002049076370894909,0.0,0.006147229112684727,0.002049076370894909,0.0,0.006147229112684727,0.001953125,1.0,inconclusive,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_pressure_guard_rejects,shared_ppo_pressure_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_soft_pressure_cap_count,shared_ppo_soft_pressure_cap_count,native_wait_aware_replan,interval_only,increase,512,0.525390625,0.36318359375,0.7109375,0.525390625,0.359326171875,0.712890625,0.10546875,1.1102230246251552e-16,supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_soft_pressure_cap_scale_mean,shared_ppo_soft_pressure_cap_scale_mean,native_wait_aware_replan,interval_only,decrease,512,-0.0051758381972369025,-0.006863023352041983,-0.0036376834700597147,0.0051758381972369025,0.003650322290825391,0.006886782193214605,0.10546875,1.1102230246251552e-16,supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_reward_floor_guard_rejects,shared_ppo_reward_floor_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_confirm_guard_rejects,shared_ppo_confirm_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_value_guard_rejects,shared_ppo_value_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_throughput_guard_rejects,shared_ppo_throughput_guard_rejects,native_wait_aware_replan,interval_only,increase,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,,,,,
native_wait_aware_replan_vs_interval_shared_ppo_throughput_floor_project_count,shared_ppo_throughput_floor_project_count,native_wait_aware_replan,interval_only,increase,512,0.2265625,0.138671875,0.32817382812499973,0.2265625,0.142578125,0.32421875,0.07421875,7.275957614183428e-12,supported,,,,,
