source,seed,variant,status,ep_reward,avg_wait_min,headway_cv,native_boarded_pax,native_alighted_pax,native_avg_board_wait_min,native_avg_onboard_load,native_peak_onboard_load,shared_ppo_gate_replans,upper_plan_decisions,control_score
afc,31,native_real_interval,supported_native_episode_loop,-7391.261,22.568,0.6205,20746.0,20746.0,22.56797213920756,0.5161146122485293,1.0,0.0,88.0,-7629.465986069605
afc,31,native_real_freqhrl,supported_native_episode_loop,-7329.675,22.578,0.635,20747.0,20747.0,22.5783221670603,0.516357128898031,1.0,4.0,90.0,-7568.014161083531
afc,41,native_real_interval,supported_native_episode_loop,-10022.258,41.357,0.5177,16954.0,16954.0,41.35730899296134,0.44655377521899525,1.0,0.0,88.0,-10457.54205449648
afc,41,native_real_freqhrl,supported_native_episode_loop,-9932.989,41.203,0.4419,16948.0,16948.0,41.20282235858705,0.4456633520639622,1.0,4.0,90.0,-10366.504211179294
afc,51,native_real_interval,supported_native_episode_loop,-20709.234,66.848,0.4315,23218.0,23218.0,66.84808697275102,0.603451788591177,1.0,0.0,88.0,-21412.001043486376
afc,51,native_real_freqhrl,supported_native_episode_loop,-20678.916,66.465,0.3733,23210.0,23210.0,66.46514433433865,0.6035051800588911,1.0,4.0,90.0,-21377.54517216717
apc,31,native_real_interval,supported_native_episode_loop,-7929.484,21.704,0.5138,15982.0,15982.0,21.704350727902224,0.4006290039535124,1.0,0.0,88.0,-8158.403775363951
apc,31,native_real_freqhrl,supported_native_episode_loop,-7846.133,21.681,0.5135,15982.0,15982.0,21.680711633921494,0.40094539669818346,1.0,4.0,90.0,-8074.810355816961
apc,41,native_real_interval,supported_native_episode_loop,-11031.02,12.387,0.4517,18495.0,18495.0,12.387331711273317,0.49634156178752714,1.0,0.0,88.0,-11161.987065855637
apc,41,native_real_freqhrl,supported_native_episode_loop,-10857.757,12.603,0.4937,18494.0,18494.0,12.60301989834541,0.4968005454511939,1.0,4.0,90.0,-10991.075909949173
apc,51,native_real_interval,supported_native_episode_loop,-20768.875,49.347,0.5554,22846.0,22846.0,49.3472869065336,0.5909596995652545,1.0,0.0,88.0,-21288.12944345327
apc,51,native_real_freqhrl,supported_native_episode_loop,-20614.067,49.183,0.528,22831.0,22831.0,49.18271429197144,0.5901430557380577,1.0,4.0,90.0,-21131.544357145987
