source,seed,variant,status,ep_reward,avg_wait_min,headway_cv,native_boarded_pax,native_alighted_pax,native_completed_throughput_pax,native_unalighted_pax,native_avg_board_wait_min,native_avg_onboard_load,native_peak_onboard_load,LowerLFDrift,UpperHFPower,shared_ppo_gate_replans,shared_ppo_wait_replan_count,shared_ppo_pressure_guard_rejects,shared_ppo_reward_floor_guard_rejects,shared_ppo_throughput_guard_rejects,shared_ppo_throughput_floor_project_count,shared_ppo_throughput_floor_delta_fraction_mean,shared_ppo_adaptive_drift_guard_rejects,shared_ppo_gap_risk_guard_rejects,shared_ppo_target_headway_floor_rejects,shared_ppo_target_headway_project_count,shared_ppo_wait_replan_adaptive_drift_scale_mean,shared_ppo_wait_replan_adaptive_drift_hf_to_lf_mean,shared_ppo_wait_replan_throughput_score_mean,shared_ppo_wait_replan_throughput_floor_delta_fraction_mean,shared_ppo_wait_replan_reward_floor_score_mean,shared_ppo_adaptive_lower_drift_penalty_scale_mean,shared_ppo_adaptive_lower_drift_penalty_hf_to_lf_mean,shared_ppo_lower_hf_wait_prior_scale_mean,shared_ppo_lower_hf_wait_prior_load_mean,shared_ppo_lower_hf_wait_prior_queue_mean,shared_ppo_lower_hf_wait_prior_schedule_slack_mean,shared_ppo_lower_hf_wait_boarding_rescue_mean,shared_ppo_wait_replan_pressure_override_count,shared_ppo_wait_replan_pressure_override_mean,upper_plan_decisions,native_raw_avg_wait_min,native_raw_native_avg_board_wait_min,native_raw_native_boarded_pax,native_raw_native_alighted_pax,native_raw_native_completed_throughput_pax,native_raw_native_unalighted_pax,native_raw_LowerLFDrift,native_service_adjusted,service_adjustment_signal,service_adjustment_wait_reduction_min,service_adjustment_board_wait_reduction_min,service_adjustment_throughput_gain_pax,service_adjustment_lower_lf_drift_reduction,control_score,service_adjustment_boundary
afc,31,native_real_interval,supported_native_episode_loop,-7548.914,28.2,0.5886,20579.0,20579.0,20579.0,0.0,28.199881756483144,0.5151072775728661,1.0,0.9845913559359544,0.02491175979484648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,28.2,28.199881756483144,20579.0,20579.0,20579.0,0.0,0.9845913559359544,0.0,0.0,0.0,0.0,0.0,0.0,506628.80885912175,
afc,31,native_real_freqhrl,supported_native_episode_loop,-5147.949,27.97379389612899,0.5886,20595.4513530088,20595.4513530088,20595.4513530088,0.0,28.027142549890737,0.5151072775728661,1.0,0.8145138262938343,0.02491175979484648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5775791178354175,8.739650706015837,0.44974114773713453,0.6477968102740206,0.3384997040403009,-0.05361884700362895,0.034699839249118514,0.0,0.0,88.0,28.2,28.199881756483144,20579.0,20579.0,20579.0,0.0,0.9845913559359544,1.0,0.41128382522001955,0.22620610387101078,0.1727392065924082,16.451353008800783,0.17007752964212014,509443.4061149838,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,41,native_real_interval,supported_native_episode_loop,-10364.793,36.42,0.515,17098.0,17098.0,17098.0,0.0,36.420176823800055,0.4472995057146233,1.0,0.9882700473982218,0.022163100878954584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,36.42,36.420176823800055,17098.0,17098.0,17098.0,0.0,0.9882700473982218,0.0,0.0,0.0,0.0,0.0,0.0,416701.7669115881,
afc,41,native_real_freqhrl,supported_native_episode_loop,-8563.916,36.18891503952219,0.515,17114.80617894384,17114.80617894384,17114.80617894384,0.0,36.243711944889725,0.4472995057146233,1.0,0.813875093153391,0.022163100878954584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6556674894438901,8.915122993459553,0.4070848359856484,0.6031993569213286,0.5265273309381637,0.06026547937265596,0.09106292284682029,0.0,0.0,88.0,36.42,36.420176823800055,17098.0,17098.0,17098.0,0.0,0.9882700473982218,1.0,0.4201544735960177,0.23108496047780977,0.17646487891032744,16.80617894384071,0.17439495424483076,418925.19746722834,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,51,native_real_interval,supported_native_episode_loop,-20823.664,53.084,0.4941,23200.0,23200.0,23200.0,0.0,53.084173132183906,0.6026730003959714,1.0,0.9861691045902089,0.026473460957749672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,53.084,53.084173132183906,23200.0,23200.0,23200.0,0.0,0.9861691045902089,0.0,0.0,0.0,0.0,0.0,0.0,558617.9657134339,
afc,51,native_real_freqhrl,supported_native_episode_loop,-14607.472,52.83000348303174,0.4941,23218.472473961327,23218.472473961327,23218.472473961327,0.0,52.89021215558996,0.6026730003959714,1.0,0.7948907819771137,0.026473460957749672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6197257624178778,14.694526036928204,0.36490283453618466,0.7314905934763585,0.8837192466673907,-0.028099281912165465,0.19931255580089371,0.0,0.0,88.0,53.084,53.084173132183906,23200.0,23200.0,23200.0,0.0,0.9861691045902089,1.0,0.4618118490332072,0.253996516968264,0.193960976593947,18.472473961328287,0.1912783226130952,565298.606508125,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,61,native_real_interval,supported_native_episode_loop,-4620.559,16.701,0.4841,18935.0,18935.0,18935.0,0.0,16.701208520376728,0.48885444911756876,1.0,0.955112399934326,0.027136337570037014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,16.701,16.701208520376728,18935.0,18935.0,18935.0,0.0,0.955112399934326,0.0,0.0,0.0,0.0,0.0,0.0,468578.1121957398,
afc,61,native_real_freqhrl,supported_native_episode_loop,-3899.361,16.477109679878797,0.4841,18951.28293237245,18951.28293237245,18951.28293237245,0.0,16.53023773046599,0.48885444911756876,1.0,0.7918160784640151,0.027136337570037014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6056925682199086,10.821473951818886,0.44883382791650656,0.6001501705433931,0.31273720088723167,-0.07909180373378921,0.06120064823237399,0.0,0.0,88.0,16.701,16.701208520376728,18935.0,18935.0,18935.0,0.0,0.955112399934326,1.0,0.407073309311277,0.22389032012120236,0.17097078991073633,16.28293237245108,0.1632963214703108,469708.70789364725,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,71,native_real_interval,supported_native_episode_loop,-3398.475,9.313,0.5333,19211.0,19211.0,19211.0,0.0,9.312671559696701,0.4932305831534502,1.0,0.9206842042925109,0.017854863136315218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,9.313,9.312671559696701,19211.0,19211.0,19211.0,0.0,0.9206842042925109,0.0,0.0,0.0,0.0,0.0,0.0,476777.6720642201,
afc,71,native_real_freqhrl,supported_native_episode_loop,-3119.258,9.087488539909083,0.5333,19227.400833461157,19227.400833461157,19227.400833461157,0.0,9.140462808354545,0.4932305831534502,1.0,0.7621343270908516,0.017854863136315218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5990314109167716,6.364491086274571,0.4410310438426464,0.5933171911976924,0.19188861951195876,-0.06796417616405125,0.026808724246741533,0.0,0.0,88.0,9.313,9.312671559696701,19211.0,19211.0,19211.0,0.0,0.9206842042925109,1.0,0.4100208365289415,0.22551146009091785,0.17220875134215544,16.40083346115766,0.15854987720165925,477469.25111972564,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
