check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,4,19.451999999999884,-34.75825000000077,91.16975000000014,19.451999999999884,-34.75825000000077,91.16975000000014,0.75,0.625,positive_mixed,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,4,-0.017999999999999572,-0.15349999999999997,0.09900000000000109,0.017999999999999572,-0.09900000000000109,0.15349999999999997,0.25,1.0,inconclusive,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,4,-0.03590000000000115,-0.17040000000000255,0.0631999999999997,-0.03590000000000115,-0.17040000000000255,0.0631999999999997,0.25,1.0,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,4,42.75,28.0,56.5,42.75,28.0,56.5,1.0,0.125,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,4,-10.635499999999183,-28.583249999999452,-0.6134999999999309,-10.635499999999183,-28.583249999999452,-0.6134999999999309,0.0,0.25,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,4,-0.006000000000000005,-0.018750000000000266,0.0007500000000002505,0.006000000000000005,-0.0007500000000002505,0.018750000000000266,0.25,1.0,inconclusive,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,4,-0.023450000000000415,-0.06960000000000033,0.0,-0.023450000000000415,-0.06960000000000033,0.0,0.0,0.5,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,4,1.5,0.5,2.0,1.5,0.5,2.0,0.75,0.25,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,4,-10.635499999999183,-28.583249999999452,-0.6134999999999309,-10.635499999999183,-28.583249999999452,-0.6134999999999309,0.0,0.25,positive_mixed,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,4,-0.006000000000000005,-0.018750000000000266,0.0007500000000002505,0.006000000000000005,-0.0007500000000002505,0.018750000000000266,0.25,1.0,supported,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,4,3606.9062500000005,-666.9357499999999,10279.1845,3606.9062500000005,-666.9357499999999,10279.1845,0.75,0.625,positive_mixed,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,4,-3.0065,-7.9857499999999995,0.7805000000000004,3.0065,-0.7805000000000004,7.9857499999999995,0.5,1.0,positive_mixed,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,4,2.9730499999999997,-0.6546999999999996,7.7462,2.9730499999999997,-0.6546999999999996,7.7462,0.5,1.0,positive_mixed,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,4,1.5,0.5,2.0,1.5,0.5,2.0,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,4,1.5,0.5,2.0,1.5,0.5,2.0,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,native_wait_aware_replan,interval_only,increase,4,11.810318677222595,3.915929079055786,16.761970065920934,11.810318677222595,3.915929079055786,16.761970065920934,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_mean_s,native_wait_aware_replan,interval_only,decrease,4,-11.810318677222595,-16.761970065920934,-3.915929079055786,11.810318677222595,3.915929079055786,16.761970065920934,0.75,0.25,supported,
native_wait_aware_replan_vs_interval_upper_plan_target_mean,upper_plan_target_mean,native_wait_aware_replan,interval_only,decrease,4,-2.8813229301131855,-3.5168789454923655,-2.3231654908328494,2.8813229301131855,2.3231654908328494,3.5168789454923655,1.0,0.125,supported,
native_wait_aware_replan_vs_interval_terminal_launch_shift_mean,terminal_launch_shift_mean,native_wait_aware_replan,interval_only,decrease,4,-0.3043893129771007,-1.1106870229007644,0.12499999999999822,0.3043893129771007,-0.12499999999999822,1.1106870229007644,0.25,0.625,inconclusive,
native_wait_aware_replan_vs_interval_ep_reward_noninferiority,ep_reward,native_wait_aware_replan,interval_only,increase,4,3606.9062500000005,-666.9357499999999,10279.1845,3606.9062500000005,-666.9357499999999,10279.1845,0.75,0.625,positive_mixed,15.0
native_wait_aware_replan_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_wait_aware_replan,interval_only,decrease,4,-3.0065,-7.9857499999999995,0.7805000000000004,3.0065,-0.7805000000000004,7.9857499999999995,0.5,1.0,positive_mixed,0.01
