check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,noninferiority_margin
native_promotion_replan_vs_interval_ep_reward,ep_reward,native_promotion_replan,interval_only,increase,64,-2.387359374999974,-18.56863984374997,16.304423828125056,-2.387359374999974,-19.060926953124827,15.793582031250189,0.546875,0.5323087760278421,not_supported,
native_promotion_replan_vs_interval_avg_wait_min,avg_wait_min,native_promotion_replan,interval_only,decrease,64,0.02581250000000001,-5.195312499998896e-05,0.058510156249999876,-0.02581250000000001,-0.059066796875000036,0.0003140624999999836,0.25,0.03998605682605216,not_supported,
native_promotion_replan_vs_interval_score,score,native_promotion_replan,interval_only,increase,64,-0.006081250000000038,-0.049674296874999926,0.03208406249999992,-0.006081250000000038,-0.04759140625000001,0.0322933593749998,0.390625,1.0,not_supported,
native_promotion_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_promotion_replan,interval_only,increase,64,59.875,51.826953125,68.234765625,59.875,51.875,68.46953124999999,1.0,1.0842021724855044e-19,supported,
native_learned_gate_vs_interval_ep_reward,ep_reward,native_learned_gate,interval_only,increase,64,-11.60703125000002,-47.33379843750014,18.953122265624977,-11.60703125000002,-48.509817187499806,18.381426953124976,0.5,0.5118423084381689,not_supported,
native_learned_gate_vs_interval_avg_wait_min,avg_wait_min,native_learned_gate,interval_only,decrease,64,0.0347187499999999,-0.00012539062500005902,0.08304765624999991,-0.0347187499999999,-0.08446640624999974,0.00018750000000005638,0.328125,1.0,not_supported,
native_learned_gate_vs_interval_score,score,native_learned_gate,interval_only,increase,64,-0.022224999999999828,-0.06453187499999978,0.016804218750000297,-0.022224999999999828,-0.06491640624999974,0.017001328125000208,0.34375,1.0,not_supported,
native_learned_gate_vs_interval_upper_plan_decisions,upper_plan_decisions,native_learned_gate,interval_only,increase,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_learned_gate_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_learned_gate,interval_only,increase,64,1.75,1.59375,1.890625,1.75,1.59375,1.890625,0.90625,6.938893903907228e-18,supported,
native_learned_gate_vs_interval_ep_reward_noninferiority,ep_reward,native_learned_gate,interval_only,increase,64,-11.60703125000002,-47.33379843750014,18.953122265624977,-11.60703125000002,-48.509817187499806,18.381426953124976,0.5,0.5118423084381689,positive_mixed,15.0
native_learned_gate_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_learned_gate,interval_only,decrease,64,0.0347187499999999,-0.00012539062500005902,0.08304765624999991,-0.0347187499999999,-0.08446640624999974,0.00018750000000005638,0.328125,1.0,inconclusive,0.01
native_wait_aware_replan_vs_interval_ep_reward,ep_reward,native_wait_aware_replan,interval_only,increase,64,1.7565781249999404,-0.6381437500000002,4.8603429687499204,1.7565781249999404,-0.6128488281249848,4.676631640624932,0.140625,0.8238029479980469,inconclusive,
native_wait_aware_replan_vs_interval_avg_wait_min,avg_wait_min,native_wait_aware_replan,interval_only,decrease,64,-0.003937499999999983,-0.01086054687499995,0.00026562499999999156,0.003937499999999983,-0.0002972656250000011,0.010845312499999921,0.0625,1.0,inconclusive,
native_wait_aware_replan_vs_interval_score,score,native_wait_aware_replan,interval_only,increase,64,0.011068749999999947,-0.00041898437499998176,0.0257663281249999,0.011068749999999947,-0.0005384375000000506,0.02684617187499989,0.078125,1.0,inconclusive,
native_wait_aware_replan_vs_interval_upper_plan_decisions,upper_plan_decisions,native_wait_aware_replan,interval_only,increase,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,not_supported,
native_wait_aware_replan_vs_interval_shared_ppo_gate_replans,shared_ppo_gate_replans,native_wait_aware_replan,interval_only,increase,64,0.3125,0.203125,0.421875,0.3125,0.203125,0.4375,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_count,shared_ppo_wait_replan_count,native_wait_aware_replan,interval_only,increase,64,0.3125,0.203125,0.421875,0.3125,0.203125,0.4375,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_pressure_mean,native_wait_aware_replan,interval_only,increase,64,0.14641380849365598,0.09000442908914054,0.20397809412115517,0.14641380849365598,0.08999430884706314,0.20429891705973457,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,native_wait_aware_replan,interval_only,increase,64,0.09105174465820795,0.05027239781039664,0.13457687569550375,0.09105174465820795,0.050234553281424454,0.13509242323176643,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_gap_ratio_mean,native_wait_aware_replan,interval_only,increase,64,0.33508291998615825,0.21561000883386516,0.4550079429523382,0.33508291998615825,0.21563854930313991,0.4612534591388152,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_hold_mean,native_wait_aware_replan,interval_only,increase,64,0.056029274106549565,0.018168915396199737,0.1013060932507869,0.056029274106549565,0.018295379002665868,0.10394604354587499,0.140625,0.00390625,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_same_wait_mean,native_wait_aware_replan,interval_only,increase,64,0.23596751131117344,0.14857051309663802,0.32627869239076956,0.23596751131117344,0.14690386559814214,0.3254270371515304,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,native_wait_aware_replan,interval_only,increase,64,0.6822411903297646,0.3844518456816284,0.9942835565276003,0.6822411903297646,0.38427912297835043,1.0022852030408615,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_mean_s,native_wait_aware_replan,interval_only,decrease,64,-0.6822411903297646,-0.9942835565276003,-0.38445184568162843,0.6822411903297646,0.38427912297835043,1.0022852030408615,0.3125,1.9073486328125e-06,supported,
native_wait_aware_replan_vs_interval_upper_plan_target_mean,upper_plan_target_mean,native_wait_aware_replan,interval_only,decrease,64,0.0890641759348263,0.017471680235271392,0.16708197581644477,-0.0890641759348263,-0.1662155231008703,-0.020439964121652644,0.09375,0.11531829833984375,not_supported,
native_wait_aware_replan_vs_interval_terminal_launch_shift_mean,terminal_launch_shift_mean,native_wait_aware_replan,interval_only,decrease,64,0.15744274809160314,-0.0001789122137404453,0.4705391221374045,-0.15744274809160314,-0.4706598878816794,0.00017891221374033428,0.03125,1.0,not_supported,
native_wait_aware_replan_vs_interval_ep_reward_noninferiority,ep_reward,native_wait_aware_replan,interval_only,increase,64,1.7565781249999404,-0.6381437500000002,4.8603429687499204,1.7565781249999404,-0.6128488281249848,4.676631640624932,0.140625,0.8238029479980469,supported,15.0
native_wait_aware_replan_vs_interval_avg_wait_min_noninferiority,avg_wait_min,native_wait_aware_replan,interval_only,decrease,64,-0.003937499999999983,-0.01086054687499995,0.00026562499999999156,0.003937499999999983,-0.0002972656250000011,0.010845312499999921,0.0625,1.0,supported,0.01
