seed,variant,status,episodes,avg_wait_min_mean,headway_cv_mean,ep_reward_mean,score_mean,final_avg_wait_min,final_headway_cv,final_ep_reward,final_score,wait_improvement,reward_improvement,freq_wait_lower_net_mean,freq_wait_upper_credit_mean,freq_wait_upper_credit_std,freq_wait_low_share_mean,freq_wait_lower_high_share_mean,freq_wait_boarded_pax,shared_ppo_lower_samples
31,no_wait_credit,supported_native_episode_loop,3,5.3999999999999995,0.4600333333333333,-2691.965,-6.3200666666666665,6.206,0.4721,-2639.694,-7.150200000000001,-2.2600000000000002,85.00599999999986,0.0,0.0,0.0,0.0,0.0,0.0,4972.0
41,no_wait_credit,supported_native_episode_loop,3,7.9863333333333335,0.4726333333333333,-2809.147333333333,-8.931600000000001,13.729,0.4296,-2582.097,-14.588199999999999,-9.936,17.460999999999785,0.0,0.0,0.0,0.0,0.0,0.0,4970.0
51,no_wait_credit,supported_native_episode_loop,3,34.254333333333335,0.5823666666666667,-17059.660333333337,-35.41906666666667,43.206,0.5795,-17553.222,-44.365,-13.934000000000005,-1569.201000000001,0.0,0.0,0.0,0.0,0.0,0.0,4970.0
61,no_wait_credit,supported_native_episode_loop,3,5.14,0.5382,-3873.733666666667,-6.2164,5.555,0.5405,-2949.197,-6.635999999999999,-0.37299999999999933,1536.9920000000002,0.0,0.0,0.0,0.0,0.0,0.0,4970.0
71,no_wait_credit,supported_native_episode_loop,3,5.766000000000001,0.4906,-2760.4396666666667,-6.747199999999999,6.559,0.4424,-2809.67,-7.4438,-2.4640000000000004,32.284999999999854,0.0,0.0,0.0,0.0,0.0,0.0,4970.0
31,native_wait_credit,supported_native_episode_loop,3,5.400333333333333,0.4600333333333333,-2705.9776666666667,-6.3204,6.207,0.4721,-2667.58,-7.1512,-2.2609999999999997,57.54100000000017,-0.0033418998245053864,-1.0092936587501426e-17,0.45,0.8655023277874151,0.1018008768122194,18554.666666666668,4972.0
41,native_wait_credit,supported_native_episode_loop,3,4.996666666666667,0.5157,-2779.5986666666668,-6.028066666666668,5.025,0.4993,-2540.636,-6.0236,-1.2170000000000005,91.41199999999981,-0.002950261776438936,2.7755575615628914e-17,0.44999999999999996,0.8616567734881054,0.09787867862445083,17794.666666666668,4970.0
51,native_wait_credit,supported_native_episode_loop,3,8.258333333333333,0.5669666666666666,-7159.765,-9.392266666666666,12.061,0.512,-7281.452,-13.085,-5.671,56.96399999999994,-0.005974247501237773,-7.906133660209447e-17,0.45,0.8171006685398278,0.1058883854330938,19269.666666666668,4970.0
61,native_wait_credit,supported_native_episode_loop,3,4.6626666666666665,0.4612,-3124.735,-5.585066666666666,4.042,0.4167,-3086.084,-4.8754,0.9660000000000002,63.98700000000008,-0.0031889539946362345,-5.971654147605008e-17,0.45,0.8508731650419307,0.10053388674187057,18287.0,4970.0
71,native_wait_credit,supported_native_episode_loop,3,4.404333333333334,0.4362,-2730.292,-5.276733333333333,4.966,0.3601,-2771.489,-5.6862,-0.8740000000000006,4.420999999999822,-0.0031259694479287784,4.205390244792259e-17,0.45,0.8468221126847504,0.09811522088736517,18232.333333333332,4970.0
