method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
ema,0,1:Spring Garden,38703.63330026313,149.49963524819327,-282.29372480379294,1435,150.43897505057316
fourier,0,1:Spring Garden,39500.3656665494,151.22983916412755,-229.23393513467363,1435,150.43897505057316
dynamic_harmonic_nb,0,1:Spring Garden,40228.35833544212,152.6688448506431,10.23317600816451,1435,150.43897505057316
apc_route_profile,0,1:Spring Garden,3385.5317060445664,38.02428862853052,-677.779124040408,1435,150.43897505057316
ema,1,3:CrossTown,22491.222368083123,111.40667091779504,-173.06132089106407,1435,112.37828725556305
fourier,1,3:CrossTown,22891.07892260021,112.72335893095439,-139.84915735508977,1435,112.37828725556305
dynamic_harmonic_nb,1,3:CrossTown,22404.396584418155,111.41438131570607,-105.81387293881464,1435,112.37828725556305
apc_route_profile,1,3:CrossTown,2857.956885793217,34.27888919969873,-469.0549498621266,1435,112.37828725556305
ema,2,2:Fairview,13399.575121640406,86.0014874078927,-114.16096422892751,1435,86.68914362778152
fourier,2,2:Fairview,13676.00604159374,86.9860184911756,-83.73651557064294,1435,86.68914362778152
dynamic_harmonic_nb,2,2:Fairview,10475.118722055135,77.15753453235773,-24.6028619157675,1435,86.68914362778152
apc_route_profile,2,2:Fairview,1315.8077435028026,23.41899176388541,-341.84038580994394,1435,86.68914362778152
ema,3,4:Universities,17380.84137805074,79.8070458418922,-106.15456653280127,1435,80.2211732973702
fourier,3,4:Universities,17729.704669852283,80.80560061581693,-70.39309270561264,1435,80.2211732973702
dynamic_harmonic_nb,3,4:Universities,15603.826627387862,77.91914923940071,4.221995501020703,1435,80.2211732973702
apc_route_profile,3,4:Universities,6699.875492159804,30.57836438278086,-316.034518938349,1435,80.2211732973702
ema,4,8:Sackville Corridor,9723.746251850736,76.70958750081327,-88.17865411388094,1435,77.49831422791638
fourier,4,8:Sackville Corridor,9892.813503224083,77.52051781542025,-67.21302887298432,1435,77.49831422791638
dynamic_harmonic_nb,4,8:Sackville Corridor,7747.03107302693,67.89002464119397,-37.16663612024366,1435,77.49831422791638
apc_route_profile,4,8:Sackville Corridor,979.1211281634664,21.315903494968094,-290.23787945966166,1435,77.49831422791638
ema,5,10C:Dalhousie,7536.702733058545,64.82967802592925,-63.773886525375524,1435,65.29265003371545
fourier,5,10C:Dalhousie,7663.292343327901,65.53048390242594,-44.471405376799275,1435,65.29265003371545
dynamic_harmonic_nb,5,10C:Dalhousie,7402.166299782191,64.04433882146802,384.59230151872606,1435,65.29265003371545
apc_route_profile,5,10C:Dalhousie,1128.8328632720472,21.672369507941646,-235.34749185352575,1435,65.29265003371545
ema,6,5:Portland,16068.27743209779,63.996145243639276,-65.07678535504415,1435,64.49629130141605
fourier,6,5:Portland,16238.753288837517,64.69654041150741,-43.14176797072105,1435,64.49629130141605
dynamic_harmonic_nb,6,5:Portland,15946.428713809844,63.305082836931525,-38.76287170988854,1435,64.49629130141605
apc_route_profile,6,5:Portland,12384.600782947839,23.23234722097267,-232.38186922090352,1435,64.49629130141605
ema,7,29:Barrington,4459.996185065703,44.84114941111687,-30.165416585852135,1435,44.92784895482131
fourier,7,29:Barrington,4543.76729725215,45.43034661111611,-12.269724015787355,1435,44.92784895482131
dynamic_harmonic_nb,7,29:Barrington,4324.425057536899,44.42907170022217,107.75665055723441,1435,44.92784895482131
apc_route_profile,7,29:Barrington,660.1761694061981,15.06329082386079,-151.30254864817792,1435,44.92784895482131
ema,8,7A:Peninsula,3499.445891810941,42.90892521904767,-27.013279167733696,1435,43.09103169251517
fourier,8,7A:Peninsula,3573.453230307317,43.43778335410038,-10.20679658300547,1435,43.09103169251517
dynamic_harmonic_nb,8,7A:Peninsula,3101.1417379718314,41.631019982567516,1.093817736232887,1435,43.09103169251517
apc_route_profile,8,7A:Peninsula,468.0884218671935,13.257748662292332,-140.11609183978806,1435,43.09103169251517
ema,9,10B:Dalhousie - Micmac Terminal,3849.6828353048736,42.74288631396214,-25.304251236720916,1435,42.90627107215104
fourier,9,10B:Dalhousie - Micmac Terminal,3921.1458345951382,43.356820400952586,-9.947626054865946,1435,42.90627107215104
dynamic_harmonic_nb,9,10B:Dalhousie - Micmac Terminal,4129.800753006414,47.533469686601975,29.193473332195847,1435,42.90627107215104
apc_route_profile,9,10B:Dalhousie - Micmac Terminal,674.8269047794031,16.11265887398212,-140.91732935087688,1435,42.90627107215104
ema,10,7B:Peninsula,2848.6054725766758,38.94220962279291,-20.37105326080189,1435,39.13216453135536
fourier,10,7B:Peninsula,2908.710763461313,39.38361820041468,-5.758532407600669,1435,39.13216453135536
dynamic_harmonic_nb,10,7B:Peninsula,2455.43495542861,35.85332066033027,22.684788938205607,1435,39.13216453135536
apc_route_profile,10,7B:Peninsula,414.3003397357434,13.338747688341627,-122.53450335756385,1435,39.13216453135536
ema,11,24:Leiblin Park,1978.9338527614027,33.54471397133504,-10.79414482284341,1435,33.78422117329737
fourier,11,24:Leiblin Park,2015.2042042175963,33.98435810601063,-0.2664625262216295,1435,33.78422117329737
dynamic_harmonic_nb,11,24:Leiblin Park,1620.889522212932,30.622384185643376,-54.98467267768682,1435,33.78422117329737
apc_route_profile,11,24:Leiblin Park,233.12784763681466,10.094942615987339,-100.39962038600898,1435,33.78422117329737
ema,12,72:Portland Hills,1868.471469827162,30.699372101833173,-7.254182490221673,1435,30.716790289952797
fourier,12,72:Portland Hills,1904.8277517956176,31.1768970974904,3.4621996716475345,1435,30.716790289952797
dynamic_harmonic_nb,12,72:Portland Hills,1658.7433019451446,29.572632702285865,60.29549604542018,1435,30.716790289952797
apc_route_profile,12,72:Portland Hills,314.3655875207738,10.794981326433,-89.80752420058079,1435,30.716790289952797
ema,13,28:Bayers Lake,1631.618269476359,28.750357702411883,-4.711563781761142,1435,28.739716790289954
fourier,13,28:Bayers Lake,1663.5720502182876,29.188328683937357,5.264429903508218,1435,28.739716790289954
dynamic_harmonic_nb,13,28:Bayers Lake,1439.4770898684872,27.629649210240302,54.533906761712,1435,28.739716790289954
apc_route_profile,13,28:Bayers Lake,316.0300525368773,11.23044134230363,-81.22996947245197,1435,28.739716790289954
ema,14,39:Flamingo,1244.8045741088886,24.769280958465533,-0.7943304051860965,1435,24.72285906945381
fourier,14,39:Flamingo,1268.2982303440428,25.12001363106785,8.165127933408412,1435,24.72285906945381
dynamic_harmonic_nb,14,39:Flamingo,939.1271951626824,22.492552634598013,-41.65908334938902,1435,24.72285906945381
apc_route_profile,14,39:Flamingo,212.06129912056187,9.682256469411056,-67.19535818269033,1435,24.72285906945381
ema,15,6C:Heritage Hills,1123.9846692013518,23.68449925317309,1.4496322770484174,1435,23.87862440997977
fourier,15,6C:Heritage Hills,1141.5432356741019,23.918933263187533,8.321088959233267,1435,23.87862440997977
dynamic_harmonic_nb,15,6C:Heritage Hills,1306.6154757780862,26.41565165123238,16.985449957285574,1435,23.87862440997977
apc_route_profile,15,6C:Heritage Hills,180.5174972483867,8.465176926880792,-62.55562413369159,1435,23.87862440997977
ema,16,84:Glendale Express,7713.322466851972,20.83610602776145,1.9769863278996935,1435,20.73364801078894
fourier,16,84:Glendale Express,7747.7413805081815,21.07367040398245,12.9856723864415,1435,20.73364801078894
dynamic_harmonic_nb,16,84:Glendale Express,8617.803628492276,31.505720026834943,14.400090225365545,1435,20.73364801078894
apc_route_profile,16,84:Glendale Express,9388.414374305354,15.314628584689995,-50.49864085948889,1435,20.73364801078894
ema,17,56:Dartmouth Crossing,754.510695794483,20.16891606111166,4.117515703259719,1435,20.210384356035064
fourier,17,56:Dartmouth Crossing,767.9097923920626,20.449529041210067,10.736459836650859,1435,20.210384356035064
dynamic_harmonic_nb,17,56:Dartmouth Crossing,647.0465825202273,18.76622267396491,46.857632282809796,1435,20.210384356035064
apc_route_profile,17,56:Dartmouth Crossing,97.84772467529518,6.288298768086344,-49.89958272379308,1435,20.210384356035064
ema,18,21:Lakeside - Timberlea,861.236825998252,19.964096422200658,5.908445401417324,1435,19.92447741065408
fourier,18,21:Lakeside - Timberlea,872.2475707691804,20.146894660495963,10.838341972362665,1435,19.92447741065408
dynamic_harmonic_nb,18,21:Lakeside - Timberlea,962.4516433386221,23.21444580745485,36.6952209329517,1435,19.92447741065408
